Messstelle:                ;Feistritz am Wechsel (Summenpegel)
HZB-Nummer:                ;214353
HD-Nummer:                 ;
DBMS-Nummer:               ;3003147
Gewässer:                  ;Feistritz mit Kraftwerksdurchfluss
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;114,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2013              ;00447,86
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1967              ;731340,90 - 272404,40
   01.01.2014              ;731419,00 - 272417,00
Exportzeitreihe:           ;(3003147,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1977 00:00,01.01.2022 00:00]
Werte:
23.01.1977 08:00:00; 0,859
01.02.1977 00:00:00; 0,991
19.03.1977 10:00:00;  1,24
07.04.1977 08:00:00;  1,13
11.05.1977 10:00:00; 0,991
19.06.1977 08:00:00; 0,859
14.07.1977 08:00:00; 0,702
25.08.1977 10:00:00; 0,630
05.09.1977 10:00:00; 0,630
06.10.1977 10:00:00; 0,630
29.11.1977 10:00:00; 0,563
01.12.1977 02:00:00; 0,532
28.01.1978 02:02:55; 0,349
06.02.1978 02:00:00; 0,374
25.03.1978 00:00:00; 0,440
10.04.1978 16:00:00; 0,374
14.05.1978 10:00:00; 0,604
30.06.1978 14:00:00; 0,536
01.07.1978 00:00:00; 0,588
28.08.1978 18:00:00; 0,362
17.09.1978 14:00:00; 0,342
17.10.1978 16:00:00; 0,319
22.11.1978 16:00:00; 0,323
18.12.1978 06:00:00; 0,338
15.01.1979 16:30:00; 0,184
26.02.1979 22:00:00; 0,264
03.03.1979 04:30:00; 0,319
02.04.1979 07:30:00; 0,841
19.05.1979 18:30:00; 0,797
13.06.1979 07:00:00; 0,499
15.07.1979 18:00:00; 0,617
19.08.1979 15:00:00; 0,761
19.09.1979 17:30:00; 0,739
18.10.1979 08:00:00; 0,464
02.11.1979 15:00:00; 0,641
16.12.1979 15:00:00; 0,835
09.01.1980 04:00:00; 0,635
22.02.1980 04:30:00; 0,740
25.03.1980 11:00:00; 0,679
24.04.1980 04:00:00; 0,768
26.05.1980 08:00:00; 0,946
17.06.1980 16:30:00; 0,641
27.07.1980 08:30:00; 0,699
25.08.1980 18:30:00; 0,489
07.09.1980 19:30:00; 0,520
01.10.1980 17:00:00; 0,504
04.11.1980 15:30:00; 0,673
09.12.1980 16:30:00; 0,733
27.01.1981 19:00:00; 0,581
28.02.1981 00:30:00; 0,469
06.03.1981 11:00:00; 0,733
23.04.1981 14:30:00; 0,647
06.05.1981 08:00:00; 0,635
10.06.1981 06:00:00; 0,509
09.07.1981 19:00:00; 0,469
02.08.1981 06:30:00; 0,469
07.09.1981 19:30:00; 0,525
04.10.1981 14:00:00; 0,564
29.11.1981 15:30:00; 0,671
03.12.1981 11:00:00; 0,573
27.01.1982 04:30:00; 0,698
24.02.1982 11:30:55; 0,314
18.03.1982 21:30:00; 0,429
07.04.1982 13:00:00; 0,608
03.05.1982 07:00:00; 0,627
09.06.1982 16:00:00; 0,658
22.07.1982 06:30:00; 0,658
22.08.1982 07:30:00; 0,660
19.09.1982 15:00:00; 0,338
01.10.1982 10:30:00; 0,922
02.11.1982 16:30:00; 0,716
29.12.1982 15:30:00; 0,794
04.01.1983 13:00:00; 0,514
26.02.1983 01:00:00; 0,585
29.03.1983 15:30:00; 0,651
06.04.1983 16:00:00; 0,716
25.05.1983 10:30:00; 0,491
13.06.1983 06:00:00; 0,525
21.07.1983 06:30:00; 0,309
31.08.1983 18:00:00; 0,213
02.09.1983 16:00:00; 0,235
25.10.1983 14:00:40; 0,235
14.11.1983 10:30:00; 0,254
14.12.1983 03:30:00; 0,207
30.01.1984 02:30:00; 0,235
15.02.1984 02:57:40; 0,182
21.03.1984 02:30:00; 0,205
22.04.1984 15:00:00; 0,754
05.05.1984 12:30:00; 0,561
26.06.1984 05:30:00; 0,555
09.07.1984 15:30:00; 0,429
30.08.1984 16:00:00; 0,291
07.09.1984 06:30:00; 0,317
31.10.1984 07:30:00; 0,284
15.11.1984 12:00:00; 0,281
31.12.1984 20:00:00; 0,288
07.01.1985 01:45:00; 0,209
12.02.1985 09:15:00; 0,193
17.03.1985 20:45:00; 0,305
27.04.1985 18:30:00;  1,04
01.05.1985 10:30:00; 0,804
13.06.1985 08:00:00; 0,678
27.07.1985 06:00:00; 0,247
03.08.1985 08:45:00; 0,238
18.09.1985 09:59:15; 0,420
21.10.1985 14:45:00; 0,299
04.11.1985 14:00:00; 0,295
19.12.1985 06:45:00; 0,576
13.01.1986 04:00:00; 0,333
05.02.1986 06:00:00; 0,374
07.03.1986 06:15:00; 0,289
25.04.1986 17:30:00;  1,01
25.05.1986 08:00:00; 0,602
18.06.1986 07:00:00; 0,420
30.07.1986 18:15:00; 0,445
03.08.1986 18:00:00; 0,366
26.09.1986 09:00:00; 0,435
22.10.1986 14:00:00; 0,279
04.11.1986 11:15:00; 0,253
15.12.1986 13:15:00; 0,247
02.01.1987 12:45:00; 0,295
01.02.1987 08:45:00; 0,420
13.03.1987 00:15:00;  1,00
23.04.1987 14:00:00;  1,00
11.05.1987 09:30:00;  1,57
29.06.1987 04:30:00;  1,11
30.07.1987 22:00:00; 0,812
06.08.1987 06:45:00; 0,526
29.09.1987 03:45:00; 0,656
07.10.1987 15:45:00; 0,295
07.11.1987 13:15:00; 0,374
09.12.1987 08:15:00; 0,588
04.01.1988 11:15:00; 0,730
21.02.1988 07:30:00; 0,526
10.03.1988 07:30:00; 0,420
11.04.1988 06:15:00;  1,11
02.05.1988 13:15:00; 0,471
28.06.1988 11:45:00; 0,730
25.07.1988 07:15:00; 0,420
13.08.1988 14:45:00; 0,231
11.09.1988 14:30:00; 0,420
20.10.1988 07:30:00; 0,353
23.11.1988 04:15:00; 0,471
05.12.1988 12:00:00; 0,420
30.01.1989 09:45:00; 0,150
11.02.1989 08:30:00; 0,650
28.03.1989 11:00:00; 0,572
23.04.1989 16:00:00; 0,818
08.05.1989 13:45:00;  1,21
12.06.1989 21:15:00;  1,44
23.07.1989 20:00:00; 0,724
07.08.1989 20:15:00; 0,658
21.09.1989 16:00:00; 0,685
28.10.1989 12:30:00; 0,333
02.11.1989 05:30:00; 0,564
15.12.1989 13:15:00; 0,298
16.01.1990 11:00:00; 0,133
26.02.1990 08:45:00; 0,374
07.03.1990 10:15:00; 0,333
19.04.1990 13:00:00; 0,295
07.05.1990 08:45:00; 0,295
04.06.1990 16:45:00; 0,471
08.07.1990 19:45:00; 0,588
31.08.1990 23:59:55; 0,521
01.09.1990 08:30:00; 0,471
14.10.1990 16:45:00; 0,374
06.11.1990 16:30:00; 0,526
13.12.1990 14:00:00; 0,471
16.01.1991 07:15:00; 0,526
02.02.1991 08:30:00; 0,420
20.03.1991 15:30:00; 0,526
16.04.1991 17:15:00; 0,420
03.05.1991 08:15:00; 0,471
05.06.1991 13:00:00; 0,588
16.07.1991 21:00:00; 0,100
26.08.1991 22:45:00;  1,54
20.09.1991 12:15:00;  1,33
24.10.1991 15:15:00; 0,633
02.11.1991 11:15:00; 0,633
20.12.1991 08:15:00; 0,782
21.01.1992 05:00:00; 0,782
19.02.1992 09:00:00; 0,633
11.03.1992 14:15:00; 0,500
12.04.1992 14:15:00; 0,390
12.05.1992 14:15:00; 0,304
07.06.1992 20:00:00; 0,633
30.07.1992 02:45:00; 0,500
30.08.1992 17:45:00; 0,268
15.09.1992 17:15:00; 0,344
26.10.1992 15:00:00; 0,268
09.11.1992 06:45:00; 0,565
17.12.1992 13:15:00;  1,13
27.01.1993 13:30:00; 0,633
23.02.1993 06:45:00; 0,706
04.03.1993 19:00:00; 0,782
29.04.1993 13:45:00; 0,863
27.05.1993 13:45:00; 0,209
27.06.1993 14:30:00; 0,268
19.07.1993 14:45:00; 0,390
05.08.1993 13:15:00; 0,390
20.09.1993 07:15:00; 0,304
02.10.1993 16:15:00; 0,633
08.11.1993 14:00:00;  1,43
22.12.1993 09:30:00; 0,948
28.01.1994 09:15:00; 0,706
01.02.1994 14:15:00; 0,441
21.03.1994 16:00:00; 0,441
12.04.1994 13:45:00; 0,706
08.05.1994 15:00:00; 0,706
28.06.1994 20:30:00; 0,706
02.07.1994 17:00:00; 0,633
07.08.1994 09:30:00; 0,565
07.09.1994 16:15:00; 0,441
27.10.1994 14:45:00; 0,304
20.11.1994 14:30:00; 0,344
07.12.1994 11:45:00; 0,441
24.01.1995 14:15:00; 0,344
27.02.1995 05:15:00; 0,184
30.03.1995 11:30:00; 0,144
12.04.1995 07:45:00; 0,344
21.05.1995 13:00:00; 0,054
02.06.1995 13:43:15; 0,087
13.07.1995 16:00:00; 0,344
11.08.1995 07:45:00; 0,304
