Messstelle:                ;Bruckhäusl
HZB-Nummer:                ;201863
HD-Nummer:                 ;
DBMS-Nummer:               ;7001079
Gewässer:                  ;Brixentaler Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;322,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1949              ;00590,00
   14.03.1972              ;00588,00
   01.01.1977              ;00574,45
   01.01.1994              ;00524,34
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1949              ;361289,84 - 259734,15
   14.03.1972              ;360264,42 - 258624,71
   01.01.1994              ;357411,39 - 262045,53
Exportzeitreihe:           ;(7001079,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[16.01.1951 12:00,01.01.2022 00:00]
Werte:
16.01.1951 12:00:00;  3,70
08.02.1951 12:00:00;  5,26
07.03.1951 12:00:00;  5,26
16.04.1951 12:00:00;  9,54
22.05.1951 12:00:00;  15,2
30.06.1951 12:00:00;  9,54
04.07.1951 12:00:00;  7,95
31.08.1951 12:00:00;  6,53
26.09.1951 12:00:00;  4,14
31.10.1951 12:00:00;  4,14
21.11.1951 12:00:00;  4,14
31.12.1951 12:00:00;  4,14
31.01.1952 12:00:00;  4,14
25.02.1952 12:00:00;  3,00
15.03.1952 12:00:00;  4,14
07.04.1952 12:00:00;  7,95
23.05.1952 12:00:00;  9,54
30.06.1952 12:00:00;  11,3
28.07.1952 12:00:00;  5,26
16.08.1952 12:00:00;  4,14
05.09.1952 12:00:00;  6,53
20.10.1952 12:00:00;  7,95
28.11.1952 12:00:00;  6,53
31.12.1952 12:00:00;  3,70
31.01.1953 12:00:00;  4,14
18.02.1953 12:00:00;  3,23
15.03.1953 12:00:00;  4,14
08.04.1953 12:00:00;  10,2
11.05.1953 12:00:00;  11,3
24.06.1953 12:00:00;  12,4
27.07.1953 12:00:00;  9,54
21.08.1953 12:00:00;  8,27
27.09.1953 12:00:00;  6,53
29.10.1953 12:00:00;  5,77
30.11.1953 12:00:00;  4,36
31.12.1953 12:00:00;  4,14
07.01.1954 12:00:00;  3,46
01.02.1954 12:00:00;  3,65
03.03.1954 12:00:00;  4,78
19.04.1954 12:00:00;  9,45
09.05.1954 12:00:00;  17,4
27.06.1954 12:00:00;  21,9
27.07.1954 12:00:00;  15,6
22.08.1954 12:00:00;  9,45
12.09.1954 12:00:00;  6,35
25.10.1954 12:00:00;  6,65
22.11.1954 12:00:00;  6,35
19.12.1954 12:00:00;  5,29
28.01.1955 12:00:00;  5,02
18.02.1955 12:00:00;  4,31
21.03.1955 12:00:00;  4,31
02.04.1955 12:00:00;  8,15
25.05.1955 12:00:00;  13,1
01.06.1955 12:00:00;  15,2
19.07.1955 12:00:00;  14,4
30.08.1955 12:00:00;  8,15
27.09.1955 12:00:00;  8,80
17.10.1955 12:00:00;  7,24
30.11.1955 12:00:00;  5,02
01.12.1955 12:00:00;  5,02
26.01.1956 12:00:00;  3,84
14.02.1956 12:00:00;  2,60
01.03.1956 12:00:00;  3,84
26.04.1956 12:00:00;  9,13
04.05.1956 12:00:00;  10,2
13.06.1956 12:00:00;  16,5
30.07.1956 12:00:00;  11,2
17.08.1956 12:00:00;  11,2
30.09.1956 12:00:00;  6,35
