Messstelle:                ;Mellau
HZB-Nummer:                ;200261
HD-Nummer:                 ;
DBMS-Nummer:               ;8001026
Gewässer:                  ;Bregenzerach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;227,36
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00673,45
   01.01.1989              ;00673,46
   01.01.2009              ;00671,42
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1907              ;115859,00 - 246308,00
Exportzeitreihe:           ;(8001026,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[17.01.1951 12:00,01.01.2022 00:00]
Werte:
17.01.1951 12:00:00; 0,920
28.02.1951 12:00:00;  1,83
06.03.1951 12:00:00;  1,43
01.04.1951 12:00:00;  6,18
01.05.1951 12:00:00;  12,9
22.06.1951 12:00:00;  14,5
31.07.1951 12:00:00;  6,93
30.08.1951 12:00:00;  4,82
02.09.1951 12:00:00;  5,14
31.10.1951 12:00:00;  1,43
03.11.1951 12:00:00;  1,43
30.12.1951 12:00:00;  3,60
31.01.1952 12:00:00;  3,60
12.02.1952 12:00:00;  3,03
02.03.1952 12:00:00;  4,49
07.04.1952 12:00:00;  11,3
23.05.1952 12:00:00;  9,42
30.06.1952 12:00:00;  6,18
31.07.1952 12:00:00;  3,03
01.08.1952 12:00:00;  2,29
18.09.1952 12:00:00;  7,31
01.10.1952 12:00:00;  6,93
24.11.1952 12:00:00;  3,00
31.12.1952 12:00:00;  2,75
10.01.1953 12:00:00;  1,00
02.02.1953 12:00:00;  1,60
15.03.1953 12:00:00;  3,60
17.04.1953 12:00:00;  10,8
11.05.1953 12:00:00;  12,3
07.06.1953 12:00:00;  17,0
17.07.1953 12:00:00;  4,82
21.08.1953 12:00:00;  4,24
19.09.1953 12:00:00;  2,52
24.10.1953 12:00:00;  2,04
30.11.1953 12:00:00;  2,04
31.12.1953 12:00:00; 0,950
03.01.1954 12:00:00; 0,730
17.02.1954 12:00:00;  1,22
08.03.1954 12:00:00;  1,60
20.04.1954 12:00:00;  6,76
06.05.1954 12:00:00;  11,2
26.06.1954 12:00:00;  7,99
30.07.1954 12:00:00;  7,17
04.08.1954 12:00:00;  4,91
11.09.1954 12:00:00;  7,17
25.10.1954 12:00:00;  3,62
25.11.1954 12:00:00;  2,28
04.12.1954 12:00:00;  2,04
09.01.1955 12:00:00;  3,31
28.02.1955 12:00:00;  3,00
08.03.1955 12:00:00;  2,28
20.04.1955 12:00:00;  8,86
23.05.1955 12:00:00;  15,0
29.06.1955 12:00:00;  15,6
28.07.1955 12:00:00;  9,78
30.08.1955 12:00:00;  4,30
27.09.1955 12:00:00;  3,95
24.10.1955 12:00:00;  3,14
28.11.1955 12:00:00;  1,50
02.12.1955 12:00:00;  2,17
26.01.1956 12:00:00;  2,60
29.02.1956 12:00:00;  2,17
01.03.1956 12:00:00;  2,17
08.04.1956 12:00:00;  8,20
03.05.1956 12:00:00;  12,1
30.06.1956 12:00:00;  14,8
29.07.1956 12:00:00;  8,65
17.08.1956 12:00:00;  9,55
27.09.1956 12:00:00;  3,95
03.10.1956 12:00:00;  4,30
25.11.1956 12:00:00;  2,38
31.12.1956 12:00:00;  2,38
31.01.1957 12:00:00;  1,94
01.02.1957 12:00:00;  1,94
05.03.1957 12:00:00;  5,70
16.04.1957 12:00:00;  5,70
08.05.1957 12:00:00;  6,11
29.06.1957 12:00:00;  4,65
08.07.1957 12:00:00;  5,70
08.08.1957 12:00:00;  4,65
12.09.1957 12:00:00;  2,87
31.10.1957 12:00:00;  2,60
23.11.1957 12:00:00;  1,50
04.12.1957 12:00:00;  1,00
27.01.1958 12:00:00;  1,20
05.02.1958 12:00:00;  1,30
24.03.1958 12:00:00;  1,40
12.04.1958 12:00:00;  3,95
01.05.1958 12:00:00;  14,8
17.06.1958 12:00:00;  8,65
20.07.1958 12:00:00;  5,70
22.08.1958 12:00:00;  5,00
07.09.1958 12:00:00;  3,68
11.10.1958 12:00:00;  5,00
30.11.1958 12:00:00;  5,35
12.12.1958 12:00:00;  2,17
19.01.1959 12:00:00;  2,87
18.02.1959 12:00:00;  2,17
17.03.1959 12:00:00;  6,52
01.04.1959 12:00:00;  7,34
31.05.1959 12:00:00;  10,5
