Messstelle:                ;Stuhlfelden
HZB-Nummer:                ;203984
HD-Nummer:                 ;
DBMS-Nummer:               ;5001093
Gewässer:                  ;Stuhlfeldnerbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;11,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.04.1993              ;00785,42
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.04.1993              ;389420,00 - 238920,00
Exportzeitreihe:           ;(5001093,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[18.05.1993 04:56:15,01.01.2022 00:00]
Werte:
30.05.1993 08:15:00; 0,506
20.06.1993 14:00:00; 0,230
09.07.1993 15:15:00; 0,342
21.08.1993 21:15:00; 0,213
28.09.1993 10:00:00; 0,212
12.10.1993 13:15:00; 0,164
30.11.1993 11:15:00; 0,150
13.12.1993 09:15:00; 0,110
18.01.1994 00:15:00; 0,136
24.02.1994 01:45:00; 0,136
08.03.1994 09:00:00; 0,122
17.04.1994 13:30:00; 0,344
31.05.1994 13:00:00; 0,690
30.06.1994 23:59:55; 0,339
18.07.1994 08:30:00; 0,196
02.08.1994 17:15:00; 0,196
30.09.1994 23:59:55; 0,212
20.10.1994 16:30:00; 0,180
06.11.1994 00:00:00; 0,212
04.12.1994 07:45:00; 0,251
23.01.1995 15:45:00; 0,078
02.02.1995 09:00:00; 0,150
06.03.1995 07:45:00; 0,136
01.04.1995 00:00:00; 0,248
22.05.1995 09:00:00; 0,690
30.06.1995 22:00:00; 0,892
30.07.1995 14:00:00; 0,230
12.08.1995 11:15:00; 0,122
30.09.1995 15:00:00; 0,212
17.10.1995 07:15:00; 0,136
20.11.1995 07:45:00; 0,099
04.12.1995 06:00:00; 0,099
04.01.1996 07:45:00; 0,087
19.02.1996 16:45:00; 0,087
03.03.1996 11:45:00; 0,110
03.04.1996 11:00:00; 0,180
25.05.1996 15:30:00; 0,478
25.06.1996 13:15:00; 0,229
28.07.1996 12:45:00; 0,196
02.08.1996 12:00:00; 0,180
05.09.1996 06:30:00; 0,291
20.10.1996 08:30:00; 0,321
14.11.1996 07:15:00; 0,248
02.12.1996 07:15:00; 0,212
29.01.1997 08:12:45; 0,213
07.02.1997 10:18:45; 0,206
05.03.1997 11:53:25; 0,207
01.04.1997 20:10:50; 0,284
01.05.1997 00:27:30; 0,451
12.06.1997 10:41:30; 0,450
04.07.1997 11:00:30; 0,396
28.08.1997 19:09:00; 0,219
20.09.1997 09:56:00; 0,185
13.10.1997 15:53:00; 0,198
26.11.1997 03:48:00; 0,180
07.12.1997 20:30:20; 0,164
31.01.1998 23:59:55; 0,163
12.02.1998 03:06:40; 0,131
23.03.1998 07:16:50; 0,174
19.04.1998 02:02:25; 0,278
26.05.1998 14:43:55; 0,404
10.06.1998 10:39:55; 0,315
22.07.1998 21:33:40; 0,248
17.08.1998 16:28:20; 0,272
02.09.1998 23:00:40; 0,272
30.10.1998 00:34:55; 0,288
30.11.1998 23:59:55; 0,196
04.12.1998 05:02:15; 0,122
08.01.1999 03:07:35; 0,132
15.02.1999 13:00:50; 0,117
01.03.1999 18:58:05; 0,167
01.04.1999 11:27:15; 0,230
02.05.1999 08:23:00;  1,08
30.06.1999 02:05:45; 0,637
31.07.1999 23:39:40; 0,459
08.08.1999 20:21:05; 0,336
23.09.1999 17:27:25; 0,224
25.10.1999 10:54:35; 0,175
26.11.1999 18:14:30; 0,161
17.12.1999 03:09:20; 0,156
11.01.2000 11:00:15; 0,157
01.02.2000 00:00:00; 0,181
07.03.2000 07:32:20; 0,224
02.04.2000 13:46:55; 0,258
30.05.2000 09:27:30; 0,715
30.06.2000 14:27:55; 0,345
06.07.2000 15:32:40; 0,281
25.08.2000 19:57:05; 0,262
30.09.2000 23:59:55; 0,274
01.10.2000 16:26:00; 0,212
13.11.2000 07:11:20; 0,183
27.12.2000 07:31:55; 0,178
11.01.2001 05:34:25; 0,148
10.02.2001 10:56:20; 0,188
01.03.2001 00:00:00; 0,289
24.04.2001 11:54:30; 0,224
27.05.2001 10:57:20; 0,369
25.06.2001 09:49:35; 0,258
19.07.2001 16:27:50; 0,178
01.08.2001 12:09:00; 0,115
