Messstelle:                ;Mittersill
HZB-Nummer:                ;203075
HD-Nummer:                 ;
DBMS-Nummer:               ;5001007
Gewässer:                  ;Salzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;582,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00782,99
   14.11.1986              ;00782,90
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1891              ;385715,00 - 238620,00
   14.11.1986              ;385510,00 - 238610,00
Exportzeitreihe:           ;(5001007,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  9,75
05.02.1951 12:00:00;  9,75
30.03.1951 12:00:00;  11,2
07.04.1951 12:00:00;  10,9
02.05.1951 12:00:00;  17,0
28.06.1951 12:00:00;  36,0
02.07.1951 12:00:00;  36,5
20.08.1951 12:00:00;  26,9
29.09.1951 12:00:00;  13,1
31.10.1951 12:00:00;  9,12
07.11.1951 12:00:00;  8,60
24.12.1951 12:00:00;  6,55
24.01.1952 12:00:00;  7,44
21.02.1952 12:00:00;  7,68
18.03.1952 12:00:00;  6,00
07.04.1952 12:00:00;  8,92
24.05.1952 12:00:00;  20,4
11.06.1952 12:00:00;  34,0
27.07.1952 12:00:00;  23,0
29.08.1952 12:00:00;  22,4
30.09.1952 12:00:00;  20,4
20.10.1952 12:00:00;  17,0
28.11.1952 12:00:00;  8,92
17.12.1952 12:00:00;  8,00
31.01.1953 12:00:00;  5,11
17.02.1953 12:00:00;  4,36
08.03.1953 12:00:00;  5,32
18.04.1953 12:00:00;  11,1
14.05.1953 12:00:00;  15,9
04.06.1953 12:00:00;  22,3
15.07.1953 12:00:00;  40,5
03.08.1953 12:00:00;  22,7
24.09.1953 12:00:00;  13,6
11.10.1953 12:00:00;  10,0
30.11.1953 12:00:00;  5,53
25.12.1953 12:00:00;  4,18
19.01.1954 12:00:00;  4,36
26.02.1954 12:00:00;  4,00
07.03.1954 12:00:00;  3,55
23.04.1954 12:00:00;  7,75
08.05.1954 12:00:00;  11,9
01.06.1954 12:00:00;  35,6
21.07.1954 12:00:00;  46,2
31.08.1954 12:00:00;  26,8
26.09.1954 12:00:00;  18,2
21.10.1954 12:00:00;  12,5
26.11.1954 12:00:00;  7,25
26.12.1954 12:00:00;  7,50
05.01.1955 12:00:00;  6,37
24.02.1955 12:00:00;  5,74
02.03.1955 12:00:00;  6,16
03.04.1955 12:00:00;  5,95
23.05.1955 12:00:00;  22,3
03.06.1955 12:00:00;  26,4
08.07.1955 12:00:00;  37,0
28.08.1955 12:00:00;  25,7
26.09.1955 12:00:00;  17,0
31.10.1955 12:00:00;  10,9
20.11.1955 12:00:00;  7,50
24.12.1955 12:00:00;  5,53
29.01.1956 12:00:00;  3,91
