Messstelle:                ;Huben
HZB-Nummer:                ;201392
HD-Nummer:                 ;
DBMS-Nummer:               ;7001037
Gewässer:                  ;Ötztaler Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;517,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   12.12.1902              ;01185,93
   01.01.1975              ;01185,26
   23.12.2002              ;01186,35
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1903              ;198632,00 - 211754,00
   23.12.2002              ;198542,00 - 211841,00
Exportzeitreihe:           ;(7001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
26.01.1976 02:00:00;  1,78
18.02.1976 02:00:00;  1,78
01.03.1976 00:00:00;  1,78
01.04.1976 01:00:00;  1,96
01.05.1976 17:00:00;  3,25
05.06.1976 19:00:00;  10,6
30.07.1976 22:00:00;  25,4
22.08.1976 08:00:00;  13,4
26.09.1976 07:00:00;  12,3
30.10.1976 01:00:00;  9,52
30.11.1976 23:59:55;  5,79
16.12.1976 08:00:00;  3,84
31.01.1977 05:00:00;  2,69
18.02.1977 12:00:00;  2,50
01.03.1977 00:00:00;  2,79
12.04.1977 02:00:00;  3,90
10.05.1977 18:00:00;  9,33
06.06.1977 13:00:00;  24,4
29.07.1977 10:00:00;  27,1
25.08.1977 15:00:00;  22,4
30.09.1977 23:59:55;  10,0
31.10.1977 10:00:00;  5,52
20.11.1977 18:00:00;  3,20
29.12.1977 13:00:00;  2,32
29.01.1978 02:00:00;  1,58
12.02.1978 00:00:05;  1,66
21.03.1978 10:00:00; 0,067
18.04.1978 12:00:00;  2,05
14.05.1978 19:00:00;  4,26
29.06.1978 17:00:00;  14,8
10.07.1978 13:00:00;  20,5
31.08.1978 23:59:55;  19,8
30.09.1978 23:00:00;  9,98
31.10.1978 08:00:00;  5,21
27.11.1978 15:00:00;  2,58
27.12.1978 17:00:00;  2,07
02.01.1979 00:00:00;  1,76
26.02.1979 13:00:00; 0,978
01.03.1979 18:00:00;  1,48
06.04.1979 13:00:00;  2,07
01.05.1979 00:00:00;  2,42
20.06.1979 18:00:00;  27,2
09.07.1979 10:00:00;  25,2
30.08.1979 17:00:00;  17,1
30.09.1979 17:00:00;  16,7
31.10.1979 16:00:00;  6,53
23.11.1979 20:00:00;  4,09
23.12.1979 04:00:00;  2,69
30.01.1980 12:00:00;  2,46
29.02.1980 16:00:00;  1,94
20.03.1980 00:00:00;  1,60
13.04.1980 00:00:00;  2,02
01.05.1980 18:00:00;  4,01
03.06.1980 19:00:00;  10,4
04.07.1980 19:00:00;  17,3
26.08.1980 13:00:00;  31,4
30.09.1980 16:00:00;  14,7
14.10.1980 10:00:00;  5,94
30.11.1980 03:00:00;  3,84
31.12.1980 23:59:55;  2,94
31.01.1981 04:00:00;  2,13
24.02.1981 08:00:00;  1,78
02.03.1981 18:00:00;  1,83
27.04.1981 12:00:00;  4,29
06.05.1981 14:00:00;  4,61
24.06.1981 14:00:00;  20,6
29.07.1981 14:00:00;  27,7
28.08.1981 13:00:00;  18,7
18.09.1981 15:00:00;  14,5
25.10.1981 12:00:00;  8,19
26.11.1981 11:00:00;  5,12
31.12.1981 11:00:00;  3,20
30.01.1982 06:00:00; 0,169
22.02.1982 11:00:00;  1,54
15.03.1982 12:00:00;  1,64
01.04.1982 08:00:00;  2,53
02.05.1982 13:00:00;  4,69
16.06.1982 14:00:00;  26,1
29.07.1982 12:00:00;  39,3
25.08.1982 15:00:00;  25,2
25.09.1982 14:00:00;  17,8
22.10.1982 22:00:00;  6,86
29.11.1982 05:00:00;  4,54
15.12.1982 12:00:00;  3,03
20.01.1983 00:00:00;  3,05
28.02.1983 23:59:55;  2,60
02.03.1983 04:00:00;  2,47
04.04.1983 18:00:00;  2,65
05.05.1983 16:00:00;  7,44
19.06.1983 16:00:00;  20,5
02.07.1983 12:00:00;  41,5
08.08.1983 13:00:00;  23,4
21.09.1983 15:00:00;  15,3
31.10.1983 16:00:00;  5,97
15.11.1983 15:00:00;  3,22
31.12.1983 23:59:55;  2,95
31.01.1984 23:59:55;  2,40
