Messstelle:                ;Kainisch
HZB-Nummer:                ;210583
HD-Nummer:                 ;ow0040
DBMS-Nummer:               ;6001011
Gewässer:                  ;Kainischtraun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;57,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00763,53
   10.05.2010              ;00764,26
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1947              ;562455,80 - 273257,80
   01.01.2018              ;562441,10 - 273197,90
Exportzeitreihe:           ;(6001011,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00; 0,680
05.02.1951 12:00:00; 0,680
10.03.1951 12:00:00; 0,840
01.04.1951 12:00:00;  1,40
17.05.1951 12:00:00;  3,41
30.06.1951 12:00:00;  1,00
04.07.1951 12:00:00; 0,920
31.08.1951 12:00:00; 0,840
17.09.1951 12:00:00; 0,680
31.10.1951 12:00:00; 0,680
01.11.1951 12:00:00; 0,840
16.12.1951 12:00:00; 0,840
31.01.1952 12:00:00; 0,760
27.02.1952 12:00:00; 0,600
04.03.1952 12:00:00; 0,690
03.04.1952 12:00:00;  4,00
22.05.1952 12:00:00;  3,10
30.06.1952 12:00:00;  3,10
28.07.1952 12:00:00;  1,05
18.08.1952 12:00:00; 0,960
30.09.1952 12:00:00;  1,88
02.10.1952 12:00:00;  2,16
26.11.1952 12:00:00;  1,49
31.12.1952 12:00:00; 0,780
30.01.1953 12:00:00; 0,540
16.02.1953 12:00:00; 0,600
01.03.1953 12:00:00; 0,960
14.04.1953 12:00:00;  5,68
12.05.1953 12:00:00;  2,94
25.06.1953 12:00:00;  2,46
18.07.1953 12:00:00;  2,30
21.08.1953 12:00:00;  1,16
10.09.1953 12:00:00; 0,780
31.10.1953 12:00:00; 0,540
30.11.1953 12:00:00; 0,540
31.12.1953 12:00:00; 0,420
16.01.1954 12:00:00; 0,360
28.02.1954 12:00:00; 0,300
03.03.1954 12:00:00; 0,300
19.04.1954 12:00:00;  1,60
04.05.1954 12:00:00;  5,68
26.06.1954 12:00:00;  2,62
01.07.1954 12:00:00;  2,46
31.08.1954 12:00:00;  1,27
17.09.1954 12:00:00; 0,870
20.10.1954 12:00:00;  2,02
30.11.1954 12:00:00;  1,05
11.12.1954 12:00:00; 0,960
31.01.1955 12:00:00; 0,870
28.02.1955 12:00:00; 0,690
20.03.1955 12:00:00; 0,690
19.04.1955 12:00:00;  2,02
23.05.1955 12:00:00;  3,10
29.06.1955 12:00:00;  2,30
27.07.1955 12:00:00;  2,62
31.08.1955 12:00:00;  1,16
30.09.1955 12:00:00; 0,690
07.10.1955 12:00:00; 0,690
30.11.1955 12:00:00; 0,780
15.12.1955 12:00:00; 0,690
31.01.1956 12:00:00; 0,690
29.02.1956 12:00:00; 0,540
01.03.1956 12:00:00; 0,540
23.04.1956 12:00:00;  1,60
04.05.1956 12:00:00;  3,10
18.06.1956 12:00:00;  4,72
10.07.1956 12:00:00;  2,49
11.08.1956 12:00:00;  1,42
04.09.1956 12:00:00;  1,42
03.10.1956 12:00:00;  1,42
26.11.1956 12:00:00;  1,64
31.12.1956 12:00:00;  1,42
31.01.1957 12:00:00; 0,860
01.02.1957 12:00:00; 0,860
06.03.1957 12:00:00;  1,23
17.04.1957 12:00:00;  1,85
30.05.1957 12:00:00;  2,77
30.06.1957 12:00:00;  1,74
09.07.1957 12:00:00;  1,13
11.08.1957 12:00:00; 0,940
12.09.1957 12:00:00;  1,32
31.10.1957 12:00:00; 0,860
10.11.1957 12:00:00; 0,560
31.12.1957 12:00:00; 0,560
29.01.1958 12:00:00; 0,350
06.02.1958 12:00:00; 0,420
25.03.1958 12:00:00; 0,780
13.04.1958 12:00:00;  1,72
01.05.1958 12:00:00;  2,94
18.06.1958 12:00:00;  1,46
20.07.1958 12:00:00;  1,34
31.08.1958 12:00:00;  1,46
17.09.1958 12:00:00;  1,08
13.10.1958 12:00:00;  1,08
30.11.1958 12:00:00;  1,59
20.12.1958 12:00:00; 0,880
31.01.1959 12:00:00; 0,680
12.02.1959 12:00:00; 0,480
01.03.1959 12:00:00;  1,08
02.04.1959 12:00:00;  2,13
31.05.1959 12:00:00;  2,43
29.06.1959 12:00:00;  1,44
29.07.1959 12:00:00;  1,70
31.08.1959 12:00:00;  1,56
30.09.1959 12:00:00; 0,870
23.10.1959 12:00:00; 0,440
30.11.1959 12:00:00; 0,680
24.12.1959 12:00:00; 0,320
23.01.1960 12:00:00; 0,500
26.02.1960 12:00:00; 0,590
10.03.1960 12:00:00;  1,56
30.04.1960 12:00:00;  1,99
02.05.1960 12:00:00;  1,84
27.06.1960 12:00:00;  1,56
09.07.1960 12:00:00;  1,56
30.08.1960 12:00:00;  1,70
29.09.1960 12:00:00;  1,42
30.10.1960 12:00:00;  1,32
05.11.1960 12:00:00;  1,13
31.12.1960 12:00:00; 0,790
28.01.1961 12:00:00; 0,490
09.02.1961 12:00:00; 0,560
06.03.1961 12:00:00;  1,23
29.04.1961 12:00:00;  4,92
31.05.1961 12:00:00;  3,38
22.06.1961 12:00:00;  1,85
28.07.1961 12:00:00;  1,32
12.08.1961 12:00:00;  1,42
30.09.1961 12:00:00; 0,790
16.10.1961 12:00:00; 0,640
03.11.1961 12:00:00; 0,640
11.12.1961 12:00:00; 0,790
20.01.1962 12:00:00; 0,680
12.02.1962 12:00:00; 0,680
03.03.1962 12:00:00; 0,780
08.04.1962 12:00:00;  1,32
03.05.1962 12:00:00;  2,89
29.06.1962 12:00:00;  4,03
26.07.1962 12:00:00;  2,27
31.08.1962 12:00:00;  1,08
17.09.1962 12:00:00; 0,780
28.10.1962 12:00:00; 0,380
30.11.1962 12:00:00; 0,680
16.12.1962 12:00:00; 0,480
25.01.1963 12:00:00; 0,290
28.02.1963 12:00:00; 0,330
06.03.1963 12:00:00; 0,330
03.04.1963 12:00:00;  1,08
06.05.1963 12:00:00;  3,21
30.06.1963 12:00:00;  1,70
31.07.1963 12:00:00; 0,960
04.08.1963 12:00:00; 0,780
22.09.1963 12:00:00; 0,780
31.10.1963 12:00:00; 0,870
07.11.1963 12:00:00; 0,780
31.12.1963 12:00:00; 0,440
30.01.1964 12:00:00; 0,320
16.02.1964 12:00:00; 0,380
20.03.1964 12:00:00; 0,440
10.04.1964 12:00:00;  2,15
02.05.1964 12:00:00;  3,59
26.06.1964 12:00:00;  1,27
31.07.1964 12:00:00;  1,39
01.08.1964 12:00:00;  1,39
06.09.1964 12:00:00;  1,16
08.10.1964 12:00:00;  1,16
14.11.1964 12:00:00;  1,63
31.12.1964 12:00:00;  1,16
31.01.1965 12:00:00; 0,950
28.02.1965 12:00:00; 0,570
11.03.1965 12:00:00; 0,570
30.04.1965 12:00:00;  2,59
01.05.1965 12:00:00;  2,44
02.06.1965 12:00:00;  9,44
24.07.1965 12:00:00;  2,44
24.08.1965 12:00:00;  1,39
28.09.1965 12:00:00;  1,42
22.10.1965 12:00:00; 0,640
27.11.1965 12:00:00; 0,560
06.12.1965 12:00:00; 0,640
21.01.1966 12:00:00; 0,500
01.02.1966 12:00:00; 0,950
31.03.1966 12:00:00;  1,39
01.04.1966 12:00:00;  1,39
31.05.1966 12:00:00;  4,71
23.06.1966 12:00:00;  3,77
11.07.1966 12:00:00;  2,68
15.08.1966 12:00:00;  1,83
30.09.1966 12:00:00;  1,23
27.10.1966 12:00:00; 0,820
27.11.1966 12:00:00; 0,670
02.12.1966 12:00:00; 0,670
25.01.1967 12:00:00; 0,740
21.02.1967 12:00:00; 0,920
22.03.1967 12:00:00;  1,58
04.04.1967 12:00:00;  1,70
05.05.1967 12:00:00;  5,62
14.06.1967 12:00:00;  5,84
31.07.1967 12:00:00;  2,10
31.08.1967 12:00:00;  1,13
07.09.1967 12:00:00; 0,920
31.10.1967 12:00:00; 0,670
03.11.1967 12:00:00; 0,670
20.12.1967 12:00:00; 0,520
14.01.1968 12:00:00; 0,520
20.02.1968 12:00:00; 0,670
18.03.1968 12:00:00; 0,520
13.04.1968 12:00:00;  2,39
20.05.1968 12:00:00;  3,01
30.06.1968 12:00:00;  1,70
09.07.1968 12:00:00;  1,02
03.08.1968 12:00:00;  1,45
22.09.1968 12:00:00;  1,33
31.10.1968 12:00:00;  1,13
24.11.1968 12:00:00; 0,590
31.12.1968 12:00:00; 0,520
23.01.1969 12:00:00; 0,410
28.02.1969 12:00:00; 0,410
02.03.1969 12:00:00; 0,410
01.04.1969 12:00:00; 0,740
31.05.1969 12:00:00;  1,83
26.06.1969 12:00:00;  1,23
31.07.1969 12:00:00; 0,920
02.08.1969 12:00:00; 0,820
30.09.1969 12:00:00; 0,920
24.10.1969 12:00:00; 0,520
10.11.1969 12:00:00; 0,520
30.12.1969 12:00:00; 0,410
10.01.1970 12:00:00; 0,380
03.02.1970 12:00:00; 0,440
07.03.1970 12:00:00; 0,440
06.04.1970 12:00:00; 0,920
04.05.1970 12:00:00;  2,85
30.06.1970 12:00:00;  5,90
14.07.1970 12:00:00;  2,29
08.08.1970 12:00:00;  1,83
30.09.1970 12:00:00;  1,33
01.10.1970 12:00:00;  1,33
29.11.1970 12:00:00;  1,83
31.12.1970 12:00:00; 0,820
31.01.1971 12:00:00; 0,590
28.02.1971 12:00:00; 0,440
15.03.1971 12:00:00; 0,410
01.04.1971 12:00:00;  1,33
29.05.1971 12:00:00;  2,39
10.06.1971 12:00:00;  1,95
31.07.1971 12:00:00;  1,02
26.08.1971 12:00:00; 0,740
25.09.1971 12:00:00; 0,920
30.10.1971 12:00:00; 0,520
17.11.1971 12:00:00; 0,520
20.12.1971 12:00:00; 0,740
31.01.1972 12:00:00; 0,520
09.02.1972 12:00:00; 0,410
07.03.1972 12:00:00; 0,670
30.04.1972 12:00:00;  2,10
01.05.1972 12:00:00;  3,18
30.06.1972 12:00:00;  1,58
10.07.1972 12:00:00;  1,58
19.08.1972 12:00:00; 0,840
08.09.1972 12:00:00; 0,680
23.10.1972 12:00:00; 0,820
30.11.1972 12:00:00;  1,33
31.12.1972 12:00:00; 0,670
26.01.1973 12:00:00; 0,440
