Messstelle:                ;Raudaschlsäge
HZB-Nummer:                ;205369
HD-Nummer:                 ;5320
DBMS-Nummer:               ;4001083
Gewässer:                  ;Ager
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;462,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00466,31
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;470540,00 - 312840,00
   01.01.2020              ;470545,00 - 312810,00
Exportzeitreihe:           ;(4001083,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[14.01.1951 12:00,01.01.2022 00:00]
Werte:
14.01.1951 12:00:00;  6,40
12.02.1951 12:00:00;  13,0
14.03.1951 12:00:00;  13,0
30.04.1951 12:00:00;  13,2
04.05.1951 12:00:00;  12,7
02.06.1951 12:00:00;  14,4
16.07.1951 12:00:00;  10,0
31.08.1951 12:00:00;  9,00
26.09.1951 12:00:00;  4,90
31.10.1951 12:00:00;  2,84
08.11.1951 12:00:00;  3,32
01.12.1951 12:00:00;  7,54
31.01.1952 12:00:00;  11,5
08.02.1952 12:00:00;  9,40
01.03.1952 12:00:00;  14,9
30.04.1952 12:00:00;  22,4
24.05.1952 12:00:00;  13,7
18.06.1952 12:00:00;  17,5
29.07.1952 12:00:00;  7,30
30.08.1952 12:00:00;  6,53
05.09.1952 12:00:00;  5,75
06.10.1952 12:00:00;  7,70
02.11.1952 12:00:00;  16,5
27.12.1952 12:00:00;  10,4
30.01.1953 12:00:00;  7,70
17.02.1953 12:00:00;  8,24
25.03.1953 12:00:00;  10,9
28.04.1953 12:00:00;  13,1
06.05.1953 12:00:00;  11,5
22.06.1953 12:00:00;  10,4
03.07.1953 12:00:00;  19,3
31.08.1953 12:00:00;  11,5
17.09.1953 12:00:00;  6,14
31.10.1953 12:00:00;  4,05
30.11.1953 12:00:00;  2,70
26.12.1953 12:00:00;  2,40
06.01.1954 12:00:00;  2,25
25.02.1954 12:00:00;  6,53
02.03.1954 12:00:00;  6,92
30.04.1954 12:00:00;  17,2
05.05.1954 12:00:00;  16,5
27.06.1954 12:00:00;  13,7
01.07.1954 12:00:00;  14,3
31.08.1954 12:00:00;  13,6
02.09.1954 12:00:00;  12,5
31.10.1954 12:00:00;  17,7
30.11.1954 12:00:00;  13,6
03.12.1954 12:00:00;  13,0
31.01.1955 12:00:00;  17,0
28.02.1955 12:00:00;  16,4
23.03.1955 12:00:00;  10,4
04.04.1955 12:00:00;  24,0
26.05.1955 12:00:00;  15,6
25.06.1955 12:00:00;  12,6
06.07.1955 12:00:00;  16,2
30.08.1955 12:00:00;  18,2
30.09.1955 12:00:00;  12,0
24.10.1955 12:00:00;  9,40
23.11.1955 12:00:00;  7,72
03.12.1955 12:00:00;  7,30
25.01.1956 12:00:00;  11,0
25.02.1956 12:00:00;  8,56
01.03.1956 12:00:00;  9,40
28.04.1956 12:00:00;  15,4
31.05.1956 12:00:00;  19,9
02.06.1956 12:00:00;  19,9
22.07.1956 12:00:00;  17,3
19.08.1956 12:00:00;  17,3
30.09.1956 12:00:00;  14,8
25.10.1956 12:00:00;  10,4
25.11.1956 12:00:00;  13,6
31.12.1956 12:00:00;  18,6
31.01.1957 12:00:00;  12,5
01.02.1957 12:00:00;  13,1
28.03.1957 12:00:00;  15,1
02.04.1957 12:00:00;  15,1
13.05.1957 12:00:00;  13,8
30.06.1957 12:00:00;  11,0
10.07.1957 12:00:00;  9,00
18.08.1957 12:00:00;  15,7
17.09.1957 12:00:00;  12,7
31.10.1957 12:00:00;  8,50
28.11.1957 12:00:00;  4,96
02.12.1957 12:00:00;  5,32
06.01.1958 12:00:00;  8,50
05.02.1958 12:00:00;  6,50
27.03.1958 12:00:00;  13,4
04.04.1958 12:00:00;  18,0
30.05.1958 12:00:00;  14,1
11.06.1958 12:00:00;  12,6
31.07.1958 12:00:00;  13,4
31.08.1958 12:00:00;  8,54
18.09.1958 12:00:00;  6,50
11.10.1958 12:00:00;  9,16
30.11.1958 12:00:00;  10,4
25.12.1958 12:00:00;  7,92
31.01.1959 12:00:00;  11,9
20.02.1959 12:00:00;  7,30
07.03.1959 12:00:00;  9,16
07.04.1959 12:00:00;  7,92
31.05.1959 12:00:00;  10,4
09.06.1959 12:00:00;  10,4
15.07.1959 12:00:00;  20,5
01.08.1959 12:00:00;  24,6
30.09.1959 12:00:00;  8,70
28.10.1959 12:00:00;  3,24
06.11.1959 12:00:00;  3,00
02.12.1959 12:00:00;  3,00
01.01.1960 12:00:00;  10,3
23.02.1960 12:00:00;  11,3
01.03.1960 12:00:00;  23,9
30.04.1960 12:00:00;  14,5
21.05.1960 12:00:00;  14,5
13.06.1960 12:00:00;  11,9
11.07.1960 12:00:00;  15,9
08.08.1960 12:00:00;  21,6
30.09.1960 12:00:00;  15,2
19.10.1960 12:00:00;  10,9
28.11.1960 12:00:00;  9,32
29.12.1960 12:00:00;  5,75
26.01.1961 12:00:00;  2,65
03.02.1961 12:00:00;  3,77
09.03.1961 12:00:00;  11,4
26.04.1961 12:00:00;  12,6
10.05.1961 12:00:00;  17,8
19.06.1961 12:00:00;  10,7
14.07.1961 12:00:00;  8,96
09.08.1961 12:00:00;  8,96
30.09.1961 12:00:00;  8,96
31.10.1961 12:00:00;  4,39
09.11.1961 12:00:00;  3,77
06.12.1961 12:00:00;  5,12
10.01.1962 12:00:00;  8,96
28.02.1962 12:00:00;  16,9
27.03.1962 12:00:00;  10,1
01.04.1962 12:00:00;  15,4
08.05.1962 12:00:00;  16,9
28.06.1962 12:00:00;  12,6
02.07.1962 12:00:00;  12,6
11.08.1962 12:00:00;  6,80
26.09.1962 12:00:00;  6,38
27.10.1962 12:00:00;  4,39
12.11.1962 12:00:00;  4,70
14.12.1962 12:00:00;  5,54
26.01.1963 12:00:00;  8,96
20.02.1963 12:00:00;  6,80
12.03.1963 12:00:00;  3,15
30.04.1963 12:00:00;  18,6
30.05.1963 12:00:00;  16,9
15.06.1963 12:00:00;  10,1
31.07.1963 12:00:00;  9,50
12.08.1963 12:00:00;  6,80
24.09.1963 12:00:00;  9,50
06.10.1963 12:00:00;  9,50
02.11.1963 12:00:00;  6,80
27.12.1963 12:00:00;  3,77
21.01.1964 12:00:00;  1,90
03.02.1964 12:00:00;  4,39
18.03.1964 12:00:00;  5,96
06.04.1964 12:00:00;  18,6
31.05.1964 12:00:00;  19,5
27.06.1964 12:00:00;  15,4
28.07.1964 12:00:00;  10,7
01.08.1964 12:00:00;  11,4
16.09.1964 12:00:00;  9,50
08.10.1964 12:00:00;  7,88
16.11.1964 12:00:00;  14,0
30.12.1964 12:00:00;  12,6
21.01.1965 12:00:00;  11,4
26.02.1965 12:00:00;  7,88
09.03.1965 12:00:00;  5,96
20.04.1965 12:00:00;  35,9
31.05.1965 12:00:00;  34,6
08.06.1965 12:00:00;  27,2
20.07.1965 12:00:00;  11,4
24.08.1965 12:00:00;  10,7
28.09.1965 12:00:00;  10,1
23.10.1965 12:00:00;  5,54
18.11.1965 12:00:00;  3,15
01.12.1965 12:00:00;  4,70
24.01.1966 12:00:00;  8,96
25.02.1966 12:00:00;  14,0
08.03.1966 12:00:00;  13,3
02.04.1966 12:00:00;  14,7
16.05.1966 12:00:00;  14,0
23.06.1966 12:00:00;  14,0
22.07.1966 12:00:00;  22,2
08.08.1966 12:00:00;  20,3
26.09.1966 12:00:00;  13,3
29.10.1966 12:00:00;  7,34
12.11.1966 12:00:00;  6,80
01.12.1966 12:00:00;  7,34
16.01.1967 12:00:00;  14,7
20.02.1967 12:00:00;  15,4
17.03.1967 12:00:00;  10,7
02.04.1967 12:00:00;  26,1
20.05.1967 12:00:00;  16,1
30.06.1967 12:00:00;  19,5
20.07.1967 12:00:00;  12,0
24.08.1967 12:00:00;  6,80
08.09.1967 12:00:00;  5,96
28.10.1967 12:00:00;  6,80
27.11.1967 12:00:00;  4,70
03.12.1967 12:00:00;  4,70
14.01.1968 12:00:00;  13,3
22.02.1968 12:00:00;  12,6
16.03.1968 12:00:00;  11,4
21.04.1968 12:00:00;  12,6
21.05.1968 12:00:00;  10,1
19.06.1968 12:00:00;  9,50
15.07.1968 12:00:00;  8,96
05.08.1968 12:00:00;  19,5
09.09.1968 12:00:00;  9,50
27.10.1968 12:00:00;  11,4
24.11.1968 12:00:00;  7,34
23.12.1968 12:00:00;  3,77
04.01.1969 12:00:00;  5,54
20.02.1969 12:00:00;  7,88
03.03.1969 12:00:00;  9,50
01.04.1969 12:00:00;  15,4
31.05.1969 12:00:00;  10,1
06.06.1969 12:00:00;  10,1
31.07.1969 12:00:00;  12,0
16.08.1969 12:00:00;  7,34
29.09.1969 12:00:00;  8,42
27.10.1969 12:00:00;  3,46
12.11.1969 12:00:00;  2,65
15.12.1969 12:00:00;  5,12
12.01.1970 12:00:00;  5,96
01.02.1970 12:00:00;  8,42
23.03.1970 12:00:00;  12,6
13.04.1970 12:00:00;  16,9
31.05.1970 12:00:00;  28,3
29.06.1970 12:00:00;  21,2
20.07.1970 12:00:00;  15,4
04.08.1970 12:00:00;  26,1
30.09.1970 12:00:00;  9,50
02.10.1970 12:00:00;  10,1
18.11.1970 12:00:00;  10,1
20.12.1970 12:00:00;  14,0
31.01.1971 12:00:00;  5,84
14.02.1971 12:00:00;  5,48
21.03.1971 12:00:00;  8,12
30.04.1971 12:00:00;  17,6
25.05.1971 12:00:00;  7,64
07.06.1971 12:00:00;  7,64
28.07.1971 12:00:00;  7,64
22.08.1971 12:00:00;  5,48
28.09.1971 12:00:00;  7,16
28.10.1971 12:00:00;  5,48
18.11.1971 12:00:00;  4,40
08.12.1971 12:00:00;  7,16
31.01.1972 12:00:00;  3,80
11.02.1972 12:00:00;  2,90
18.03.1972 12:00:00;  4,76
01.04.1972 12:00:00;  5,84
02.05.1972 12:00:00;  9,20
29.06.1972 12:00:00;  13,0
10.07.1972 12:00:00;  11,0
20.08.1972 12:00:00;  5,84
30.09.1972 12:00:00;  5,12
23.10.1972 12:00:00;  4,20
