Messstelle:                ;Kienberg (Neuhaus)
HZB-Nummer:                ;207738
HD-Nummer:                 ;no085
DBMS-Nummer:               ;3001013
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;203,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1936              ;00382,74
   01.01.1976              ;00382,73
   14.08.1997              ;00382,73
   01.01.2017              ;00382,82
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1936              ;659800,00 - 311224,80
Exportzeitreihe:           ;(3001013,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.01.1976 21:00:00;  2,56
25.02.1976 17:30:00;  2,96
15.03.1976 09:00:00;  2,77
13.04.1976 19:00:00;  5,39
22.05.1976 18:30:00;  5,37
30.06.1976 16:00:00;  3,11
19.07.1976 14:00:00;  2,62
19.08.1976 06:00:00;  2,14
17.09.1976 11:00:00;  3,27
29.10.1976 10:30:00;  2,88
08.11.1976 00:00:00;  2,54
31.12.1976 11:30:00;  3,61
24.01.1977 16:30:00;  2,91
05.02.1977 06:00:00;  3,86
31.03.1977 17:30:00;  7,52
07.04.1977 16:00:00;  6,41
30.05.1977 16:30:00;  2,84
20.06.1977 15:00:00;  2,94
31.07.1977 04:30:00;  3,03
28.08.1977 20:30:00;  3,58
29.09.1977 12:30:00;  2,80
30.10.1977 20:30:00;  2,59
28.11.1977 09:00:00;  2,52
05.12.1977 07:30:00;  2,55
29.01.1978 17:00:00;  2,75
19.02.1978 10:00:00;  2,54
27.03.1978 13:00:00;  4,13
17.04.1978 05:00:00;  4,87
29.05.1978 12:30:00;  4,53
24.06.1978 12:00:00;  2,83
31.07.1978 23:59:55;  3,15
26.08.1978 06:00:00;  2,06
06.09.1978 19:30:00;  2,25
22.10.1978 20:00:00;  2,77
29.11.1978 00:00:00;  2,38
02.12.1978 06:30:00;  2,32
24.01.1979 19:00:00;  2,89
02.02.1979 21:00:00;  2,74
01.03.1979 20:30:00;  2,89
07.04.1979 13:00:00;  6,08
31.05.1979 21:00:00;  6,05
12.06.1979 22:00:00;  3,88
01.07.1979 20:00:00;  4,23
22.08.1979 23:00:00;  3,33
02.09.1979 06:30:00;  3,19
29.10.1979 08:00:00;  2,49
01.11.1979 00:00:00;  2,56
31.12.1979 23:59:55;  4,15
24.01.1980 16:00:00;  2,70
01.02.1980 00:00:00;  3,32
05.03.1980 10:00:00;  3,80
13.04.1980 13:00:00;  6,28
19.05.1980 07:30:00;  10,7
23.06.1980 09:00:00;  4,96
21.07.1980 02:30:00;  4,41
28.08.1980 14:00:00;  3,09
30.09.1980 23:59:55;  2,97
01.10.1980 18:30:00;  2,83
14.11.1980 16:30:00;  2,91
06.12.1980 06:30:00;  3,28
30.01.1981 17:30:00;  3,63
02.02.1981 04:30:00;  3,52
06.03.1981 18:30:00;  3,54
27.04.1981 05:30:00;  5,03
30.05.1981 10:00:00;  4,03
15.06.1981 08:00:00;  3,04
10.07.1981 14:30:00;  2,99
21.08.1981 01:30:00;  3,42
13.09.1981 01:00:00;  3,36
10.10.1981 20:30:00;  4,15
11.11.1981 09:30:00;  4,60
28.12.1981 09:00:00;  4,33
29.01.1982 02:30:00;  4,19
28.02.1982 06:00:00;  4,03
01.03.1982 00:00:00;  4,07
24.04.1982 14:00:00;  6,28
03.05.1982 13:00:00;  9,46
26.06.1982 14:00:00;  4,13
21.07.1982 01:00:00;  3,69
31.08.1982 21:30:00;  3,63
21.09.1982 08:00:00;  2,72
29.10.1982 08:30:00;  2,89
09.11.1982 09:00:00;  2,34
10.12.1982 19:30:00;  2,45
02.01.1983 14:00:00;  3,69
25.02.1983 10:30:00;  4,03
06.03.1983 06:30:00;  4,17
06.04.1983 17:00:00;  6,10
24.05.1983 07:00:00;  3,86
09.06.1983 13:30:00;  3,06
25.07.1983 06:30:00;  1,93
26.08.1983 21:00:00;  2,10
06.09.1983 23:00:00;  1,66
01.10.1983 00:00:00;  1,91
21.11.1983 13:00:00; 0,918
15.12.1983 06:30:00;  1,97
30.01.1984 09:30:00;  2,28
06.02.1984 02:00:00;  1,97
10.03.1984 21:30:00;  2,81
05.04.1984 09:00:00;  6,95
31.05.1984 23:59:55;  5,67
24.06.1984 21:00:00;  2,98
15.07.1984 14:00:00;  2,94
31.08.1984 23:59:55;  3,14
10.09.1984 07:30:00;  2,75
28.10.1984 19:30:00;  2,71
16.11.1984 09:30:00;  2,41
10.12.1984 14:30:00;  2,17
24.01.1985 03:30:00;  1,64
25.02.1985 08:00:00;  2,75
01.03.1985 16:00:00;  2,96
30.04.1985 15:30:00;  7,25
31.05.1985 01:00:00;  4,70
03.06.1985 07:30:00;  4,82
29.07.1985 21:30:00;  3,03
01.08.1985 23:00:00;  3,17
30.09.1985 10:00:00;  3,09
28.10.1985 08:00:00;  2,75
30.11.1985 16:00:00;  2,59
01.12.1985 00:00:00;  2,73
13.01.1986 09:00:00;  3,69
27.02.1986 06:00:00;  3,17
05.03.1986 17:00:00;  3,05
21.04.1986 07:00:00;  7,90
27.05.1986 23:00:00;  3,95
11.06.1986 17:30:00;  3,93
29.07.1986 14:45:00;  2,67
11.08.1986 12:00:00;  2,42
29.09.1986 10:45:00;  2,28
20.10.1986 01:00:00;  1,96
23.11.1986 19:30:00;  1,94
15.12.1986 20:30:00;  1,69
30.01.1987 11:00:00;  1,94
04.02.1987 12:30:00;  2,10
23.03.1987 16:30:00;  3,27
03.04.1987 04:15:00;  4,96
31.05.1987 03:30:00;  10,5
30.06.1987 08:00:00;  5,85
13.07.1987 14:30:00;  3,48
25.08.1987 09:30:00;  3,69
18.09.1987 07:30:00;  2,12
18.10.1987 07:30:00;  1,54
02.11.1987 11:15:00;  1,80
16.12.1987 10:00:00;  1,80
18.01.1988 00:15:00;  2,10
29.02.1988 06:30:00;  1,80
07.03.1988 16:30:00;  1,80
03.04.1988 14:45:00;  10,1
30.05.1988 04:00:00;  5,07
30.06.1988 23:59:55;  3,90
29.07.1988 13:45:00;  2,59
02.08.1988 14:15:00;  2,59
29.09.1988 13:00:00;  3,48
24.10.1988 07:45:00;  2,59
05.11.1988 16:30:00;  2,75
19.12.1988 05:15:00;  5,58
31.01.1989 04:30:00;  3,90
06.02.1989 06:30:00;  3,69
03.03.1989 05:30:00;  6,69
30.04.1989 09:15:00;  4,58
30.05.1989 07:45:00;  4,58
12.06.1989 00:00:00;  4,35
23.07.1989 11:45:00;  3,69
23.08.1989 22:30:00;  4,12
26.09.1989 07:15:00;  3,48
28.10.1989 04:30:00;  3,28
29.11.1989 00:30:00;  3,28
13.12.1989 10:45:00;  2,61
06.01.1990 20:15:00;  2,45
06.02.1990 10:00:00;  2,31
28.03.1990 05:00:00;  4,35
13.04.1990 13:15:00;  3,90
30.05.1990 18:00:00;  3,28
02.06.1990 19:30:00;  2,90
31.07.1990 23:59:55;  3,67
29.08.1990 08:45:00;  2,75
01.09.1990 00:00:00;  2,75
27.10.1990 15:45:00;  2,75
10.11.1990 10:30:00;  3,28
22.12.1990 05:00:00;  3,28
30.01.1991 02:30:00;  3,28
20.02.1991 16:00:00;  2,19
01.03.1991 10:15:00;  3,09
16.04.1991 02:45:00;  3,09
10.05.1991 09:45:00;  5,07
24.06.1991 07:45:00;  3,90
03.07.1991 10:30:00;  3,48
26.08.1991 08:15:00;  4,82
29.09.1991 10:00:00;  2,90
22.10.1991 11:30:00;  2,59
03.11.1991 05:00:00;  2,59
18.12.1991 11:45:00;  2,31
31.01.1992 23:59:55;  3,45
01.02.1992 21:30:00;  3,28
01.03.1992 00:00:00;  5,83
09.04.1992 02:15:00;  7,59
31.05.1992 23:59:55;  4,37
30.06.1992 23:59:55;  4,10
28.07.1992 02:45:00;  2,59
31.08.1992 06:00:00;  2,06
01.09.1992 01:15:00;  2,19
19.10.1992 06:45:00;  2,45
02.11.1992 17:30:00;  3,48
31.12.1992 23:59:55;  3,28
07.01.1993 13:15:00;  3,28
27.02.1993 11:00:00;  2,90
08.03.1993 06:45:00;  2,75
01.04.1993 00:00:00;  8,26
25.05.1993 02:00:00;  3,90
19.06.1993 07:30:00;  2,90
09.07.1993 10:00:00;  3,09
22.08.1993 04:15:00;  2,90
20.09.1993 14:15:00;  2,90
21.10.1993 00:00:00;  2,59
10.11.1993 12:45:00;  2,45
03.12.1993 00:00:00;  2,59
20.01.1994 15:30:00;  3,69
17.02.1994 15:45:00;  3,09
05.03.1994 16:15:00;  4,58
11.04.1994 08:45:00;  5,07
18.05.1994 13:30:00;  4,35
28.06.1994 21:00:00;  3,71
28.07.1994 14:30:00;  2,59
17.08.1994 13:45:00;  2,45
30.09.1994 23:59:55;  2,31
03.10.1994 19:00:00;  2,19
02.11.1994 08:15:00;  2,31
27.12.1994 19:45:00;  3,11
22.01.1995 11:45:00;  2,90
05.02.1995 07:30:00;  4,82
18.03.1995 08:15:00;  3,90
01.04.1995 05:45:00;  7,90
30.05.1995 02:00:00;  4,82
06.06.1995 00:00:00;  4,58
26.07.1995 04:00:00;  3,28
07.08.1995 16:15:00;  2,90
21.09.1995 11:30:00;  3,90
31.10.1995 23:59:55;  2,90
01.11.1995 00:00:00;  2,90
16.12.1995 00:45:00;  3,09
31.01.1996 23:59:55;  2,82
17.02.1996 06:45:00;  2,06
01.03.1996 00:15:00;  2,31
03.04.1996 15:00:00;  3,90
11.05.1996 16:00:00;  9,23
17.06.1996 02:00:00;  3,90
28.07.1996 21:30:00;  4,12
31.08.1996 23:59:55;  3,28
01.09.1996 00:00:00;  3,28
14.10.1996 10:15:00;  4,58
25.11.1996 09:30:00;  3,90
28.12.1996 00:00:05;  2,75
30.01.1997 20:41:35;  1,92
02.02.1997 01:50:05;  2,10
13.03.1997 22:05:40;  3,66
25.04.1997 13:33:00;  8,35
31.05.1997 23:59:55;  5,27
16.06.1997 11:33:50;  3,62
01.07.1997 00:00:00;  4,00
25.08.1997 09:52:35;  1,20
30.09.1997 03:14:45;  2,26
15.10.1997 09:56:15;  1,87
02.11.1997 00:26:30;  2,66
01.12.1997 00:00:00;  3,28
29.01.1998 00:21:15;  2,34
09.02.1998 07:52:20;  2,20
14.03.1998 01:37:15;  3,72
12.04.1998 06:37:50;  10,9
16.05.1998 15:22:00;  7,29
30.06.1998 18:35:55;  3,84
01.07.1998 12:55:40;  4,10
31.08.1998 23:59:55;  4,88
03.09.1998 17:33:05;  4,44
19.10.1998 15:07:20;  7,61
26.11.1998 13:38:20;  6,06
13.12.1998 02:16:10;  4,82
21.01.1999 23:40:10;  4,87
17.02.1999 16:46:10;  4,15
01.03.1999 00:00:00;  5,99
18.04.1999 18:54:05;  12,0
31.05.1999 17:08:20;  4,05
15.06.1999 19:48:15;  2,80
07.07.1999 08:22:20;  3,32
18.08.1999 18:03:10;  3,75
29.09.1999 20:45:20;  3,59
26.10.1999 12:09:30;  2,60
22.11.1999 06:46:40;  2,36
01.12.1999 00:00:00;  2,75
29.01.2000 05:43:50;  2,77
24.02.2000 23:50:25;  5,44
08.03.2000 10:48:05;  4,08
10.04.2000 18:46:25;  11,0
28.05.2000 18:22:40;  4,51
14.06.2000 01:42:25;  2,42
03.07.2000 14:28:00;  2,60
21.08.2000 20:49:00;  2,80
30.09.2000 23:59:55;  2,83
25.10.2000 17:24:50;  2,39
16.11.2000 16:41:35;  2,66
23.12.2000 20:57:20;  2,46
24.01.2001 13:23:55;  2,33
02.02.2001 13:22:35;  2,81
01.03.2001 00:00:00;  3,47
08.04.2001 01:15:35;  5,14
25.05.2001 16:58:30;  3,79
27.06.2001 07:51:55;  3,56
31.07.2001 23:59:55;  2,82
27.08.2001 17:08:35;  1,59
03.09.2001 19:57:30;  2,17
31.10.2001 23:59:55;  3,36
05.11.2001 23:03:15;  2,77
25.12.2001 20:42:00;  3,89
06.01.2002 21:17:50;  3,84
22.02.2002 14:53:55;  9,11
13.03.2002 00:19:50;  7,63
22.04.2002 13:40:00;  5,84
31.05.2002 23:59:55;  3,56
06.06.2002 13:39:15;  3,19
14.07.2002 21:12:55;  2,59
06.08.2002 14:27:15;  2,81
13.09.2002 22:06:25;  2,78
27.10.2002 08:38:15;  5,07
30.11.2002 11:48:40;  5,57
20.12.2002 00:38:55;  3,85
14.01.2003 03:09:30;  4,70
23.02.2003 20:52:05;  3,30
01.03.2003 09:13:05;  3,92
12.04.2003 10:57:55;  5,38
31.05.2003 23:59:55;  3,08
29.06.2003 19:27:20;  2,61
10.07.2003 15:12:55;  2,04
13.08.2003 07:59:55; 0,314
10.09.2003 07:39:20;  1,10
01.10.2003 13:15:15;  1,98
30.11.2003 23:59:55;  2,02
14.12.2003 14:09:30;  1,49
07.01.2004 22:33:45;  2,01
02.02.2004 13:05:05;  2,69
08.03.2004 19:50:05;  3,88
15.04.2004 11:46:10;  7,50
27.05.2004 16:08:10;  5,63
18.06.2004 00:24:00;  4,80
31.07.2004 23:59:55;  3,36
13.08.2004 19:42:00;  3,13
20.09.2004 17:25:25;  2,35
27.10.2004 18:48:55;  1,98
07.11.2004 20:07:20;  2,06
22.12.2004 12:20:05;  2,45
01.01.2005 06:11:45;  2,71
28.02.2005 23:59:55;  3,55
10.03.2005 05:20:00;  2,80
04.04.2005 12:50:00;  8,28
29.05.2005 00:29:05;  6,67
26.06.2005 01:05:45;  3,96
27.07.2005 14:45:05;  3,58
12.08.2005 14:25:00;  2,43
16.09.2005 21:14:20;  3,81
28.10.2005 06:29:40;  2,50
15.11.2005 04:43:15;  2,14
29.12.2005 21:33:15;  2,20
15.01.2006 06:49:45;  1,79
05.02.2006 15:21:55;  1,98
09.03.2006 12:27:50;  2,45
13.04.2006 17:48:30;  13,0
25.05.2006 22:35:40;  6,82
27.06.2006 11:12:55;  5,32
31.07.2006 07:31:20;  3,74
03.08.2006 01:16:50;  3,76
13.09.2006 01:26:00;  3,10
29.10.2006 03:20:00;  2,02
04.11.2006 01:50:30;  2,38
28.12.2006 06:31:45;  2,04
01.01.2007 00:00:00;  2,19
02.02.2007 21:06:55;  4,00
24.03.2007 20:01:45;  5,10
30.04.2007 23:59:55;  4,35
08.05.2007 10:13:05;  3,12
22.06.2007 22:10:40;  2,15
28.07.2007 08:45:40;  2,01
28.08.2007 21:16:50;  2,28
03.09.2007 20:34:25;  2,49
08.10.2007 21:25:35;  3,19
19.11.2007 11:54:05;  6,30
31.12.2007 23:59:55;  4,06
06.01.2008 11:04:45;  3,58
22.02.2008 11:15:20;  4,30
10.03.2008 17:58:45;  7,77
08.04.2008 07:14:25;  7,58
31.05.2008 15:05:50;  3,93
25.06.2008 17:52:15;  3,28
19.07.2008 10:23:20;  2,54
29.08.2008 16:40:40;  3,74
10.09.2008 19:29:00;  2,02
30.10.2008 14:00:00;  2,22
11.11.2008 23:48:15;  2,44
11.12.2008 09:30:30;  3,95
31.01.2009 17:51:15;  3,08
02.02.2009 00:55:05;  3,04
22.03.2009 22:14:35;  5,49
01.04.2009 03:58:40;  11,0
27.05.2009 02:09:50;  5,71
19.06.2009 04:58:05;  3,45
31.07.2009 22:15:05;  5,17
02.08.2009 06:19:30;  5,03
