Messstelle:                ;Lech (Tannbergbrücke)
HZB-Nummer:                ;200378
HD-Nummer:                 ;
DBMS-Nummer:               ;8001037
Gewässer:                  ;Lech
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;84,39
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01437,48
   01.01.1996              ;01437,49
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1942              ;135436,00 - 229883,00
Exportzeitreihe:           ;(8001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00; 0,900
28.02.1951 12:00:00; 0,900
13.03.1951 12:00:00; 0,900
04.04.1951 12:00:00;  1,04
01.05.1951 12:00:00;  4,80
30.06.1951 12:00:00;  9,90
31.07.1951 12:00:00;  6,45
31.08.1951 12:00:00;  2,64
26.09.1951 12:00:00;  2,04
31.10.1951 12:00:00; 0,950
06.11.1951 12:00:00; 0,950
31.12.1951 12:00:00; 0,950
26.01.1952 12:00:00; 0,790
20.02.1952 12:00:00; 0,790
13.03.1952 12:00:00; 0,840
07.04.1952 12:00:00;  2,04
26.05.1952 12:00:00;  6,73
30.06.1952 12:00:00;  7,55
27.07.1952 12:00:00;  4,08
15.08.1952 12:00:00;  3,12
30.09.1952 12:00:00;  4,56
13.10.1952 12:00:00;  4,08
25.11.1952 12:00:00;  2,40
21.12.1952 12:00:00;  1,38
18.01.1953 12:00:00;  1,38
23.02.1953 12:00:00;  1,25
14.03.1953 12:00:00;  1,25
17.04.1953 12:00:00;  3,60
11.05.1953 12:00:00;  4,80
04.06.1953 12:00:00;  7,89
28.07.1953 12:00:00;  7,28
31.08.1953 12:00:00;  3,84
24.09.1953 12:00:00;  2,40
31.10.1953 12:00:00;  1,38
30.11.1953 12:00:00; 0,900
19.12.1953 12:00:00; 0,840
10.01.1954 12:00:00; 0,840
28.02.1954 12:00:00; 0,730
12.03.1954 12:00:00; 0,680
23.04.1954 12:00:00;  1,31
28.05.1954 12:00:00;  2,00
02.06.1954 12:00:00;  8,08
31.07.1954 12:00:00;  4,46
02.08.1954 12:00:00;  3,68
26.09.1954 12:00:00;  3,02
27.10.1954 12:00:00;  2,80
30.11.1954 12:00:00;  1,38
