Messstelle:                ;Rabland
HZB-Nummer:                ;212027
HD-Nummer:                 ;
DBMS-Nummer:               ;7001127
Gewässer:                  ;Drau
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;374
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1890              ;01056,90
   01.01.1928              ;01066,04
   01.01.1981              ;01065,04
   01.01.1986              ;01064,56
   20.05.1988              ;01070,98
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   20.05.1988              ;382290,46 - 178963,07
Exportzeitreihe:           ;(7001127,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[25.01.1951 12:00,01.01.2022 00:00]
Werte:
25.01.1951 12:00:00;  5,78
28.02.1951 12:00:00;  5,62
08.03.1951 12:00:00;  5,62
18.04.1951 12:00:00;  6,46
18.05.1951 12:00:00;  24,6
30.06.1951 12:00:00;  33,2
31.07.1951 12:00:00;  19,8
31.08.1951 12:00:00;  8,90
17.09.1951 12:00:00;  7,90
15.10.1951 12:00:00;  7,36
08.11.1951 12:00:00;  7,90
31.12.1951 12:00:00;  5,62
31.01.1952 12:00:00;  4,40
03.02.1952 12:00:00;  4,40
17.03.1952 12:00:00;  5,16
03.04.1952 12:00:00;  5,78
31.05.1952 12:00:00;  7,90
03.06.1952 12:00:00;  7,90
28.07.1952 12:00:00;  6,64
16.08.1952 12:00:00;  7,00
30.09.1952 12:00:00;  10,1
17.10.1952 12:00:00;  9,38
30.11.1952 12:00:00;  6,10
31.12.1952 12:00:00;  5,46
23.01.1953 12:00:00;  5,02
28.02.1953 12:00:00;  4,60
15.03.1953 12:00:00;  4,40
20.04.1953 12:00:00;  5,78
12.05.1953 12:00:00;  6,64
02.06.1953 12:00:00;  10,1
27.07.1953 12:00:00;  12,2
25.08.1953 12:00:00;  11,1
14.09.1953 12:00:00;  7,90
14.10.1953 12:00:00;  7,18
30.11.1953 12:00:00;  7,54
31.12.1953 12:00:00;  5,46
31.01.1954 12:00:00;  3,86
19.02.1954 12:00:00;  4,10
13.03.1954 12:00:00;  4,10
26.04.1954 12:00:00;  6,10
01.05.1954 12:00:00;  7,90
01.06.1954 12:00:00;  19,1
29.07.1954 12:00:00;  11,7
04.08.1954 12:00:00;  9,14
14.09.1954 12:00:00;  7,90
27.10.1954 12:00:00;  4,88
26.11.1954 12:00:00;  4,88
26.12.1954 12:00:00;  4,60
30.01.1955 12:00:00;  4,10
28.02.1955 12:00:00;  4,02
20.03.1955 12:00:00;  3,70
20.04.1955 12:00:00;  6,10
06.05.1955 12:00:00;  11,1
04.06.1955 12:00:00;  16,3
31.07.1955 12:00:00;  11,1
28.08.1955 12:00:00;  7,72
04.09.1955 12:00:00;  7,18
30.10.1955 12:00:00;  6,10
30.11.1955 12:00:00;  4,74
31.12.1955 12:00:00;  4,50
23.01.1956 12:00:00;  4,20
29.02.1956 12:00:00;  3,30
01.03.1956 12:00:00;  3,30
12.04.1956 12:00:00;  4,10
04.05.1956 12:00:00;  6,10
30.06.1956 12:00:00;  12,8
31.07.1956 12:00:00;  9,14
19.08.1956 12:00:00;  6,82
22.09.1956 12:00:00;  5,62
28.10.1956 12:00:00;  6,10
30.11.1956 12:00:00;  5,30
30.12.1956 12:00:00;  4,10
31.01.1957 12:00:00;  4,02
24.02.1957 12:00:00;  3,70
13.03.1957 12:00:00;  3,70
25.04.1957 12:00:00;  6,10
15.05.1957 12:00:00;  10,1
02.06.1957 12:00:00;  11,7
31.07.1957 12:00:00;  13,1
09.08.1957 12:00:00;  10,4
28.09.1957 12:00:00;  7,36
31.10.1957 12:00:00;  6,82
05.11.1957 12:00:00;  6,10
29.12.1957 12:00:00;  4,88
28.01.1958 12:00:00;  4,40
02.02.1958 12:00:00;  4,10
22.03.1958 12:00:00;  4,20
19.04.1958 12:00:00;  5,30
01.05.1958 12:00:00;  8,90
18.06.1958 12:00:00;  13,4
19.07.1958 12:00:00;  11,7
20.08.1958 12:00:00;  11,1
17.09.1958 12:00:00;  7,90
27.10.1958 12:00:00;  6,82
11.11.1958 12:00:00;  7,36
31.12.1958 12:00:00;  6,10
20.01.1959 12:00:00;  4,60
16.02.1959 12:00:00;  4,50
25.03.1959 12:00:00;  4,74
01.04.1959 12:00:00;  6,46
07.05.1959 12:00:00;  9,14
04.06.1959 12:00:00;  13,8
24.07.1959 12:00:00;  8,56
28.08.1959 12:00:00;  7,10
24.09.1959 12:00:00;  4,95
27.10.1959 12:00:00;  4,10
10.11.1959 12:00:00;  4,54
31.12.1959 12:00:00;  4,10
22.01.1960 12:00:00;  3,52
27.02.1960 12:00:00;  3,60
15.03.1960 12:00:00;  3,90
03.04.1960 12:00:00;  6,59
07.05.1960 12:00:00;  7,70
28.06.1960 12:00:00;  14,1
06.07.1960 12:00:00;  11,7
