Messstelle:                ;Niederndorf
HZB-Nummer:                ;207803
HD-Nummer:                 ;no120
DBMS-Nummer:               ;3001020
Gewässer:                  ;Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;604,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00244,91
   01.01.1983              ;00225,37
   01.01.2018              ;00225,40
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1897              ;661545,00 - 333158,00
   01.01.1983              ;663871,00 - 337461,00
Exportzeitreihe:           ;(3001020,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[15.01.1951 12:00,01.01.2022 00:00]
Werte:
15.01.1951 12:00:00;  2,84
06.02.1951 12:00:00;  3,20
06.03.1951 12:00:00;  2,51
30.04.1951 12:00:00;  5,02
02.05.1951 12:00:00;  4,80
12.06.1951 12:00:00;  5,24
15.07.1951 12:00:00;  3,76
31.08.1951 12:00:00;  3,89
03.09.1951 12:00:00;  3,89
27.10.1951 12:00:00;  3,05
01.11.1951 12:00:00;  4,02
31.12.1951 12:00:00;  5,24
31.01.1952 12:00:00;  4,15
03.02.1952 12:00:00;  4,02
15.03.1952 12:00:00;  7,30
30.04.1952 12:00:00;  13,6
23.05.1952 12:00:00;  10,5
19.06.1952 12:00:00;  10,1
27.07.1952 12:00:00;  5,99
13.08.1952 12:00:00;  5,39
22.09.1952 12:00:00;  6,16
02.10.1952 12:00:00;  9,00
15.11.1952 12:00:00;  12,4
14.12.1952 12:00:00;  9,60
21.01.1953 12:00:00;  5,39
09.02.1953 12:00:00;  7,10
02.03.1953 12:00:00;  10,2
25.04.1953 12:00:00;  11,7
31.05.1953 12:00:00;  8,10
12.06.1953 12:00:00;  7,50
27.07.1953 12:00:00;  9,60
16.08.1953 12:00:00;  6,70
21.09.1953 12:00:00;  5,39
27.10.1953 12:00:00;  4,60
09.11.1953 12:00:00;  4,80
31.12.1953 12:00:00;  4,50
16.01.1954 12:00:00;  3,80
25.02.1954 12:00:00;  4,70
07.03.1954 12:00:00;  5,13
19.04.1954 12:00:00;  7,30
15.05.1954 12:00:00;  8,20
20.06.1954 12:00:00;  5,68
01.07.1954 12:00:00;  7,60
21.08.1954 12:00:00;  4,41
20.09.1954 12:00:00;  3,05
01.10.1954 12:00:00;  4,02
03.11.1954 12:00:00;  4,41
04.12.1954 12:00:00;  5,02
30.01.1955 12:00:00;  5,46
28.02.1955 12:00:00;  3,76
04.03.1955 12:00:00;  3,63
04.04.1955 12:00:00;  6,78
23.05.1955 12:00:00;  7,90
19.06.1955 12:00:00;  6,34
07.07.1955 12:00:00;  11,2
28.08.1955 12:00:00;  10,2
25.09.1955 12:00:00;  4,54
16.10.1955 12:00:00;  4,15
06.11.1955 12:00:00;  4,28
03.12.1955 12:00:00;  5,46
22.01.1956 12:00:00;  4,80
29.02.1956 12:00:00;  6,12
01.03.1956 12:00:00;  6,12
11.04.1956 12:00:00;  14,5
31.05.1956 12:00:00;  9,86
06.06.1956 12:00:00;  7,90
31.07.1956 12:00:00;  3,26
01.08.1956 12:00:00;  4,28
24.09.1956 12:00:00;  2,80
01.10.1956 12:00:00;  3,50
04.11.1956 12:00:00;  5,24
29.12.1956 12:00:00;  7,90
27.01.1957 12:00:00;  7,60
17.02.1957 12:00:00;  6,12
24.03.1957 12:00:00;  8,84
28.04.1957 12:00:00;  6,78
20.05.1957 12:00:00;  7,90
30.06.1957 12:00:00;  2,90
01.07.1957 12:00:00;  2,75
11.08.1957 12:00:00;  6,34
09.09.1957 12:00:00;  7,60
31.10.1957 12:00:00;  8,20
07.11.1957 12:00:00;  5,46
30.12.1957 12:00:00;  8,20
05.01.1958 12:00:00;  5,90
03.02.1958 12:00:00;  6,78
04.03.1958 12:00:00;  8,84
02.04.1958 12:00:00;  13,6
26.05.1958 12:00:00;  7,60
18.06.1958 12:00:00;  5,68
14.07.1958 12:00:00;  4,41
31.08.1958 12:00:00;  5,68
08.09.1958 12:00:00;  3,89
12.10.1958 12:00:00;  4,15
30.11.1958 12:00:00;  6,34
08.12.1958 12:00:00;  6,12
05.01.1959 12:00:00;  7,00
12.02.1959 12:00:00;  5,24
31.03.1959 12:00:00;  6,78
06.04.1959 12:00:00;  4,67
28.05.1959 12:00:00;  5,46
07.06.1959 12:00:00;  6,34
14.07.1959 12:00:00;  8,84
23.08.1959 12:00:00;  5,02
28.09.1959 12:00:00;  4,28
22.10.1959 12:00:00;  3,50
05.11.1959 12:00:00;  4,41
11.12.1959 12:00:00;  4,41
25.01.1960 12:00:00;  5,90
12.02.1960 12:00:00;  6,12
13.03.1960 12:00:00;  5,46
03.04.1960 12:00:00;  5,90
30.05.1960 12:00:00;  9,15
19.06.1960 12:00:00;  2,42
13.07.1960 12:00:00;  3,36
07.08.1960 12:00:00;  4,32
20.09.1960 12:00:00;  3,08
05.10.1960 12:00:00;  5,68
20.11.1960 12:00:00;  3,20
31.12.1960 12:00:00;  2,96
30.01.1961 12:00:00;  1,87
07.02.1961 12:00:00;  3,08
12.03.1961 12:00:00;  12,6
26.04.1961 12:00:00;  8,20
29.05.1961 12:00:00;  9,86
25.06.1961 12:00:00;  7,60
24.07.1961 12:00:00;  4,80
