Messstelle:                ;St. Paul
HZB-Nummer:                ;213819
HD-Nummer:                 ;01858
DBMS-Nummer:               ;2002491
Gewässer:                  ;Granitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;61,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   25.07.2007              ;00374,48
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2007              ;567642,00 - 174550,00
Exportzeitreihe:           ;(2002491,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[13.09.2007 13:15,01.01.2022 00:00]
Werte:
15.09.2007 16:30:00; 0,216
14.10.2007 01:00:00; 0,216
21.11.2007 21:15:00; 0,238
18.12.2007 06:52:30; 0,144
01.01.2008 02:15:00; 0,172
17.02.2008 05:45:00; 0,098
01.03.2008 00:00:00; 0,194
04.04.2008 21:00:00; 0,194
16.05.2008 20:30:00; 0,128
01.06.2008 00:00:00; 0,128
12.07.2008 18:00:00; 0,150
05.08.2008 09:00:00; 0,113
08.09.2008 09:45:00; 0,098
06.10.2008 13:45:00; 0,113
24.11.2008 13:30:00; 0,098
31.12.2008 21:45:00; 0,326
09.01.2009 12:00:00; 0,194
18.02.2009 07:00:00; 0,216
25.03.2009 20:00:00; 0,296
22.04.2009 20:00:00; 0,296
19.05.2009 04:52:30; 0,197
15.06.2009 20:45:00; 0,172
29.07.2009 18:45:00; 0,328
02.08.2009 17:15:00; 0,301
03.09.2009 16:15:00; 0,301
20.10.2009 21:45:00; 0,397
27.11.2009 15:15:00; 0,194
18.12.2009 08:15:00; 0,194
27.01.2010 11:45:00; 0,194
16.02.2010 07:30:00; 0,172
28.03.2010 17:00:00; 0,273
30.04.2010 20:00:00; 0,171
26.05.2010 21:00:00; 0,110
11.06.2010 22:00:00; 0,064
22.07.2010 22:00:00; 0,038
02.08.2010 22:00:00; 0,064
02.09.2010 16:30:00; 0,110
12.10.2010 21:00:00; 0,191
04.11.2010 22:00:00; 0,301
21.12.2010 08:30:00; 0,397
04.01.2011 09:30:00; 0,273
24.02.2011 08:30:00; 0,151
08.03.2011 08:30:00; 0,151
20.04.2011 20:00:00; 0,219
27.05.2011 10:27:20; 0,090
01.06.2011 12:30:00; 0,151
10.07.2011 19:30:00; 0,110
26.08.2011 20:30:00; 0,077
04.09.2011 19:00:00; 0,110
06.10.2011 19:00:00; 0,130
20.11.2011 08:30:00; 0,191
22.12.2011 07:15:00; 0,130
16.01.2012 08:45:00; 0,054
01.02.2012 07:45:00; 0,079
31.03.2012 22:00:00; 0,130
01.04.2012 00:00:00; 0,130
18.05.2012 22:15:00; 0,083
30.06.2012 19:00:00; 0,053
01.07.2012 00:00:00; 0,053
25.08.2012 17:45:00; 0,130
10.09.2012 18:45:00; 0,151
12.10.2012 09:15:00; 0,246
28.11.2012 00:15:05; 0,397
13.12.2012 08:00:00; 0,238
26.01.2013 06:30:00; 0,246
11.02.2013 00:15:00; 0,246
01.03.2013 00:00:00; 0,665
30.04.2013 17:30:00; 0,267
13.05.2013 18:15:00; 0,238
17.06.2013 18:00:00; 0,301
22.07.2013 20:00:00; 0,130
06.08.2013 22:00:00; 0,077
07.09.2013 22:00:00; 0,110
18.10.2013 19:30:00; 0,171
01.11.2013 19:30:00; 0,219
18.12.2013 06:00:00; 0,191
03.01.2014 07:45:00; 0,328
01.02.2014 02:30:00; 0,363
29.03.2014 15:00:00; 0,328
17.04.2014 22:00:00; 0,246
09.05.2014 19:15:00; 0,219
22.06.2014 18:00:00; 0,110
07.07.2014 16:45:00; 0,151
09.08.2014 17:15:00; 0,130
30.09.2014 16:30:00; 0,466
17.10.2014 15:00:00; 0,273
01.11.2014 00:00:00; 0,273
29.12.2014 07:30:00; 0,363
08.01.2015 06:15:00; 0,363
03.02.2015 03:00:00; 0,273
01.03.2015 12:06:00; 0,196
26.04.2015 21:15:00; 0,151
11.05.2015 17:45:00; 0,110
12.06.2015 20:45:00; 0,077
19.07.2015 20:00:00; 0,064
12.08.2015 18:45:00; 0,110
01.09.2015 00:00:00; 0,110
04.10.2015 19:30:00; 0,219
18.11.2015 12:30:00; 0,219
31.12.2015 16:15:00; 0,151
02.01.2016 07:15:00; 0,130
01.02.2016 11:15:00; 0,171
31.03.2016 14:15:00; 0,273
20.04.2016 18:45:00; 0,171
30.05.2016 17:15:00; 0,171
24.06.2016 15:15:00; 0,151
12.07.2016 19:15:00; 0,110
07.08.2016 19:30:00; 0,171
25.09.2016 20:00:00; 0,219
01.10.2016 00:00:00; 0,219
02.11.2016 12:15:00; 0,363
30.12.2016 08:45:00; 0,165
08.01.2017 08:30:00; 0,165
01.02.2017 00:00:00; 0,191
30.03.2017 16:15:00; 0,171
24.04.2017 20:00:00; 0,151
21.05.2017 18:15:00; 0,130
19.06.2017 17:15:00; 0,090
11.07.2017 16:45:00; 0,077
02.08.2017 18:45:00; 0,090
01.09.2017 00:00:00; 0,151
20.10.2017 14:00:00; 0,246
01.11.2017 13:00:00; 0,246
07.12.2017 09:00:00; 0,397
30.01.2018 13:45:00; 0,423
26.02.2018 00:00:00; 0,329
04.03.2018 03:30:00; 0,391
29.04.2018 15:45:00; 0,247
01.05.2018 12:00:00; 0,247
30.06.2018 16:00:00; 0,198
29.07.2018 17:00:00; 0,117
01.08.2018 15:00:00; 0,117
13.09.2018 18:15:00; 0,198
04.10.2018 17:45:00; 0,176
10.11.2018 12:15:00; 0,198
27.12.2018 09:30:00; 0,198
04.01.2019 10:00:00; 0,135
01.02.2019 04:30:00; 0,176
31.03.2019 15:15:00; 0,151
25.04.2019 19:00:00; 0,130
02.05.2019 20:00:00; 0,130
30.06.2019 19:30:00; 0,072
27.07.2019 18:15:00; 0,023
10.08.2019 19:00:00; 0,045
01.09.2019 16:15:00; 0,117
01.10.2019 00:00:00; 0,135
01.11.2019 00:00:00; 0,222
12.12.2019 08:30:00; 0,300
16.01.2020 08:30:00; 0,171
07.02.2020 09:45:00; 0,191
19.03.2020 17:15:00; 0,191
25.04.2020 21:30:00; 0,102
27.05.2020 21:00:00; 0,071
02.06.2020 17:00:00; 0,071
01.07.2020 15:30:00; 0,120
22.08.2020 18:45:00; 0,151
21.09.2020 17:45:00; 0,171
31.10.2020 12:30:00; 0,370
30.11.2020 11:45:00; 0,280
01.12.2020 00:45:00; 0,280
19.01.2021 08:15:00; 0,309
01.02.2021 23:30:00; 0,438
21.03.2021 08:00:00; 0,231
24.04.2021 19:15:00; 0,182
10.05.2021 17:30:00; 0,139
30.06.2021 20:00:00; 0,116
22.07.2021 19:15:00; 0,098
14.08.2021 19:15:00; 0,098
23.09.2021 20:00:00; 0,082
01.10.2021 18:15:00; 0,098
18.11.2021 16:00:00; 0,135
21.12.2021 06:00:00; 0,156
