Messstelle:                ;Hopfgarten im Def. Zwenewald
HZB-Nummer:                ;212100
HD-Nummer:                 ;
DBMS-Nummer:               ;7001134
Gewässer:                  ;Schwarzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;268,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;01091,87
   01.01.1969              ;01092,00
   01.01.1976              ;01092,26
   01.01.1982              ;01092,36
   01.01.1984              ;01096,27
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;316037,70 - 199923,80
   01.01.1984              ;387458,68 - 197934,11
Exportzeitreihe:           ;(7001134,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00; 0,850
28.02.1951 12:00:00; 0,650
02.03.1951 12:00:00; 0,650
05.04.1951 12:00:00;  1,71
04.05.1951 12:00:00;  7,10
30.06.1951 12:00:00;  27,0
30.07.1951 12:00:00;  17,4
31.08.1951 12:00:00;  10,5
29.09.1951 12:00:00;  6,26
31.10.1951 12:00:00;  3,55
05.11.1951 12:00:00;  3,38
31.12.1951 12:00:00;  1,95
29.01.1952 12:00:00;  1,53
19.02.1952 12:00:00; 0,970
14.03.1952 12:00:00; 0,650
08.04.1952 12:00:00;  2,45
30.05.1952 12:00:00;  6,75
01.06.1952 12:00:00;  13,9
27.07.1952 12:00:00;  6,75
16.08.1952 12:00:00;  11,2
30.09.1952 12:00:00;  9,57
20.10.1952 12:00:00;  6,23
30.11.1952 12:00:00;  4,25
28.12.1952 12:00:00;  2,91
31.01.1953 12:00:00;  1,65
23.02.1953 12:00:00;  1,05
12.03.1953 12:00:00; 0,970
19.04.1953 12:00:00;  3,25
15.05.1953 12:00:00;  5,71
06.06.1953 12:00:00;  7,65
27.07.1953 12:00:00;  14,4
31.08.1953 12:00:00;  8,58
21.09.1953 12:00:00;  5,71
14.10.1953 12:00:00;  5,21
30.11.1953 12:00:00;  4,25
31.12.1953 12:00:00;  1,65
31.01.1954 12:00:00; 0,730
28.02.1954 12:00:00;  1,05
08.03.1954 12:00:00;  1,05
03.04.1954 12:00:00;  2,40
08.05.1954 12:00:00;  3,65
02.06.1954 12:00:00;  17,7
25.07.1954 12:00:00;  14,5
03.08.1954 12:00:00;  10,1
28.09.1954 12:00:00;  7,42
26.10.1954 12:00:00;  4,84
28.11.1954 12:00:00;  2,87
31.12.1954 12:00:00; 0,850
03.01.1955 12:00:00;  1,71
15.02.1955 12:00:00;  1,35
20.03.1955 12:00:00;  1,27
01.04.1955 12:00:00;  1,47
05.05.1955 12:00:00;  9,42
03.06.1955 12:00:00;  14,5
31.07.1955 12:00:00;  14,1
30.08.1955 12:00:00;  8,15
30.09.1955 12:00:00;  7,16
30.10.1955 12:00:00;  3,55
30.11.1955 12:00:00;  2,55
31.12.1955 12:00:00;  1,95
26.01.1956 12:00:00; 0,950
05.02.1956 12:00:00; 0,850
16.03.1956 12:00:00;  1,11
08.04.1956 12:00:00;  1,59
03.05.1956 12:00:00;  3,21
27.06.1956 12:00:00;  11,5
27.07.1956 12:00:00;  16,0
20.08.1956 12:00:00;  11,1
25.09.1956 12:00:00;  6,27
29.10.1956 12:00:00;  5,56
30.11.1956 12:00:00;  3,39
31.12.1956 12:00:00;  1,35
22.01.1957 12:00:00;  1,35
21.02.1957 12:00:00;  1,35
02.03.1957 12:00:00;  1,27
16.04.1957 12:00:00;  2,87
10.05.1957 12:00:00;  5,49
02.06.1957 12:00:00;  11,8
18.07.1957 12:00:00;  12,5
06.08.1957 12:00:00;  10,4
30.09.1957 12:00:00;  7,32
18.10.1957 12:00:00;  4,32
30.11.1957 12:00:00;  2,35
31.12.1957 12:00:00;  1,80
24.01.1958 12:00:00;  1,60
23.02.1958 12:00:00;  1,80
24.03.1958 12:00:00;  1,60
19.04.1958 12:00:00;  2,20
01.05.1958 12:00:00;  4,32
15.06.1958 12:00:00;  11,2
20.07.1958 12:00:00;  12,9
31.08.1958 12:00:00;  11,2
