Messstelle:                ;Kennelbach
HZB-Nummer:                ;200329
HD-Nummer:                 ;
DBMS-Nummer:               ;8001032
Gewässer:                  ;Bregenzerach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;823,85
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   27.11.1930              ;00423,05
   01.01.1976              ;00422,99
   01.01.1994              ;00423,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   27.11.1930              ;107826,00 - 259844,00
   01.01.1994              ;107947,00 - 259873,00
Exportzeitreihe:           ;(8001032,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[02.01.1951 12:00,01.01.2022 00:00]
Werte:
02.01.1951 12:00:00;  5,00
04.02.1951 12:00:00;  7,73
03.03.1951 12:00:00;  5,50
17.04.1951 12:00:00;  14,8
08.05.1951 12:00:00;  23,1
23.06.1951 12:00:00;  29,9
08.07.1951 12:00:00;  12,5
31.08.1951 12:00:00;  5,83
23.09.1951 12:00:00;  5,50
30.10.1951 12:00:00;  3,70
11.11.1951 12:00:00;  9,61
23.12.1951 12:00:00;  7,08
31.01.1952 12:00:00;  7,08
08.02.1952 12:00:00;  5,00
02.03.1952 12:00:00;  15,2
06.04.1952 12:00:00;  36,8
23.05.1952 12:00:00;  25,4
29.06.1952 12:00:00;  14,8
12.07.1952 12:00:00;  4,35
05.08.1952 12:00:00;  3,51
04.09.1952 12:00:00;  12,5
01.10.1952 12:00:00;  27,0
24.11.1952 12:00:00;  29,9
31.12.1952 12:00:00;  8,80
05.01.1953 12:00:00;  4,61
21.02.1953 12:00:00;  2,10
15.03.1953 12:00:00;  5,99
12.04.1953 12:00:00;  46,2
11.05.1953 12:00:00;  36,8
07.06.1953 12:00:00;  36,8
26.07.1953 12:00:00;  11,5
30.08.1953 12:00:00;  7,94
28.09.1953 12:00:00;  4,35
25.10.1953 12:00:00;  3,04
30.11.1953 12:00:00;  2,62
14.12.1953 12:00:00;  2,36
02.01.1954 12:00:00;  2,94
23.02.1954 12:00:00;  4,22
07.03.1954 12:00:00;  9,07
24.04.1954 12:00:00;  26,2
06.05.1954 12:00:00;  36,8
26.06.1954 12:00:00;  14,1
29.07.1954 12:00:00;  14,1
06.08.1954 12:00:00;  9,61
11.09.1954 12:00:00;  12,2
19.10.1954 12:00:00;  11,8
22.11.1954 12:00:00;  8,80
05.12.1954 12:00:00;  12,8
11.01.1955 12:00:00;  8,46
21.02.1955 12:00:00;  7,57
12.03.1955 12:00:00;  7,36
02.04.1955 12:00:00;  17,1
04.05.1955 12:00:00;  38,0
13.06.1955 12:00:00;  19,3
27.07.1955 12:00:00;  22,1
21.08.1955 12:00:00;  5,76
27.09.1955 12:00:00;  5,93
21.10.1955 12:00:00;  4,74
21.11.1955 12:00:00;  4,40
03.12.1955 12:00:00;  6,10
26.01.1956 12:00:00;  6,10
29.02.1956 12:00:00;  8,46
02.03.1956 12:00:00;  8,46
26.04.1956 12:00:00;  40,3
04.05.1956 12:00:00;  43,8
30.06.1956 12:00:00;  38,0
29.07.1956 12:00:00;  15,6
11.08.1956 12:00:00;  24,5
09.09.1956 12:00:00;  8,98
02.10.1956 12:00:00;  10,0
23.11.1956 12:00:00;  11,4
28.12.1956 12:00:00;  5,42
01.01.1957 12:00:00;  5,83
22.02.1957 12:00:00;  9,07
02.03.1957 12:00:00;  28,0
16.04.1957 12:00:00;  31,9
05.05.1957 12:00:00;  26,2
30.06.1957 12:00:00;  27,0
07.07.1957 12:00:00;  15,7
06.08.1957 12:00:00;  18,1
10.09.1957 12:00:00;  12,5
17.10.1957 12:00:00;  7,73
24.11.1957 12:00:00;  6,10
07.12.1957 12:00:00;  5,76
01.01.1958 12:00:00;  2,25
05.02.1958 12:00:00;  7,83
24.03.1958 12:00:00;  7,60
12.04.1958 12:00:00;  22,5
31.05.1958 12:00:00;  34,7
17.06.1958 12:00:00;  14,1
16.07.1958 12:00:00;  11,4
31.08.1958 12:00:00;  9,67
16.09.1958 12:00:00;  7,03
01.10.1958 12:00:00;  8,29
30.11.1958 12:00:00;  8,06
11.12.1958 12:00:00;  4,93
31.01.1959 12:00:00;  7,38
04.02.1959 12:00:00;  5,25
18.03.1959 12:00:00;  17,6
01.04.1959 12:00:00;  20,4
31.05.1959 12:00:00;  12,7
01.06.1959 12:00:00;  13,2
28.07.1959 12:00:00;  5,82
31.08.1959 12:00:00;  5,44
21.09.1959 12:00:00;  3,54
27.10.1959 12:00:00;  2,91
