Messstelle:                ;Götzendorf
HZB-Nummer:                ;215517
HD-Nummer:                 ;no836
DBMS-Nummer:               ;3003174
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1709,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2015              ;00167,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;768815,00 - 319168,00
Exportzeitreihe:           ;(3003174,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[08.07.2015 12:30,01.01.2022 00:00]
Werte:
17.07.2015 10:30:00; 0,357
31.08.2015 08:10:00; 0,230
30.09.2015 02:10:00; 0,171
01.10.2015 08:15:00; 0,160
30.11.2015 02:10:00; 0,231
11.12.2015 04:05:00; 0,241
23.01.2016 08:05:00; 0,211
17.02.2016 15:40:00; 0,387
29.03.2016 10:20:00; 0,285
26.04.2016 03:05:00; 0,287
01.05.2016 05:15:00; 0,315
30.06.2016 20:35:00;  1,30
11.07.2016 11:10:00; 0,398
05.08.2016 15:25:00;  3,47
26.09.2016 17:20:00; 0,561
03.10.2016 21:30:00; 0,482
02.11.2016 16:05:00;  1,23
25.12.2016 11:35:00; 0,870
24.01.2017 04:50:00; 0,310
02.02.2017 17:10:00; 0,359
18.03.2017 16:40:00;  1,38
17.04.2017 09:55:00; 0,719
31.05.2017 13:25:00; 0,646
29.06.2017 21:15:00; 0,120
09.07.2017 13:30:00; 0,097
31.08.2017 18:20:00; 0,106
01.09.2017 12:10:00; 0,110
23.10.2017 04:55:00; 0,374
27.11.2017 18:35:00; 0,425
11.12.2017 19:05:00; 0,212
18.01.2018 15:20:00; 0,590
27.02.2018 00:05:00; 0,290
05.03.2018 23:25:00; 0,327
30.04.2018 14:00:00; 0,469
29.05.2018 14:15:00; 0,535
01.06.2018 15:30:00; 0,714
31.07.2018 17:15:00; 0,374
24.08.2018 10:20:00; 0,146
30.09.2018 21:30:00; 0,154
08.10.2018 07:40:00; 0,089
24.11.2018 00:50:00; 0,122
21.12.2018 03:05:00; 0,538
31.01.2019 21:30:00;  1,98
20.02.2019 06:25:00; 0,752
31.03.2019 09:45:00; 0,424
21.04.2019 07:25:00; 0,388
08.05.2019 12:10:00;  1,91
20.06.2019 12:40:00; 0,760
26.07.2019 08:35:00; 0,225
19.08.2019 12:00:00; 0,244
30.09.2019 14:25:00; 0,244
29.10.2019 08:55:00; 0,193
01.11.2019 19:15:00; 0,233
11.12.2019 17:25:00; 0,238
30.01.2020 23:00:00; 0,228
01.02.2020 09:25:00; 0,236
30.03.2020 19:55:00; 0,216
08.04.2020 05:45:00; 0,134
21.05.2020 15:10:00; 0,103
09.06.2020 20:10:00; 0,228
31.07.2020 11:25:00; 0,389
02.08.2020 17:35:00; 0,282
22.09.2020 11:40:00; 0,260
10.10.2020 17:50:00; 0,910
25.11.2020 17:05:00; 0,802
15.12.2020 16:35:00; 0,529
12.01.2021 13:10:00; 0,600
27.02.2021 10:50:00; 0,767
18.03.2021 12:35:00; 0,518
21.04.2021 19:30:00; 0,531
31.05.2021 22:30:00; 0,424
04.06.2021 09:30:00; 0,310
08.07.2021 10:00:00; 0,440
10.08.2021 19:30:00; 0,478
25.09.2021 10:10:00; 0,318
03.10.2021 12:45:00; 0,450
01.11.2021 05:00:00; 0,453
24.12.2021 14:45:00; 0,501
