Messstelle:                ;Murau Schule
HZB-Nummer:                ;211078
HD-Nummer:                 ;ow2050
DBMS-Nummer:               ;6001058
Gewässer:                  ;Rantenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;189,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1960              ;00795,00
   08.01.2018              ;00796,12
   24.06.2021              ;00796,09
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.10.1950              ;586160,90 - 221614,50
   08.01.2018              ;586216,30 - 221375,60
Exportzeitreihe:           ;(6001058,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[08.01.2018 08:15,01.01.2022 00:00]
Werte:
16.01.2018 11:30:00;  1,11
11.02.2018 10:30:00; 0,675
22.03.2018 08:15:00; 0,990
03.04.2018 08:30:00;  2,14
12.05.2018 21:30:00;  3,09
22.06.2018 12:30:00; 0,584
25.07.2018 05:45:00; 0,423
06.08.2018 07:30:00; 0,231
23.09.2018 20:30:00;  1,57
24.10.2018 15:15:00; 0,848
12.11.2018 20:15:00; 0,607
19.12.2018 16:45:00; 0,423
20.01.2019 10:45:00; 0,478
16.02.2019 10:45:10; 0,584
23.03.2019 23:00:00; 0,641
17.04.2019 14:15:00; 0,906
17.05.2019 12:30:00;  1,21
29.06.2019 15:15:00;  1,73
22.07.2019 07:15:00; 0,782
12.08.2019 22:45:00; 0,855
29.09.2019 01:45:00; 0,703
30.10.2019 12:30:10; 0,376
04.11.2019 01:15:00; 0,528
23.12.2019 22:00:00; 0,888
27.01.2020 03:15:00;  1,70
29.02.2020 03:45:00;  1,30
27.03.2020 04:30:00;  1,32
10.04.2020 06:15:00;  1,07
04.05.2020 15:30:00;  3,29
30.06.2020 04:45:00; 0,720
29.07.2020 22:15:00; 0,998
14.08.2020 03:30:00; 0,650
17.09.2020 06:15:00; 0,714
01.10.2020 18:45:00; 0,643
04.11.2020 12:15:00; 0,550
01.12.2020 21:30:00; 0,667
24.01.2021 13:45:00; 0,538
05.02.2021 11:45:00; 0,833
01.03.2021 14:00:00;  1,24
27.04.2021 08:30:00;  1,54
05.05.2021 19:15:00; 0,918
22.06.2021 16:30:00; 0,675
09.07.2021 01:45:00; 0,773
30.08.2021 16:00:00;  1,81
17.09.2021 02:30:00; 0,675
17.10.2021 01:30:00; 0,500
15.11.2021 11:30:00; 0,540
02.12.2021 13:30:00;  1,03
