Messstelle:                ;Plosdorf
HZB-Nummer:                ;215541
HD-Nummer:                 ;no301
DBMS-Nummer:               ;3003186
Gewässer:                  ;Michelbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;98
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   19.10.2016              ;00238,45
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   19.10.2016              ;707385,00 - 338540,00
Exportzeitreihe:           ;(3003186,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[19.10.2016 07:30,01.01.2022 00:00]
Werte:
28.10.2016 21:30:00; 0,649
02.11.2016 12:00:00; 0,734
23.12.2016 16:55:00; 0,485
19.01.2017 03:20:00; 0,200
01.02.2017 04:10:00; 0,278
15.03.2017 07:45:00; 0,478
07.04.2017 10:40:00; 0,340
30.05.2017 21:35:00; 0,322
22.06.2017 14:25:00; 0,082
19.07.2017 14:35:00; 0,069
17.08.2017 07:25:00; 0,078
01.09.2017 02:50:00; 0,092
20.10.2017 10:20:00; 0,205
20.11.2017 08:50:00; 0,288
19.12.2017 08:40:00; 0,298
16.01.2018 11:05:00; 0,715
26.02.2018 03:05:00; 0,275
01.03.2018 07:30:00; 0,364
30.04.2018 23:50:00; 0,259
31.05.2018 23:10:00; 0,179
22.06.2018 03:45:00; 0,105
21.07.2018 07:45:00; 0,124
21.08.2018 23:30:00; 0,059
21.09.2018 04:50:00; 0,104
15.10.2018 02:05:00; 0,070
05.11.2018 02:25:00; 0,073
01.12.2018 04:50:00; 0,220
26.01.2019 05:00:00; 0,511
01.02.2019 13:35:00; 0,572
14.03.2019 08:10:00; 0,507
28.04.2019 03:10:00; 0,194
03.05.2019 02:55:00; 0,411
30.06.2019 03:40:00; 0,182
27.07.2019 06:35:00; 0,094
29.08.2019 04:15:00; 0,081
22.09.2019 07:35:00; 0,058
01.10.2019 05:10:00; 0,057
29.11.2019 15:00:00; 0,090
12.12.2019 07:45:00; 0,080
07.01.2020 10:25:00; 0,078
29.02.2020 17:10:00; 0,214
31.03.2020 04:40:00; 0,147
30.04.2020 06:30:00; 0,087
22.05.2020 05:15:00; 0,062
09.06.2020 07:45:00; 0,219
16.07.2020 06:15:00; 0,156
02.08.2020 15:40:00; 0,218
25.09.2020 03:20:00; 0,382
10.10.2020 02:10:00; 0,436
30.11.2020 22:50:00; 0,379
09.12.2020 06:05:00; 0,315
11.01.2021 10:15:00; 0,210
15.02.2021 01:05:00; 0,392
15.03.2021 08:55:00; 0,516
12.04.2021 13:45:00; 0,480
31.05.2021 23:59:55; 0,271
30.06.2021 21:30:00; 0,085
17.07.2021 03:55:00; 0,068
16.08.2021 11:50:00; 0,161
30.09.2021 23:20:00; 0,121
06.10.2021 07:50:00; 0,107
19.11.2021 12:05:00; 0,126
01.12.2021 00:00:00; 0,249
