Messstelle:                ;Tumpen
HZB-Nummer:                ;201434
HD-Nummer:                 ;
DBMS-Nummer:               ;7001041
Gewässer:                  ;Ötztaler Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;785,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00923,95
   01.05.1991              ;00931,10
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;193778,00 - 225023,00
   01.05.1991              ;193791,00 - 225069,69
Exportzeitreihe:           ;(7001041,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  4,50
10.02.1951 12:00:00;  3,30
17.03.1951 12:00:00;  3,55
01.04.1951 12:00:00;  4,05
02.05.1951 12:00:00;  9,42
07.06.1951 12:00:00;  28,3
28.07.1951 12:00:00;  52,1
28.08.1951 12:00:00;  36,5
30.09.1951 12:00:00;  18,5
26.10.1951 12:00:00;  7,29
23.11.1951 12:00:00;  5,44
31.12.1951 12:00:00;  5,44
31.01.1952 12:00:00;  4,50
21.02.1952 12:00:00;  4,50
28.03.1952 12:00:00;  4,50
05.04.1952 12:00:00;  4,80
27.05.1952 12:00:00;  10,9
11.06.1952 12:00:00;  31,0
31.07.1952 12:00:00;  29,4
26.08.1952 12:00:00;  24,0
26.09.1952 12:00:00;  11,8
19.10.1952 12:00:00;  10,5
22.11.1952 12:00:00;  7,18
31.12.1952 12:00:00;  5,14
31.01.1953 12:00:00;  4,80
25.02.1953 12:00:00;  4,50
16.03.1953 12:00:00;  3,20
18.04.1953 12:00:00;  7,18
11.05.1953 12:00:00;  10,0
06.06.1953 12:00:00;  16,2
17.07.1953 12:00:00;  44,6
30.08.1953 12:00:00;  25,9
25.09.1953 12:00:00;  11,5
11.10.1953 12:00:00;  14,8
30.11.1953 12:00:00;  9,25
21.12.1953 12:00:00;  6,10
31.01.1954 12:00:00;  3,25
23.02.1954 12:00:00;  2,80
15.03.1954 12:00:00;  2,80
19.04.1954 12:00:00;  3,50
08.05.1954 12:00:00;  4,80
01.06.1954 12:00:00;  21,3
17.07.1954 12:00:00;  35,6
30.08.1954 12:00:00;  26,4
25.09.1954 12:00:00;  13,1
27.10.1954 12:00:00;  8,00
30.11.1954 12:00:00;  5,30
31.12.1954 12:00:00;  3,50
30.01.1955 12:00:00;  3,50
28.02.1955 12:00:00;  3,00
08.03.1955 12:00:00;  3,25
21.04.1955 12:00:00;  4,00
24.05.1955 12:00:00;  15,6
03.06.1955 12:00:00;  17,7
08.07.1955 12:00:00;  31,4
11.08.1955 12:00:00;  23,5
30.09.1955 12:00:00;  19,8
30.10.1955 12:00:00;  7,00
29.11.1955 12:00:00;  5,30
