Messstelle:                ;Hofstetten (Bad)
HZB-Nummer:                ;207852
HD-Nummer:                 ;no155
DBMS-Nummer:               ;3001025
Gewässer:                  ;Pielach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;289,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00311,23
   01.01.1977              ;00311,12
   01.01.2005              ;00311,15
   03.12.2015              ;00311,24
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;688940,30 - 328930,80
   02.01.1896              ;688957,00 - 328945,00
   03.12.2015              ;688962,00 - 328950,00
Exportzeitreihe:           ;(3001025,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[17.01.1951 12:00,01.01.2022 00:00]
Werte:
17.01.1951 12:00:00;  3,66
25.02.1951 12:00:00;  3,84
07.03.1951 12:00:00;  3,48
30.04.1951 12:00:00;  3,84
04.05.1951 12:00:00;  3,84
28.06.1951 12:00:00;  3,84
11.07.1951 12:00:00;  2,40
31.08.1951 12:00:00;  2,94
25.09.1951 12:00:00;  1,68
20.10.1951 12:00:00;  1,68
01.11.1951 12:00:00;  1,68
15.12.1951 12:00:00;  4,20
31.01.1952 12:00:00;  2,75
03.02.1952 12:00:00;  2,36
08.03.1952 12:00:00;  5,50
30.04.1952 12:00:00;  5,50
14.05.1952 12:00:00;  2,90
23.06.1952 12:00:00;  3,35
31.07.1952 12:00:00;  2,36
15.08.1952 12:00:00;  1,34
16.09.1952 12:00:00;  2,24
02.10.1952 12:00:00;  2,48
26.11.1952 12:00:00;  5,26
20.12.1952 12:00:00;  3,20
21.01.1953 12:00:00;  1,55
18.02.1953 12:00:00;  3,05
15.03.1953 12:00:00;  4,11
27.04.1953 12:00:00;  3,92
31.05.1953 12:00:00;  3,20
09.06.1953 12:00:00;  2,75
29.07.1953 12:00:00;  5,26
30.08.1953 12:00:00;  3,92
20.09.1953 12:00:00;  2,24
29.10.1953 12:00:00;  1,64
06.11.1953 12:00:00;  1,00
23.12.1953 12:00:00;  1,20
05.01.1954 12:00:00; 0,800
20.02.1954 12:00:00;  1,34
08.03.1954 12:00:00;  4,30
15.04.1954 12:00:00;  4,78
31.05.1954 12:00:00;  6,06
14.06.1954 12:00:00;  3,92
01.07.1954 12:00:00;  3,73
31.08.1954 12:00:00;  2,24
16.09.1954 12:00:00;  1,55
23.10.1954 12:00:00;  1,82
02.11.1954 12:00:00;  1,82
04.12.1954 12:00:00;  3,03
31.01.1955 12:00:00;  3,92
28.02.1955 12:00:00;  2,90
03.03.1955 12:00:00;  1,82
04.04.1955 12:00:00;  5,50
26.05.1955 12:00:00;  4,11
20.06.1955 12:00:00;  3,35
05.07.1955 12:00:00;  5,26
28.08.1955 12:00:00;  5,78
27.09.1955 12:00:00;  4,11
23.10.1955 12:00:00;  4,11
16.11.1955 12:00:00;  3,05
02.12.1955 12:00:00;  4,54
30.01.1956 12:00:00;  5,02
27.02.1956 12:00:00;  3,73
17.03.1956 12:00:00;  6,34
28.04.1956 12:00:00;  6,34
31.05.1956 12:00:00;  5,02
01.06.1956 12:00:00;  5,02
23.07.1956 12:00:00;  4,54
20.08.1956 12:00:00;  4,11
20.09.1956 12:00:00;  3,35
18.10.1956 12:00:00;  3,35
26.11.1956 12:00:00;  4,54
29.12.1956 12:00:00;  5,02
23.01.1957 12:00:00;  3,10
01.02.1957 12:00:00;  3,30
30.03.1957 12:00:00;  5,14
06.04.1957 12:00:00;  4,62
26.05.1957 12:00:00;  3,10
16.06.1957 12:00:00;  2,25
10.07.1957 12:00:00;  1,73
31.08.1957 12:00:00;  3,90
14.09.1957 12:00:00;  2,93
25.10.1957 12:00:00;  2,76
10.11.1957 12:00:00;  2,25
29.12.1957 12:00:00;  3,70
30.01.1958 12:00:00;  3,30
05.02.1958 12:00:00;  3,30
24.03.1958 12:00:00;  5,71
29.04.1958 12:00:00;  8,96
31.05.1958 12:00:00;  3,10
10.06.1958 12:00:00;  2,59
28.07.1958 12:00:00;  3,30
24.08.1958 12:00:00;  2,59
03.09.1958 12:00:00;  2,25
13.10.1958 12:00:00;  2,76
09.11.1958 12:00:00;  3,70
09.12.1958 12:00:00;  3,10
29.01.1959 12:00:00;  3,70
15.02.1959 12:00:00;  2,76
21.03.1959 12:00:00;  3,30
05.04.1959 12:00:00;  3,10
24.05.1959 12:00:00;  3,10
05.06.1959 12:00:00;  2,12
26.07.1959 12:00:00;  3,10
