Messstelle:                ;Penningersteg
HZB-Nummer:                ;205518
HD-Nummer:                 ;6270
DBMS-Nummer:               ;4001097
Gewässer:                  ;Alm
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;445
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   14.04.1933              ;00358,79
   01.01.1954              ;00358,76
   01.01.1965              ;00358,71
   01.01.1971              ;00357,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1965              ;494000,00 - 324005,00
   08.11.2011              ;493988,00 - 323999,00
   01.01.2020              ;493989,59 - 324002,22
Exportzeitreihe:           ;(4001097,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[24.01.1966 12:00,01.01.2022 00:00]
Werte:
24.01.1966 12:00:00;  3,46
21.02.1966 12:00:00;  8,46
10.03.1966 12:00:00;  4,58
01.04.1966 12:00:00;  9,80
19.05.1966 12:00:00;  12,6
19.06.1966 12:00:00;  14,3
20.07.1966 12:00:00;  17,7
15.08.1966 12:00:00;  14,3
30.09.1966 12:00:00;  7,82
26.10.1966 12:00:00;  4,14
28.11.1966 12:00:00;  4,58
01.12.1966 12:00:00;  5,46
25.01.1967 12:00:00;  7,82
20.02.1967 12:00:00;  8,46
18.03.1967 12:00:00;  16,0
03.04.1967 12:00:00;  14,3
30.05.1967 12:00:00;  17,7
30.06.1967 12:00:00;  16,0
31.07.1967 12:00:00;  9,10
31.08.1967 12:00:00;  4,58
06.09.1967 12:00:00;  3,46
30.10.1967 12:00:00;  3,46
29.11.1967 12:00:00;  3,46
05.12.1967 12:00:00;  2,98
12.01.1968 12:00:00;  5,90
20.02.1968 12:00:00;  7,18
14.03.1968 12:00:00;  6,54
15.04.1968 12:00:00;  8,46
30.05.1968 12:00:00;  8,46
30.06.1968 12:00:00;  7,82
15.07.1968 12:00:00;  5,02
07.08.1968 12:00:00;  11,9
18.09.1968 12:00:00;  8,46
27.10.1968 12:00:00;  6,54
24.11.1968 12:00:00;  3,46
19.12.1968 12:00:00;  2,98
04.01.1969 12:00:00;  2,98
17.02.1969 12:00:00;  4,58
31.03.1969 12:00:00;  5,90
05.04.1969 12:00:00;  9,80
31.05.1969 12:00:00;  7,82
24.06.1969 12:00:00;  7,82
30.07.1969 12:00:00;  7,18
14.08.1969 12:00:00;  4,14
15.09.1969 12:00:00;  3,70
12.10.1969 12:00:00;  3,22
22.11.1969 12:00:00;  3,22
24.12.1969 12:00:00;  3,46
06.01.1970 12:00:00;  3,46
03.02.1970 12:00:00;  4,58
17.03.1970 12:00:00;  7,18
06.04.1970 12:00:00;  12,6
04.05.1970 12:00:00;  25,3
28.06.1970 12:00:00;  18,6
14.07.1970 12:00:00;  11,2
09.08.1970 12:00:00;  12,6
30.09.1970 12:00:00;  8,46
01.10.1970 12:00:00;  8,46
09.11.1970 12:00:00;  11,9
30.12.1970 12:00:00;  5,90
18.01.1971 12:00:00;  4,58
13.02.1971 12:00:00;  5,02
11.03.1971 12:00:00;  4,14
19.04.1971 12:00:00;  10,2
21.05.1971 12:00:00;  8,80
06.06.1971 12:00:00;  12,4
31.07.1971 12:00:00;  5,94
22.08.1971 12:00:00;  3,84
28.09.1971 12:00:00;  5,40
31.10.1971 12:00:00;  4,62
18.11.1971 12:00:00;  3,84
06.12.1971 12:00:00;  5,94
28.01.1972 12:00:00;  3,84
18.02.1972 12:00:00;  3,45
21.03.1972 12:00:00;  3,45
01.04.1972 12:00:00;  5,40
09.05.1972 12:00:00;  10,9
28.06.1972 12:00:00;  8,80
10.07.1972 12:00:00;  6,48
31.08.1972 12:00:00;  7,56
28.09.1972 12:00:00;  4,62
23.10.1972 12:00:00;  3,45
11.11.1972 12:00:00;  5,01
31.12.1972 12:00:00;  5,40
29.01.1973 12:00:00;  3,21
21.02.1973 12:00:00;  3,84
02.03.1973 12:00:00;  4,62
16.04.1973 12:00:00;  11,6
31.05.1973 12:00:00;  20,0
18.06.1973 12:00:00;  17,4
