Messstelle:                ;Bad Aussee (Hadeksteg)
HZB-Nummer:                ;210591
HD-Nummer:                 ;ow0050
DBMS-Nummer:               ;6001012
Gewässer:                  ;Koppentraun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;305,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00631,98
   01.01.1992              ;00632,64
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1948              ;557918,40 - 276672,50
   01.01.2018              ;557894,00 - 276662,00
Exportzeitreihe:           ;(6001012,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[10.04.2014 00:15,01.01.2022 00:00]
Werte:
10.04.2014 00:15:00; 0,000
12.05.2014 10:59:05; 0,000
18.06.2014 07:45:00;  5,23
18.07.2014 23:30:00;  4,42
29.08.2014 06:45:00;  6,46
21.09.2014 06:45:00;  7,86
06.10.2014 09:27:05; 0,000
01.11.2014 00:00:00; 0,000
11.12.2014 09:45:00;  1,44
01.01.2015 18:15:00;  5,23
24.02.2015 11:00:00;  3,69
07.03.2015 08:00:00;  4,68
08.04.2015 06:45:00;  7,86
28.05.2015 22:00:00;  21,3
27.06.2015 06:00:00;  9,04
22.07.2015 13:00:00;  5,82
24.08.2015 21:00:00;  2,28
02.09.2015 07:00:00;  2,46
04.10.2015 06:45:00;  3,28
19.11.2015 10:30:00;  2,66
17.12.2015 07:45:00;  3,06
19.01.2016 13:30:00;  2,46
07.02.2016 02:45:00;  5,93
17.03.2016 08:00:00;  4,07
29.04.2016 06:30:00;  9,50
01.05.2016 09:30:00;  11,3
29.06.2016 14:45:00;  8,13
11.07.2016 10:45:00;  7,01
31.08.2016 07:00:00;  5,35
03.09.2016 06:45:00;  4,07
02.10.2016 06:45:00;  3,62
29.11.2016 10:30:00;  2,48
20.12.2016 08:30:00;  2,48
17.01.2017 07:45:00;  2,66
01.02.2017 11:30:00;  3,05
15.03.2017 07:30:00;  7,14
18.04.2017 16:15:00;  8,69
01.05.2017 02:15:00;  12,7
24.06.2017 06:45:00;  5,07
24.07.2017 06:45:00;  4,81
01.08.2017 02:30:00;  4,07
11.09.2017 12:15:00;  5,93
22.10.2017 17:00:00;  3,75
21.11.2017 10:45:00;  6,00
19.12.2017 08:00:00;  3,28
18.01.2018 08:00:00;  4,52
20.02.2018 12:00:00;  1,99
02.03.2018 10:30:00;  2,66
02.04.2018 08:15:00;  11,1
30.05.2018 11:30:00;  15,6
21.06.2018 06:30:00;  7,22
21.07.2018 08:00:00;  3,69
23.08.2018 10:15:00;  2,48
22.09.2018 19:15:00;  2,48
21.10.2018 17:30:00;  1,70
23.11.2018 10:45:00;  1,99
01.12.2018 00:15:00;  2,48
08.01.2019 12:45:00;  3,69
06.02.2019 14:30:00;  3,25
14.03.2019 21:30:00;  13,7
15.04.2019 06:45:00;  16,1
17.05.2019 06:45:00;  18,7
30.06.2019 17:45:00;  23,3
27.07.2019 11:30:00;  7,57
26.08.2019 06:45:00;  2,85
20.09.2019 08:30:00;  3,47
28.10.2019 09:30:00;  2,46
03.11.2019 09:45:00;  3,28
03.12.2019 03:15:00;  2,46
22.01.2020 17:30:00;  3,75
22.02.2020 12:45:00;  7,86
25.03.2020 15:15:00;  5,23
06.04.2020 13:00:00;  5,82
04.05.2020 10:30:00;  13,7
27.06.2020 20:45:00;  11,3
15.07.2020 19:30:00;  5,81
13.08.2020 13:00:00;  3,85
23.09.2020 07:30:00;  2,86
20.10.2020 08:00:00;  8,92
30.11.2020 08:00:00;  2,28
21.12.2020 05:00:00;  1,78
17.01.2021 23:30:00;  2,11
22.02.2021 11:15:00;  2,51
16.03.2021 13:30:00;  2,51
19.04.2021 07:00:00;  5,37
06.05.2021 14:00:00;  18,4
30.06.2021 11:00:00;  7,86
25.07.2021 16:30:00;  4,42
16.08.2021 17:30:00;  6,79
14.09.2021 08:45:00;  2,85
31.10.2021 09:30:00;  1,87
25.11.2021 11:30:00;  1,99
11.12.2021 15:00:00;  2,55
