Messstelle:                ;Opponitz (Mirenau)
HZB-Nummer:                ;207654
HD-Nummer:                 ;no045
DBMS-Nummer:               ;3001005
Gewässer:                  ;Ybbs
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;506,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00391,28
   01.11.2008              ;00391,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1922              ;637740,00 - 306923,00
Exportzeitreihe:           ;(3001005,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[14.01.1951 12:00,01.01.2022 00:00]
Werte:
14.01.1951 12:00:00;  5,77
25.02.1951 12:00:00;  7,73
07.03.1951 12:00:00;  6,83
16.04.1951 12:00:00;  11,4
31.05.1951 12:00:00;  11,4
30.06.1951 12:00:00;  8,40
09.07.1951 12:00:00;  4,50
11.08.1951 12:00:00;  6,29
15.09.1951 12:00:00;  4,50
14.10.1951 12:00:00;  4,50
01.11.1951 12:00:00;  4,75
25.12.1951 12:00:00;  8,07
27.01.1952 12:00:00;  6,29
10.02.1952 12:00:00;  6,03
16.03.1952 12:00:00;  9,15
07.04.1952 12:00:00;  22,9
23.05.1952 12:00:00;  15,8
19.06.1952 12:00:00;  13,1
18.07.1952 12:00:00;  6,29
16.08.1952 12:00:00;  5,77
28.09.1952 12:00:00;  7,12
01.10.1952 12:00:00;  6,03
18.11.1952 12:00:00;  12,7
31.12.1952 12:00:00;  4,50
21.01.1953 12:00:00;  5,77
15.02.1953 12:00:00;  6,03
15.03.1953 12:00:00;  8,40
17.04.1953 12:00:00;  16,8
31.05.1953 12:00:00;  9,91
25.06.1953 12:00:00;  10,7
26.07.1953 12:00:00;  11,0
30.08.1953 12:00:00;  9,15
20.09.1953 12:00:00;  5,26
30.10.1953 12:00:00;  6,03
30.11.1953 12:00:00;  4,05
31.12.1953 12:00:00;  3,48
11.01.1954 12:00:00;  2,95
11.02.1954 12:00:00;  4,75
07.03.1954 12:00:00;  5,26
13.04.1954 12:00:00;  8,07
31.05.1954 12:00:00;  16,8
13.06.1954 12:00:00;  9,15
26.07.1954 12:00:00;  13,1
07.08.1954 12:00:00;  8,07
26.09.1954 12:00:00;  4,75
24.10.1954 12:00:00;  6,55
03.11.1954 12:00:00;  7,40
05.12.1954 12:00:00;  8,07
24.01.1955 12:00:00;  6,29
21.02.1955 12:00:00;  5,26
13.03.1955 12:00:00;  4,28
03.04.1955 12:00:00;  8,40
22.05.1955 12:00:00;  15,4
20.06.1955 12:00:00;  8,78
03.07.1955 12:00:00;  9,15
21.08.1955 12:00:00;  10,7
25.09.1955 12:00:00;  6,83
02.10.1955 12:00:00;  7,40
17.11.1955 12:00:00;  6,55
01.12.1955 12:00:00;  10,3
31.01.1956 12:00:00;  6,55
17.02.1956 12:00:00;  4,05
01.03.1956 12:00:00;  6,83
22.04.1956 12:00:00;  13,6
31.05.1956 12:00:00;  16,3
07.06.1956 12:00:00;  11,8
08.07.1956 12:00:00;  11,4
18.08.1956 12:00:00;  9,15
01.09.1956 12:00:00;  5,00
03.10.1956 12:00:00;  8,07
25.11.1956 12:00:00;  10,3
30.12.1956 12:00:00;  7,73
23.01.1957 12:00:00;  6,55
24.02.1957 12:00:00;  9,53
04.03.1957 12:00:00;  16,3
02.04.1957 12:00:00;  15,4
31.05.1957 12:00:00;  10,7
29.06.1957 12:00:00;  6,29
06.07.1957 12:00:00;  6,83
14.08.1957 12:00:00;  10,3
14.09.1957 12:00:00;  6,55
28.10.1957 12:00:00;  6,55
11.11.1957 12:00:00;  6,03
29.12.1957 12:00:00;  6,55
26.01.1958 12:00:00;  2,75
03.02.1958 12:00:00;  3,60
23.03.1958 12:00:00;  8,78
13.04.1958 12:00:00;  18,3
30.05.1958 12:00:00;  10,7
21.06.1958 12:00:00;  6,29
31.07.1958 12:00:00;  8,07
02.08.1958 12:00:00;  7,40
05.09.1958 12:00:00;  6,29
12.10.1958 12:00:00;  6,55
30.11.1958 12:00:00;  8,78
09.12.1958 12:00:00;  7,40
18.01.1959 12:00:00;  8,07
09.02.1959 12:00:00;  6,29
20.03.1959 12:00:00;  8,40
03.04.1959 12:00:00;  7,40
28.05.1959 12:00:00;  7,73
08.06.1959 12:00:00;  8,40
13.07.1959 12:00:00;  10,3
31.08.1959 12:00:00;  13,1
28.09.1959 12:00:00;  7,12
29.10.1959 12:00:00;  6,03
30.11.1959 12:00:00;  6,03
18.12.1959 12:00:00;  4,50
20.01.1960 12:00:00;  4,75
08.02.1960 12:00:00;  4,50
13.03.1960 12:00:00;  15,4
27.04.1960 12:00:00;  9,15
05.05.1960 12:00:00;  9,53
26.06.1960 12:00:00;  7,40
08.07.1960 12:00:00;  7,73
05.08.1960 12:00:00;  9,53
18.09.1960 12:00:00;  7,40
31.10.1960 12:00:00;  8,78
16.11.1960 12:00:00;  5,77
24.12.1960 12:00:00;  5,26
20.01.1961 12:00:00;  4,50
07.02.1961 12:00:00;  5,26
24.03.1961 12:00:00;  14,5
26.04.1961 12:00:00;  11,4
31.05.1961 12:00:00;  12,7
30.06.1961 12:00:00;  8,78
29.07.1961 12:00:00;  5,00
06.08.1961 12:00:00;  6,29
26.09.1961 12:00:00;  4,50
16.10.1961 12:00:00;  4,05
06.11.1961 12:00:00;  4,28
09.12.1961 12:00:00;  5,00
11.01.1962 12:00:00;  6,29
04.02.1962 12:00:00;  7,12
25.03.1962 12:00:00;  6,83
12.04.1962 12:00:00;  16,3
02.05.1962 12:00:00;  18,3
30.06.1962 12:00:00;  8,07
27.07.1962 12:00:00;  5,77
31.08.1962 12:00:00;  6,03
24.09.1962 12:00:00;  4,75
28.10.1962 12:00:00;  4,50
25.11.1962 12:00:00;  5,52
03.12.1962 12:00:00;  4,50
29.01.1963 12:00:00;  4,28
11.02.1963 12:00:00;  3,60
01.03.1963 12:00:00;  2,55
03.04.1963 12:00:00;  16,8
31.05.1963 12:00:00;  11,8
09.06.1963 12:00:00;  6,55
13.07.1963 12:00:00;  4,28
04.08.1963 12:00:00;  4,75
22.09.1963 12:00:00;  5,52
27.10.1963 12:00:00;  5,26
10.11.1963 12:00:00;  4,75
19.12.1963 12:00:00;  3,16
13.01.1964 12:00:00;  2,75
23.02.1964 12:00:00;  2,75
09.03.1964 12:00:00;  3,83
09.04.1964 12:00:00;  17,3
28.05.1964 12:00:00;  9,91
14.06.1964 12:00:00;  6,55
21.07.1964 12:00:00;  4,28
30.08.1964 12:00:00;  7,12
26.09.1964 12:00:00;  4,50
05.10.1964 12:00:00;  5,00
10.11.1964 12:00:00;  7,12
31.12.1964 12:00:00;  6,83
24.01.1965 12:00:00;  6,83
21.02.1965 12:00:00;  6,03
09.03.1965 12:00:00;  6,55
21.04.1965 12:00:00;  27,0
02.05.1965 12:00:00;  34,5
30.06.1965 12:00:00;  15,4
24.07.1965 12:00:00;  6,03
24.08.1965 12:00:00;  7,73
27.09.1965 12:00:00;  7,12
31.10.1965 12:00:00;  4,75
20.11.1965 12:00:00;  4,05
05.12.1965 12:00:00;  5,00
20.01.1966 12:00:00;  4,28
19.02.1966 12:00:00;  12,2
18.03.1966 12:00:00;  11,0
01.04.1966 12:00:00;  6,83
23.05.1966 12:00:00;  12,2
19.06.1966 12:00:00;  7,73
13.07.1966 12:00:00;  14,0
15.08.1966 12:00:00;  12,7
30.09.1966 12:00:00;  9,53
29.10.1966 12:00:00;  6,83
02.11.1966 12:00:00;  6,83
02.12.1966 12:00:00;  8,07
26.01.1967 12:00:00;  8,78
19.02.1967 12:00:00;  9,91
21.03.1967 12:00:00;  14,5
03.04.1967 12:00:00;  17,8
28.05.1967 12:00:00;  19,8
29.06.1967 12:00:00;  14,0
16.07.1967 12:00:00;  8,78
02.08.1967 12:00:00;  9,91
30.09.1967 12:00:00;  9,91
27.10.1967 12:00:00;  7,12
23.11.1967 12:00:00;  6,03
05.12.1967 12:00:00;  7,12
14.01.1968 12:00:00;  6,03
05.02.1968 12:00:00;  10,5
15.03.1968 12:00:00;  10,1
13.04.1968 12:00:00;  15,9
10.05.1968 12:00:00;  8,31
17.06.1968 12:00:00;  5,28
06.07.1968 12:00:00;  5,04
22.08.1968 12:00:00;  11,3
21.09.1968 12:00:00;  5,52
30.10.1968 12:00:00;  6,45
09.11.1968 12:00:00;  4,55
10.12.1968 12:00:00;  3,83
12.01.1969 12:00:00;  4,79
18.02.1969 12:00:00;  5,52
09.03.1969 12:00:00;  9,37
12.04.1969 12:00:00;  15,9
31.05.1969 12:00:00;  7,38
04.06.1969 12:00:00;  7,38
26.07.1969 12:00:00;  6,14
14.08.1969 12:00:00;  7,69
30.09.1969 12:00:00;  6,14
09.10.1969 12:00:00;  5,28
07.11.1969 12:00:00;  5,04
22.12.1969 12:00:00;  4,31
04.01.1970 12:00:00;  4,07
02.02.1970 12:00:00;  6,76
10.03.1970 12:00:00;  9,75
04.04.1970 12:00:00;  12,0
26.05.1970 12:00:00;  33,2
27.06.1970 12:00:00;  12,4
14.07.1970 12:00:00;  10,9
07.08.1970 12:00:00;  9,75
30.09.1970 12:00:00;  8,62
01.10.1970 12:00:00;  8,62
09.11.1970 12:00:00;  16,8
27.12.1970 12:00:00;  9,00
24.01.1971 12:00:00;  7,38
28.02.1971 12:00:00;  7,38
12.03.1971 12:00:00;  5,52
30.04.1971 12:00:00;  15,5
27.05.1971 12:00:00;  6,76
19.06.1971 12:00:00;  9,00
31.07.1971 12:00:00;  7,38
19.08.1971 12:00:00;  5,04
11.09.1971 12:00:00;  5,28
31.10.1971 12:00:00;  5,28
01.11.1971 12:00:00;  5,04
05.12.1971 12:00:00;  10,9
31.01.1972 12:00:00;  6,94
09.02.1972 12:00:00;  6,66
31.03.1972 12:00:00;  9,25
01.04.1972 12:00:00;  9,25
06.05.1972 12:00:00;  7,50
30.06.1972 12:00:00;  10,7
04.07.1972 12:00:00;  11,0
31.08.1972 12:00:00;  11,0
23.09.1972 12:00:00;  8,90
21.10.1972 12:00:00;  7,85
11.11.1972 12:00:00;  9,60
24.12.1972 12:00:00;  6,94
27.01.1973 12:00:00;  3,74
19.02.1973 12:00:00;  5,82
02.03.1973 12:00:00;  5,54
16.04.1973 12:00:00;  15,7
31.05.1973 12:00:00;  11,5
18.06.1973 12:00:00;  7,56
23.07.1973 12:00:00;  6,40
29.08.1973 12:00:00;  6,40
22.09.1973 12:00:00;  4,98
18.10.1973 12:00:00;  5,68
08.11.1973 12:00:00;  6,98
03.12.1973 12:00:00;  10,0
12.01.1974 12:00:00;  10,4
28.02.1974 12:00:00;  12,3
12.03.1974 12:00:00;  11,0
20.04.1974 12:00:00;  5,53
01.05.1974 12:00:00;  17,3
11.06.1974 12:00:00;  16,4
17.07.1974 12:00:00;  12,9
31.08.1974 12:00:00;  8,34
30.09.1974 12:00:00;  5,04
07.10.1974 12:00:00;  7,73
07.11.1974 12:00:00;  11,1
01.12.1974 12:00:00;  15,1
25.01.1975 12:00:00;  14,2
27.02.1975 12:00:00;  8,65
01.03.1975 12:00:00;  8,96
03.04.1975 12:00:00;  10,4
30.05.1975 12:00:00;  17,3
20.06.1975 12:00:00;  11,8
18.07.1975 12:00:00;  15,1
25.08.1975 12:00:00;  11,8
30.09.1975 12:00:00;  6,59
17.10.1975 12:00:00;  5,29
15.11.1975 12:00:00;  4,35
20.12.1975 12:00:00;  3,33
01.01.1976 01:00:00;  4,78
18.02.1976 19:00:00;  7,18
25.03.1976 14:00:00;  6,51
24.04.1976 07:00:00;  6,59
20.05.1976 22:00:00;  13,8
30.06.1976 18:00:00;  6,59
02.07.1976 21:00:00;  4,97
16.08.1976 07:00:00;  8,33
15.09.1976 14:00:00;  7,15
28.10.1976 12:00:00;  5,87
11.11.1976 07:00:00;  6,06
31.12.1976 11:00:00;  7,36
23.01.1977 17:00:00;  5,95
05.02.1977 03:00:00;  10,0
02.03.1977 21:00:00;  15,4
01.04.1977 13:00:00;  16,6
29.05.1977 20:00:00;  10,4
21.06.1977 17:00:00;  7,62
25.07.1977 05:00:00;  6,35
31.08.1977 23:59:55;  7,76
17.09.1977 05:00:00;  7,10
30.10.1977 23:00:00;  6,55
13.11.1977 06:00:00;  6,27
06.12.1977 13:00:00;  6,35
28.01.1978 17:00:00;  7,21
21.02.1978 11:00:00;  5,20
27.03.1978 04:00:00;  9,71
15.04.1978 04:00:00;  8,02
26.05.1978 11:00:00;  15,4
22.06.1978 18:00:00;  6,96
31.07.1978 23:59:55;  8,06
31.08.1978 02:00:00;  5,62
22.09.1978 09:00:00;  5,79
22.10.1978 16:00:00;  5,95
25.11.1978 18:00:00;  5,41
07.12.1978 14:00:00;  4,35
18.01.1979 12:00:00;  5,12
01.02.1979 21:00:00;  6,11
02.03.1979 04:00:00;  6,98
07.04.1979 01:00:00;  13,9
31.05.1979 23:59:55;  15,7
11.06.1979 14:00:00;  9,00
02.07.1979 07:00:00;  9,63
24.08.1979 06:00:00;  8,08
22.09.1979 08:00:00;  7,42
30.10.1979 03:00:00;  4,88
01.11.1979 14:00:00;  5,36
31.12.1979 23:59:55;  8,03
14.01.1980 10:00:00;  4,83
01.02.1980 00:00:00;  8,10
05.03.1980 09:00:00;  7,45
08.04.1980 17:00:00;  13,8
20.05.1980 03:00:00;  21,7
20.06.1980 00:00:00;  11,7
21.07.1980 00:00:00;  10,7
29.08.1980 04:00:00;  8,05
30.09.1980 23:59:55;  6,97
05.10.1980 14:00:00;  6,84
16.11.1980 06:00:00;  6,46
10.12.1980 13:00:00;  7,74
30.01.1981 11:00:00;  7,59
02.02.1981 00:00:00;  8,58
01.03.1981 00:00:00;  9,35
25.04.1981 04:00:00;  7,81
31.05.1981 21:00:00;  11,5
08.06.1981 07:00:00;  7,81
12.07.1981 14:00:00;  8,03
16.08.1981 22:00:00;  9,14
13.09.1981 17:00:00;  9,08
05.10.1981 10:00:00;  8,47
08.11.1981 17:00:00;  12,6
28.12.1981 15:00:00;  9,71
28.01.1982 22:00:00;  10,4
28.02.1982 12:00:00;  9,34
01.03.1982 00:00:00;  9,63
17.04.1982 03:00:00;  7,26
01.05.1982 14:00:00;  21,6
26.06.1982 16:00:00;  10,1
25.07.1982 23:00:00;  7,73
28.08.1982 06:00:00;  8,19
14.09.1982 14:00:00;  6,29
01.10.1982 14:00:00;  6,69
11.11.1982 07:00:00;  5,51
06.12.1982 21:00:00;  6,52
02.01.1983 17:00:00;  9,28
23.02.1983 10:00:00;  7,65
07.03.1983 08:00:00;  10,6
09.04.1983 02:00:00;  9,52
31.05.1983 16:00:00;  8,87
