Messstelle:                ;Au
HZB-Nummer:                ;200253
HD-Nummer:                 ;
DBMS-Nummer:               ;8001025
Gewässer:                  ;Bregenzerach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;147,07
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00772,90
   01.01.1989              ;00772,92
   01.01.2000              ;00772,92
   01.01.2006              ;00773,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;122715,54 - 243448,47
   01.01.2006              ;122815,71 - 243266,46
Exportzeitreihe:           ;(8001025,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[17.01.1951 12:00,01.01.2022 00:00]
Werte:
17.01.1951 12:00:00;  1,07
25.02.1951 12:00:00;  1,53
16.03.1951 12:00:00;  1,37
01.04.1951 12:00:00;  1,71
01.05.1951 12:00:00;  8,19
24.06.1951 12:00:00;  9,77
07.07.1951 12:00:00;  4,46
04.08.1951 12:00:00;  2,09
23.09.1951 12:00:00;  1,90
31.10.1951 12:00:00;  1,07
03.11.1951 12:00:00;  1,07
12.12.1951 12:00:00;  1,37
31.01.1952 12:00:00;  1,37
22.02.1952 12:00:00;  1,07
01.03.1952 12:00:00;  1,37
07.04.1952 12:00:00;  5,48
24.05.1952 12:00:00;  6,79
30.06.1952 12:00:00;  4,12
31.07.1952 12:00:00;  3,01
30.08.1952 12:00:00;  2,50
05.09.1952 12:00:00;  4,46
01.10.1952 12:00:00;  4,46
25.11.1952 12:00:00;  3,52
31.12.1952 12:00:00;  2,50
28.01.1953 12:00:00;  1,07
24.02.1953 12:00:00;  1,07
14.03.1953 12:00:00;  1,71
17.04.1953 12:00:00;  5,92
11.05.1953 12:00:00;  6,79
05.06.1953 12:00:00;  5,48
22.07.1953 12:00:00;  3,27
20.08.1953 12:00:00;  1,90
09.09.1953 12:00:00;  1,37
31.10.1953 12:00:00;  1,07
26.11.1953 12:00:00; 0,790
19.12.1953 12:00:00; 0,280
09.01.1954 12:00:00; 0,450
28.02.1954 12:00:00; 0,790
01.03.1954 12:00:00;  1,07
22.04.1954 12:00:00;  4,80
23.05.1954 12:00:00;  7,22
23.06.1954 12:00:00;  2,50
30.07.1954 12:00:00;  4,30
14.08.1954 12:00:00;  3,20
19.09.1954 12:00:00;  1,40
29.10.1954 12:00:00;  3,75
17.11.1954 12:00:00;  1,80
08.12.1954 12:00:00;  1,40
10.01.1955 12:00:00;  1,80
28.02.1955 12:00:00;  1,80
12.03.1955 12:00:00;  1,60
19.04.1955 12:00:00;  5,58
23.05.1955 12:00:00;  7,79
29.06.1955 12:00:00;  11,3
28.07.1955 12:00:00;  7,03
28.08.1955 12:00:00;  2,92
27.09.1955 12:00:00;  1,80
27.10.1955 12:00:00;  1,80
25.11.1955 12:00:00;  1,00
02.12.1955 12:00:00;  1,40
26.01.1956 12:00:00;  1,60
29.02.1956 12:00:00; 0,900
02.03.1956 12:00:00; 0,900
08.04.1956 12:00:00;  4,02
03.05.1956 12:00:00;  5,90
30.06.1956 12:00:00;  7,03
29.07.1956 12:00:00;  6,66
10.08.1956 12:00:00;  6,28
30.09.1956 12:00:00;  3,75
05.10.1956 12:00:00;  3,75
24.11.1956 12:00:00;  2,22
31.12.1956 12:00:00;  2,25
25.01.1957 12:00:00;  1,80
19.02.1957 12:00:00;  1,80
05.03.1957 12:00:00;  4,30
16.04.1957 12:00:00;  4,62
08.05.1957 12:00:00;  4,62
30.06.1957 12:00:00;  3,00
10.07.1957 12:00:00;  3,20
07.08.1957 12:00:00;  4,00
