Messstelle:                ;Kniewas
HZB-Nummer:                ;205799
HD-Nummer:                 ;8290
DBMS-Nummer:               ;4001122
Gewässer:                  ;Steyr
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Ennskraft
orogr.Einzugsgebiet [km²]: ;184,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1969              ;00468,61
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;512700,00 - 292420,00
   01.01.2018              ;512690,88 - 292421,16
Exportzeitreihe:           ;(4001122,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[16.01.1951 12:00,01.01.2022 00:00]
Werte:
16.01.1951 12:00:00;  2,32
04.02.1951 12:00:00;  3,34
06.03.1951 12:00:00;  2,64
15.04.1951 12:00:00;  5,58
19.05.1951 12:00:00;  8,50
30.06.1951 12:00:00;  8,82
09.07.1951 12:00:00;  7,10
31.08.1951 12:00:00;  4,70
14.09.1951 12:00:00;  3,52
31.10.1951 12:00:00;  1,70
02.11.1951 12:00:00;  2,80
31.12.1951 12:00:00;  3,52
31.01.1952 12:00:00;  2,48
08.02.1952 12:00:00;  2,00
02.03.1952 12:00:00;  4,30
05.04.1952 12:00:00;  8,22
21.05.1952 12:00:00;  13,8
05.06.1952 12:00:00;  21,0
31.07.1952 12:00:00;  9,78
13.08.1952 12:00:00;  7,00
29.09.1952 12:00:00;  7,30
05.10.1952 12:00:00;  7,30
18.11.1952 12:00:00;  6,13
29.12.1952 12:00:00;  2,86
25.01.1953 12:00:00;  1,96
17.02.1953 12:00:00;  2,10
14.03.1953 12:00:00;  2,48
18.04.1953 12:00:00;  8,50
01.05.1953 12:00:00;  8,50
04.06.1953 12:00:00;  10,1
27.07.1953 12:00:00;  8,20
19.08.1953 12:00:00;  6,42
09.09.1953 12:00:00;  4,25
30.10.1953 12:00:00;  2,10
30.11.1953 12:00:00;  1,10
26.12.1953 12:00:00;  1,00
06.01.1954 12:00:00; 0,840
05.02.1954 12:00:00; 0,900
07.03.1954 12:00:00;  1,96
20.04.1954 12:00:00;  6,42
08.05.1954 12:00:00;  10,5
30.06.1954 12:00:00;  12,4
28.07.1954 12:00:00;  14,2
22.08.1954 12:00:00;  4,25
17.09.1954 12:00:00;  4,25
23.10.1954 12:00:00;  5,55
22.11.1954 12:00:00;  4,25
21.12.1954 12:00:00;  3,77
31.01.1955 12:00:00;  3,05
28.02.1955 12:00:00;  2,10
20.03.1955 12:00:00;  1,96
03.04.1955 12:00:00;  6,71
24.05.1955 12:00:00;  8,50
04.06.1955 12:00:00;  12,0
28.07.1955 12:00:00;  14,2
31.08.1955 12:00:00;  8,50
10.09.1955 12:00:00;  5,55
31.10.1955 12:00:00;  5,03
30.11.1955 12:00:00;  2,29
01.12.1955 12:00:00;  2,48
26.01.1956 12:00:00;  3,53
26.02.1956 12:00:00;  1,96
02.03.1956 12:00:00;  3,77
09.04.1956 12:00:00;  7,00
17.05.1956 12:00:00;  9,46
12.06.1956 12:00:00;  13,3
31.07.1956 12:00:00;  13,3
28.08.1956 12:00:00;  8,82
10.09.1956 12:00:00;  5,55
15.10.1956 12:00:00;  4,77
25.11.1956 12:00:00;  3,05
29.12.1956 12:00:00;  3,77
28.01.1957 12:00:00;  2,48
22.02.1957 12:00:00;  3,89
04.03.1957 12:00:00;  5,97
17.04.1957 12:00:00;  5,10
08.05.1957 12:00:00;  7,62
30.06.1957 12:00:00;  9,96
07.07.1957 12:00:00;  11,7
13.08.1957 12:00:00;  7,62
11.09.1957 12:00:00;  5,97
31.10.1957 12:00:00;  3,68
26.11.1957 12:00:00;  2,48
29.12.1957 12:00:00;  2,48
19.01.1958 12:00:00;  1,96
05.02.1958 12:00:00;  1,40
26.03.1958 12:00:00;  2,48
13.04.1958 12:00:00;  5,97
02.05.1958 12:00:00;  7,62
18.06.1958 12:00:00;  10,4
20.07.1958 12:00:00;  7,94
20.08.1958 12:00:00;  7,02
08.09.1958 12:00:00;  5,15
12.10.1958 12:00:00;  4,90
30.11.1958 12:00:00;  4,68
13.12.1958 12:00:00;  3,01
30.01.1959 12:00:00;  3,08
24.02.1959 12:00:00;  2,57
19.03.1959 12:00:00;  4,54
01.04.1959 12:00:00;  4,78
04.05.1959 12:00:00;  8,40
01.06.1959 12:00:00;  10,5
28.07.1959 12:00:00;  10,8
31.08.1959 12:00:00;  4,77
22.09.1959 12:00:00;  2,29
21.10.1959 12:00:00;  1,82
30.11.1959 12:00:00;  1,68
04.12.1959 12:00:00;  1,00
