Messstelle:                ;Teufelmühle
HZB-Nummer:                ;204933
HD-Nummer:                 ;3350
DBMS-Nummer:               ;4001042
Gewässer:                  ;Große Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;453,24
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1928              ;00462,00
   01.01.1971              ;00461,00
   01.01.1989              ;00478,82
   01.07.1995              ;00478,82
   01.01.2022              ;00480,00
   05.10.2022              ;00479,99
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;501680,00 - 378650,00
   01.07.1995              ;501679,00 - 378658,00
   27.03.2020              ;501681,87 - 378657,38
   24.08.2021              ;501472,01 - 378985,37
Exportzeitreihe:           ;(4001042,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[11.01.1951 12:00,01.01.2022 00:00]
Werte:
11.01.1951 12:00:00;  1,65
04.02.1951 12:00:00;  2,05
06.03.1951 12:00:00;  2,19
25.04.1951 12:00:00;  4,84
30.05.1951 12:00:00;  2,20
19.06.1951 12:00:00;  1,04
01.07.1951 12:00:00; 0,850
13.08.1951 12:00:00; 0,700
25.09.1951 12:00:00;  1,05
29.10.1951 12:00:00; 0,600
14.11.1951 12:00:00; 0,800
21.12.1951 12:00:00;  1,65
11.01.1952 12:00:00;  1,55
11.02.1952 12:00:00;  2,19
14.03.1952 12:00:00;  3,59
30.04.1952 12:00:00;  9,30
22.05.1952 12:00:00;  3,44
06.06.1952 12:00:00;  2,20
20.07.1952 12:00:00;  1,28
07.08.1952 12:00:00;  1,40
04.09.1952 12:00:00;  2,20
21.10.1952 12:00:00;  5,71
02.11.1952 12:00:00;  8,90
19.12.1952 12:00:00;  6,40
22.01.1953 12:00:00;  1,50
19.02.1953 12:00:00;  3,10
15.03.1953 12:00:00;  4,28
23.04.1953 12:00:00;  5,76
26.05.1953 12:00:00;  1,02
11.06.1953 12:00:00;  1,16
26.07.1953 12:00:00; 0,700
21.08.1953 12:00:00;  1,60
29.09.1953 12:00:00; 0,750
01.10.1953 12:00:00;  1,02
26.11.1953 12:00:00; 0,580
28.12.1953 12:00:00; 0,580
01.01.1954 12:00:00; 0,660
25.02.1954 12:00:00;  1,16
31.03.1954 12:00:00;  1,80
30.04.1954 12:00:00;  1,80
29.05.1954 12:00:00;  1,94
20.06.1954 12:00:00;  1,23
01.07.1954 12:00:00;  1,30
22.08.1954 12:00:00; 0,750
09.09.1954 12:00:00;  1,02
18.10.1954 12:00:00;  4,80
02.11.1954 12:00:00;  3,30
05.12.1954 12:00:00;  3,30
31.01.1955 12:00:00;  7,36
26.02.1955 12:00:00;  4,02
16.03.1955 12:00:00;  2,50
26.04.1955 12:00:00;  9,48
26.05.1955 12:00:00;  3,76
19.06.1955 12:00:00;  1,80
24.07.1955 12:00:00;  1,70
26.08.1955 12:00:00;  1,80
25.09.1955 12:00:00;  2,08
25.10.1955 12:00:00;  2,50
26.11.1955 12:00:00; 0,900
01.12.1955 12:00:00; 0,850
28.01.1956 12:00:00;  3,50
21.02.1956 12:00:00;  2,90
01.03.1956 12:00:00;  3,50
28.04.1956 12:00:00;  6,40
31.05.1956 12:00:00;  1,94
03.06.1956 12:00:00; 0,900
08.07.1956 12:00:00; 0,800
20.08.1956 12:00:00;  2,70
24.09.1956 12:00:00;  2,22
17.10.1956 12:00:00;  1,94
22.11.1956 12:00:00;  4,54
27.12.1956 12:00:00;  7,36
15.01.1957 12:00:00;  5,44
23.02.1957 12:00:00;  5,44
14.03.1957 12:00:00;  7,36
30.04.1957 12:00:00;  3,76
13.05.1957 12:00:00;  1,60
16.06.1957 12:00:00; 0,700
18.07.1957 12:00:00; 0,700
11.08.1957 12:00:00;  4,54
09.09.1957 12:00:00;  2,50
31.10.1957 12:00:00;  1,80
19.11.1957 12:00:00;  1,70
04.12.1957 12:00:00;  1,70
04.01.1958 12:00:00;  2,08
04.02.1958 12:00:00;  3,30
25.03.1958 12:00:00;  4,41
25.04.1958 12:00:00;  17,8
30.05.1958 12:00:00;  4,35
01.06.1958 12:00:00;  1,60
27.07.1958 12:00:00;  4,41
25.08.1958 12:00:00;  3,32
09.09.1958 12:00:00;  2,02
12.10.1958 12:00:00;  3,02
26.11.1958 12:00:00;  4,35
04.12.1958 12:00:00;  2,16
06.01.1959 12:00:00;  3,29
03.02.1959 12:00:00;  3,32
31.03.1959 12:00:00;  7,86
30.04.1959 12:00:00;  3,20
16.05.1959 12:00:00;  2,30
09.06.1959 12:00:00;  2,48
12.07.1959 12:00:00; 0,900
11.08.1959 12:00:00;  2,48
26.09.1959 12:00:00; 0,850
31.10.1959 12:00:00;  1,40
03.11.1959 12:00:00;  1,30
18.12.1959 12:00:00;  1,05
27.01.1960 12:00:00;  3,20
02.02.1960 12:00:00;  1,74
21.03.1960 12:00:00;  10,3
20.04.1960 12:00:00;  3,02
13.05.1960 12:00:00;  3,20
09.06.1960 12:00:00;  1,88
15.07.1960 12:00:00;  3,29
11.08.1960 12:00:00;  5,71
24.09.1960 12:00:00;  3,56
02.10.1960 12:00:00;  2,80
12.11.1960 12:00:00;  4,71
27.12.1960 12:00:00;  2,35
13.01.1961 12:00:00; 0,950
06.02.1961 12:00:00;  4,06
11.03.1961 12:00:00;  9,79
29.04.1961 12:00:00;  5,10
26.05.1961 12:00:00;  5,73
29.06.1961 12:00:00;  5,73
27.07.1961 12:00:00;  3,23
08.08.1961 12:00:00;  1,05
06.09.1961 12:00:00;  1,20
05.10.1961 12:00:00; 0,950
03.11.1961 12:00:00;  1,50
01.12.1961 12:00:00;  2,48
11.01.1962 12:00:00;  3,29
12.02.1962 12:00:00;  4,94
03.03.1962 12:00:00;  5,40
26.04.1962 12:00:00;  11,3
08.05.1962 12:00:00;  8,90
30.06.1962 12:00:00;  4,25
15.07.1962 12:00:00;  1,10
29.08.1962 12:00:00;  1,40
16.09.1962 12:00:00;  1,20
16.10.1962 12:00:00; 0,950
10.11.1962 12:00:00; 0,950
02.12.1962 12:00:00;  1,00
31.01.1963 12:00:00;  1,75
28.02.1963 12:00:00;  3,79
01.03.1963 12:00:00;  3,79
29.04.1963 12:00:00;  5,71
31.05.1963 12:00:00;  2,20
08.06.1963 12:00:00;  2,50
28.07.1963 12:00:00;  1,30
18.08.1963 12:00:00;  1,30
18.09.1963 12:00:00;  1,30
28.10.1963 12:00:00;  2,50
06.11.1963 12:00:00;  1,40
09.12.1963 12:00:00;  2,80
03.01.1964 12:00:00;  2,95
29.02.1964 12:00:00;  3,79
20.03.1964 12:00:00;  3,33
28.04.1964 12:00:00;  4,48
26.05.1964 12:00:00;  2,95
27.06.1964 12:00:00;  1,60
19.07.1964 12:00:00; 0,900
07.08.1964 12:00:00;  1,30
06.09.1964 12:00:00;  1,40
04.10.1964 12:00:00;  1,90
09.11.1964 12:00:00;  3,33
24.12.1964 12:00:00;  4,02
16.01.1965 12:00:00;  3,56
28.02.1965 12:00:00;  2,00
09.03.1965 12:00:00;  2,00
22.04.1965 12:00:00;  17,2
04.05.1965 12:00:00;  14,2
30.06.1965 12:00:00;  10,5
24.07.1965 12:00:00;  2,86
22.08.1965 12:00:00;  1,32
04.09.1965 12:00:00;  2,20
26.10.1965 12:00:00;  1,36
17.11.1965 12:00:00;  1,80
04.12.1965 12:00:00;  3,00
29.01.1966 12:00:00;  7,26
04.02.1966 12:00:00;  6,64
10.03.1966 12:00:00;  7,88
01.04.1966 12:00:00;  12,5
19.05.1966 12:00:00;  4,36
19.06.1966 12:00:00;  2,00
31.07.1966 12:00:00;  6,64
08.08.1966 12:00:00;  6,02
30.09.1966 12:00:00;  5,71
26.10.1966 12:00:00;  3,22
06.11.1966 12:00:00;  2,20
05.12.1966 12:00:00;  3,00
24.01.1967 12:00:00;  6,02
19.02.1967 12:00:00;  8,50
31.03.1967 12:00:00;  19,5
30.04.1967 12:00:00;  11,3
30.05.1967 12:00:00;  8,90
30.06.1967 12:00:00;  5,40
