Messstelle:                ;Brühl
HZB-Nummer:                ;212092
HD-Nummer:                 ;
DBMS-Nummer:               ;7001133
Gewässer:                  ;Isel
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;518,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;00920,84
   01.01.1940              ;00919,83
   01.01.1980              ;00919,88
   01.01.2001              ;00919,58
   13.05.2009              ;00919,58
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;318782,90 - 206260,60
   13.05.2009              ;390440,71 - 204335,95
Exportzeitreihe:           ;(7001133,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[23.01.1951 12:00,01.01.2022 00:00]
Werte:
23.01.1951 12:00:00;  3,30
15.02.1951 12:00:00;  3,78
22.03.1951 12:00:00;  3,30
04.04.1951 12:00:00;  4,50
01.05.1951 12:00:00;  14,7
08.06.1951 12:00:00;  45,4
28.07.1951 12:00:00;  33,8
29.08.1951 12:00:00;  28,7
30.09.1951 12:00:00;  17,5
31.10.1951 12:00:00;  5,22
03.11.1951 12:00:00;  5,22
31.12.1951 12:00:00;  4,02
21.01.1952 12:00:00;  3,35
20.02.1952 12:00:00;  3,35
25.03.1952 12:00:00;  3,35
07.04.1952 12:00:00;  4,03
28.05.1952 12:00:00;  11,1
10.06.1952 12:00:00;  30,8
28.07.1952 12:00:00;  29,5
30.08.1952 12:00:00;  26,6
30.09.1952 12:00:00;  14,9
19.10.1952 12:00:00;  9,10
29.11.1952 12:00:00;  6,00
29.12.1952 12:00:00;  3,80
27.01.1953 12:00:00;  3,08
15.02.1953 12:00:00;  2,76
15.03.1953 12:00:00;  3,08
18.04.1953 12:00:00;  5,76
14.05.1953 12:00:00;  7,50
05.06.1953 12:00:00;  14,9
14.07.1953 12:00:00;  32,4
