Messstelle:                ;Hinterwinkel
HZB-Nummer:                ;214775
HD-Nummer:                 ;ow2330
DBMS-Nummer:               ;6002973
Gewässer:                  ;Pusterwaldbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;25,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.08.1988              ;01226,00
   23.06.2021              ;01219,01
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.08.1988              ;597186,06 - 247837,39
   01.01.2018              ;597164,50 - 247851,60
Exportzeitreihe:           ;(6002973,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.2007 00:00,01.01.2022 00:00]
Werte:
31.01.2007 01:00:00; 0,420
24.02.2007 14:30:00; 0,357
10.03.2007 19:15:00; 0,349
04.04.2007 11:15:00; 0,390
31.05.2007 18:45:20; 0,851
29.06.2007 20:45:00; 0,549
01.07.2007 16:15:00; 0,556
28.08.2007 15:30:00; 0,589
03.09.2007 14:00:00; 0,641
13.10.2007 15:30:00; 0,703
16.11.2007 12:15:00; 0,533
28.12.2007 10:00:00; 0,460
18.01.2008 00:30:00; 0,441
17.02.2008 07:45:00; 0,369
28.03.2008 19:45:00; 0,447
08.04.2008 05:00:00; 0,476
02.05.2008 08:15:00;  1,44
30.06.2008 17:30:00;  1,03
10.07.2008 17:45:00; 0,837
31.08.2008 23:59:55; 0,996
27.09.2008 10:30:00; 0,661
01.10.2008 13:45:00; 0,663
30.11.2008 20:45:00; 0,575
26.12.2008 12:15:00; 0,399
31.01.2009 08:00:00; 0,311
22.02.2009 05:30:00; 0,263
22.03.2009 05:30:00; 0,274
01.04.2009 05:00:00; 0,313
07.05.2009 08:00:00;  1,79
19.06.2009 16:30:00;  1,46
31.07.2009 17:45:00; 0,981
20.08.2009 19:00:00; 0,756
30.09.2009 22:30:00; 0,920
31.10.2009 21:30:00; 0,742
28.11.2009 16:00:00; 0,480
19.12.2009 01:45:00; 0,442
24.01.2010 00:00:00; 0,336
22.02.2010 02:46:30; 0,310
06.03.2010 21:46:30; 0,284
03.04.2010 06:15:00; 0,417
01.05.2010 05:00:00; 0,968
30.06.2010 22:00:00;  1,01
27.07.2010 15:15:00; 0,561
08.08.2010 14:00:00; 0,604
24.09.2010 15:00:00; 0,796
26.10.2010 09:00:00; 0,596
12.11.2010 12:00:00; 0,613
31.12.2010 11:15:00; 0,491
29.01.2011 11:15:00; 0,361
26.02.2011 09:45:00; 0,349
05.03.2011 11:15:00; 0,342
01.04.2011 03:15:00; 0,475
10.05.2011 12:30:00; 0,974
17.06.2011 14:45:00; 0,929
14.07.2011 11:00:00; 0,757
27.08.2011 13:15:00; 0,717
16.09.2011 15:30:00; 0,632
06.10.2011 17:45:00; 0,674
30.11.2011 21:15:00; 0,501
20.12.2011 10:30:00; 0,398
15.01.2012 11:02:05; 0,362
10.02.2012 10:44:00; 0,355
14.03.2012 09:59:00; 0,390
26.04.2012 10:33:00; 0,715
19.05.2012 07:48:00;  1,36
30.06.2012 20:18:00;  1,57
09.07.2012 15:18:00;  1,08
24.08.2012 14:03:00; 0,723
11.09.2012 15:33:00; 0,781
12.10.2012 14:56:00; 0,855
04.11.2012 10:11:00; 0,835
31.12.2012 09:26:00; 0,546
26.01.2013 06:45:00; 0,418
27.02.2013 00:00:00; 0,385
01.03.2013 00:00:00; 0,385
01.04.2013 00:00:00; 0,389
30.05.2013 07:00:00;  1,28
29.06.2013 14:15:00;  1,23
31.07.2013 10:15:00; 0,669
18.08.2013 16:00:00; 0,561
08.09.2013 14:45:00; 0,680
08.10.2013 20:45:00; 0,808
25.11.2013 06:45:00; 0,930
25.12.2013 11:30:00; 0,591
31.01.2014 12:30:00; 0,465
20.02.2014 15:00:00; 0,391
07.03.2014 10:30:00; 0,402
01.04.2014 09:45:00; 0,739
06.05.2014 10:30:00;  1,37
27.06.2014 09:30:00; 0,831
18.07.2014 14:15:00; 0,569
10.08.2014 19:30:00; 0,593
30.09.2014 13:45:00; 0,959
17.10.2014 14:45:00; 0,692
29.11.2014 19:45:00; 0,712
29.12.2014 00:30:00; 0,457
31.01.2015 12:30:00; 0,410
08.02.2015 16:15:00; 0,325
14.03.2015 05:15:00; 0,307
02.04.2015 18:30:00; 0,443
29.05.2015 12:15:00;  1,43
30.06.2015 14:45:00; 0,881
19.07.2015 13:00:00; 0,674
31.08.2015 15:45:00; 0,494
22.09.2015 13:45:00; 0,400
03.10.2015 14:30:00; 0,429
25.11.2015 03:00:00; 0,511
31.12.2015 08:45:00; 0,386
19.01.2016 02:15:00; 0,362
19.02.2016 17:15:00; 0,309
24.03.2016 19:15:00; 0,349
01.04.2016 11:45:00; 0,537
01.05.2016 08:00:00; 0,779
26.06.2016 15:30:00;  1,22
11.07.2016 12:15:00;  1,01
31.08.2016 17:00:00; 0,835
30.09.2016 15:15:00; 0,583
13.10.2016 04:30:00; 0,521
15.11.2016 04:15:00; 0,491
25.12.2016 16:15:00; 0,410
26.01.2017 23:30:00; 0,281
19.02.2017 06:15:00; 0,217
13.03.2017 07:00:00; 0,270
24.04.2017 07:28:55; 0,599
19.05.2017 18:15:25; 0,750
30.06.2017 19:13:00; 0,672
07.07.2017 14:13:00; 0,613
02.08.2017 13:28:00;  1,11
01.09.2017 01:28:00;  1,25
24.10.2017 17:13:00; 0,656
30.11.2017 20:58:00; 0,575
29.12.2017 19:28:00; 0,334
27.01.2018 09:43:00; 0,334
25.02.2018 07:58:00; 0,207
22.03.2018 07:13:00; 0,235
02.04.2018 07:43:00; 0,298
30.05.2018 12:58:00;  1,25
24.06.2018 16:13:00; 0,761
31.07.2018 14:28:00; 0,334
06.08.2018 14:43:00; 0,298
21.09.2018 10:28:00; 0,372
22.10.2018 10:13:00; 0,265
29.11.2018 04:58:00; 0,471
27.12.2018 20:28:00; 0,372
28.01.2019 16:28:00; 0,265
12.02.2019 01:13:00; 0,207
15.03.2019 16:43:00; 0,376
02.04.2019 09:43:00; 0,613
17.05.2019 02:13:00; 0,980
30.06.2019 23:58:00; 0,941
31.07.2019 10:43:00; 0,381
28.08.2019 19:43:00; 0,619
26.09.2019 11:28:00; 0,542
24.10.2019 09:43:00; 0,438
01.11.2019 09:28:00; 0,451
31.12.2019 20:15:00; 0,512
31.01.2020 03:30:00; 0,409
14.02.2020 14:15:00; 0,429
10.03.2020 14:30:00; 0,412
03.04.2020 06:30:00; 0,489
08.05.2020 07:45:00;  1,22
30.06.2020 16:00:00;  1,01
31.07.2020 14:00:00; 0,697
02.08.2020 03:00:00; 0,687
24.09.2020 14:28:00; 0,824
07.10.2020 18:13:00; 0,852
30.11.2020 10:58:00; 0,553
31.12.2020 22:13:00; 0,354
27.01.2021 21:13:00; 0,293
03.02.2021 22:13:00; 0,280
21.03.2021 05:43:00; 0,293
20.04.2021 05:43:00; 0,422
01.05.2021 08:43:00; 0,816
30.06.2021 11:58:00;  1,08
15.07.2021 18:43:00; 0,631
15.08.2021 07:43:00; 0,817
28.09.2021 16:13:00; 0,572
31.10.2021 14:58:00; 0,533
24.11.2021 15:58:00; 0,445
12.12.2021 22:13:00; 0,397
