Messstelle:                ;Wörth an der Lafnitz
HZB-Nummer:                ;211003
HD-Nummer:                 ;ow4550
DBMS-Nummer:               ;6001051
Gewässer:                  ;Lafnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;439,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00299,36
   01.01.1978              ;00299,26
   01.01.2007              ;00299,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1954              ;00000,00 - 00000,00
   01.01.1978              ;731491,90 - 230094,50
   01.01.2018              ;731361,80 - 230188,60
Exportzeitreihe:           ;(6001051,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[13.01.1961 12:00,01.01.2022 00:00]
Werte:
13.01.1961 12:00:00;  1,38
27.02.1961 12:00:00;  2,46
27.03.1961 12:00:00;  1,13
17.04.1961 12:00:00;  1,48
26.05.1961 12:00:00;  1,53
02.06.1961 12:00:00;  2,20
28.07.1961 12:00:00;  2,02
01.08.1961 12:00:00;  1,13
01.09.1961 12:00:00; 0,870
01.10.1961 12:00:00;  1,08
06.11.1961 12:00:00;  3,41
25.12.1961 12:00:00;  2,92
29.01.1962 12:00:00;  2,26
24.02.1962 12:00:00;  1,84
01.03.1962 12:00:00;  2,20
29.04.1962 12:00:00;  2,86
09.05.1962 12:00:00;  2,32
16.06.1962 12:00:00;  2,20
09.07.1962 12:00:00;  2,32
30.08.1962 12:00:00;  1,23
15.09.1962 12:00:00;  1,08
27.10.1962 12:00:00;  1,23
05.11.1962 12:00:00;  1,73
31.12.1962 12:00:00;  1,78
31.01.1963 12:00:00;  2,14
18.02.1963 12:00:00;  2,08
03.03.1963 12:00:00;  2,20
30.04.1963 12:00:00;  6,50
24.05.1963 12:00:00;  3,41
03.06.1963 12:00:00;  3,41
31.07.1963 12:00:00;  2,46
01.08.1963 12:00:00;  2,32
29.09.1963 12:00:00;  2,39
31.10.1963 12:00:00;  2,08
20.11.1963 12:00:00;  1,33
31.12.1963 12:00:00;  1,63
31.01.1964 12:00:00;  1,58
02.02.1964 12:00:00;  1,58
19.03.1964 12:00:00;  1,63
29.04.1964 12:00:00;  2,59
31.05.1964 12:00:00;  2,02
13.06.1964 12:00:00;  1,33
31.07.1964 12:00:00;  1,55
28.08.1964 12:00:00;  1,30
04.09.1964 12:00:00;  1,25
06.10.1964 12:00:00;  1,35
29.11.1964 12:00:00;  4,24
29.12.1964 12:00:00;  3,03
21.01.1965 12:00:00;  2,62
27.02.1965 12:00:00;  1,90
11.03.1965 12:00:00;  1,90
12.04.1965 12:00:00;  2,99
22.05.1965 12:00:00;  6,18
30.06.1965 12:00:00;  5,10
01.07.1965 12:00:00;  5,78
24.08.1965 12:00:00;  5,86
