Messstelle:                ;Pucking, Br 16.2
HZB-Nummer:                ;316349
HD-Nummer:                 ;W16.2
DBMS-Nummer:               ;4002351
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;16.11.2015
 Geländehöhe:              ;280,95
 Messpunkthöhe:            ;281,55
 Sohllage:                 ;272,09
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 11 57                 ;48 11 39
  01.01.2003               ;14 11 59                 ;48 11 41
  01.01.1971               ;14 11 59                 ;48 11 41
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis 2006 FG06 durch Kraftwerk beeinflusst
  1983 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1980 AKorr 2001: durch Kraftwerk beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.12.1983 07:01:00   ;   278,50 ;     
18.02.1984 07:01:00   ;   278,49 ;     
10.08.1985 07:01:00   ;   278,96 ;     
25.01.1986 07:01:00   ;   278,91 ;     
01.03.1987 07:01:00   ;   278,78 ;     
27.03.1988 07:01:00   ;   278,92 ;     
13.08.1989 07:01:00   ;   278,52 ;     
17.02.1990 07:01:00   ;   278,80 ;     
09.08.1991 07:01:00   ;   278,90 ;     
10.12.1992 07:01:00   ;   278,85 ;     
18.03.1993 07:01:00   ;   278,70 ;     
14.04.1994 07:01:00   ;   279,01 ;     
31.12.1995 23:59:55   ;   278,68 ;     
17.05.1996 07:01:00   ;   278,89 ;     
18.12.1997 07:01:00   ;   278,77 ;     
12.11.1998 07:01:00   ;   278,79 ;     
27.02.1999 07:01:00   ;   278,84 ;     
11.02.2000 07:01:00   ;   278,75 ;     
01.03.2001 07:01:00   ;   278,74 ;     
16.08.2002 07:01:00   ;   279,29 ;     
03.01.2003 07:01:00   ;   278,94 ;     
27.03.2004 07:01:00   ;   278,70 ;     
14.02.2005 07:01:00   ;   278,86 ;     
18.03.2006 07:01:00   ;   279,10 ;     
31.08.2007 07:01:00   ;   278,84 ;     
18.06.2008 07:01:00   ;   278,78 ;     
24.06.2009 07:01:00   ;   279,08 ;     
19.01.2011 07:01:00   ;   278,60 ;     
20.01.2012 07:01:00   ;   278,84 ;     
05.06.2013 07:01:00   ;   278,99 ;     
13.11.2014 07:01:00   ;   278,74 ;     
27.05.2015 07:01:00   ;   278,85 ;     
27.07.2016 07:01:00   ;   278,87 ;     
10.05.2017 07:01:00   ;   278,82 ;     
05.12.2018 07:01:00   ;   278,84 ;     
09.01.2019 07:01:00   ;   278,78 ;     
04.02.2020 07:01:00   ;   278,93 ;     
27.07.2021 07:01:00   ;   278,97 ;     
