Messstelle:                ;Seibersdorf, Bl 1
HZB-Nummer:                ;301523
HD-Nummer:                 ;
DBMS-Nummer:               ;3002114
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Studiengesellschaft für Atomenergie Seibersdorf
Höhenangaben [m ü.A.]:     ;gültig seit: ;31.08.1970
 Geländehöhe:              ;185,13
 Messpunkthöhe:            ;185,98
 Sohllage:                 ;181,98
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2009               ;16 30 19                 ;47 58 30
  07.06.1960               ;16 30 23                 ;47 58 32
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
27.02.1961 07:01:00   ;   183,68 ;     
14.05.1962 07:01:00   ;   183,83 ;     
08.04.1963 07:01:00   ;   184,20 ;     
13.04.1964 07:01:00   ;   184,30 ;     
08.06.1965 07:01:00   ;   184,88 ;     
22.08.1966 07:01:00   ;   183,82 ;     
23.01.1967 07:01:00   ;   183,93 ;     
15.01.1968 07:01:00   ;   183,72 ;     
07.04.1969 07:01:00   ;   183,84 ;     
31.03.1970 07:01:00   ;   183,77 ;     
05.04.1971 07:01:00   ;   183,83 ;     
29.05.1972 07:01:00   ;   184,29 ;     
24.04.1973 07:01:00   ;   184,04 ;     
28.01.1974 07:01:00   ;   183,91 ;     
28.07.1975 07:01:00   ;   183,84 ;     
26.01.1976 07:01:00   ;   183,99 ;     
14.02.1977 07:01:00   ;   184,30 ;     
24.04.1978 07:01:00   ;   183,61 ;     
09.04.1979 07:01:00   ;   184,23 ;     
28.04.1980 07:01:00   ;   183,98 ;     
01.01.1981 00:00:05   ;   183,87 ;     
01.02.1982 07:01:00   ;   183,98 ;     
07.03.1983 07:01:00   ;   184,00 ;     
09.04.1984 07:01:00   ;   183,57 ;     
25.03.1985 07:01:00   ;   184,28 ;     
20.01.1986 07:01:00   ;   184,31 ;     
23.02.1987 07:01:00   ;   184,07 ;     
08.02.1988 07:01:00   ;   184,25 ;     
07.08.1989 07:01:00   ;   183,50 ;     
30.04.1990 07:01:00   ;   183,48 ;     
21.05.1991 07:01:00   ;   184,05 ;     
30.03.1992 07:01:00   ;   183,81 ;     
31.12.1993 23:59:55   ;   183,82 ;     
10.01.1994 07:01:00   ;   183,97 ;     
18.04.1995 07:01:00   ;   183,88 ;     
09.04.1996 07:01:00   ;   184,57 ;     
14.07.1997 07:01:00   ;   183,91 ;     
19.10.1998 07:01:00   ;   183,82 ;     
08.03.1999 07:01:00   ;   183,89 ;     
03.04.2000 07:01:00   ;   184,05 ;     
02.04.2001 07:01:00   ;   183,56 ;     
25.03.2002 07:01:00   ;   183,98 ;     
03.02.2003 07:01:00   ;   183,99 ;     
29.03.2004 07:01:00   ;   184,07 ;     
21.03.2005 07:01:00   ;   183,69 ;     
02.05.2006 07:01:00   ;   184,02 ;     
17.12.2007 07:01:00   ;   184,12 ;     
01.01.2008 00:00:05   ;   183,90 ;     
29.06.2009 07:01:00   ;   184,36 ;     
16.08.2010 07:01:00   ;   184,14 ;     
17.01.2011 07:01:00   ;   183,80 ;     
31.12.2012 23:59:55   ;   183,24 ;     
04.03.2013 07:01:00   ;   184,37 ;     
15.09.2014 07:01:00   ;   184,39 ;     
12.01.2015 07:01:00   ;   183,82 ;     
06.06.2016 07:01:00   ;   183,69 ;     
27.03.2017 07:01:00   ;   183,65 ;     
27.12.2018 07:01:00   ;   183,91 ;     
01.01.2019 00:00:05   ;   183,85 ;     
19.10.2020 07:01:00   ;   183,77 ;     
01.02.2021 07:01:00   ;   183,94 ;     
