Messstelle:                ;Baumgartenberg, Br 2091.013
HZB-Nummer:                ;309260
HD-Nummer:                 ;2091.013
DBMS-Nummer:               ;4002269
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.11.2015
 Geländehöhe:              ;236,14
 Messpunkthöhe:            ;236,79
 Sohllage:                 ;229,09
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 43 56                 ;48 12 12
  01.01.2003               ;14 44 05                 ;48 12 12
  02.01.1948               ;14 44 05                 ;48 12 12
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.03.1956 07:01:00   ;   231,70 ;     
29.07.1957 07:01:00   ;   233,87 ;     
03.03.1958 07:01:00   ;   232,32 ;     
17.08.1959 07:01:00   ;   234,36 ;     
04.04.1960 07:01:00   ;   231,35 ;     
17.06.1961 07:01:00   ;   231,13 ;     
09.06.1962 07:01:00   ;   231,08 ;     
01.04.1963 07:01:00   ;   231,75 ;     
30.11.1964 07:01:00   ;   231,15 ;     
17.05.1965 07:01:00   ;   233,60 ;     
25.07.1966 07:01:00   ;   232,02 ;     
09.01.1967 07:01:00   ;   231,61 ;     
22.01.1968 07:01:00   ;   231,06 ;     
17.03.1969 07:01:00   ;   230,81 ;     
27.04.1970 07:01:00   ;   231,53 ;     
01.02.1971 07:01:00   ;   231,07 ;     
31.07.1972 07:01:00   ;   230,77 ;     
26.03.1973 07:01:00   ;   230,51 ;     
31.12.1974 23:59:55   ;   231,28 ;     
13.01.1975 07:01:00   ;   231,66 ;     
09.02.1976 07:01:00   ;   230,64 ;     
14.03.1977 07:01:00   ;   231,13 ;     
17.04.1978 07:01:00   ;   230,11 ;     
17.04.1979 07:01:00   ;   231,72 ;     
08.04.1980 07:01:00   ;   231,11 ;     
19.01.1981 07:01:00   ;   231,01 ;     
08.02.1982 07:01:00   ;   231,16 ;     
14.03.1983 07:01:00   ;   230,31 ;     
27.02.1984 07:01:00   ;   230,09 ;     
19.08.1985 07:01:00   ;   231,10 ;     
02.02.1986 07:01:00   ;   230,80 ;     
11.07.1987 07:01:00   ;   231,01 ;     
08.04.1988 07:01:00   ;   231,53 ;     
20.01.1989 07:01:00   ;   230,61 ;     
25.05.1990 07:01:00   ;   230,27 ;     
09.08.1991 07:01:00   ;   231,88 ;     
10.04.1992 07:01:00   ;   230,57 ;     
06.04.1993 07:01:00   ;   230,71 ;     
26.04.1994 07:01:00   ;   231,01 ;     
18.04.1995 07:01:00   ;   230,53 ;     
11.06.1996 07:01:00   ;   231,12 ;     
19.08.1997 07:01:00   ;   230,48 ;     
31.12.1998 23:59:55   ;   230,52 ;     
16.03.1999 07:01:00   ;   231,05 ;     
04.04.2000 07:01:00   ;   230,63 ;     
01.05.2001 07:01:00   ;   230,59 ;     
13.08.2002 07:01:00   ;   236,11 ;     
05.02.2003 07:01:00   ;   231,48 ;     
20.04.2004 07:01:00   ;   230,46 ;     
02.08.2005 07:01:00   ;   230,68 ;     
11.04.2006 07:01:00   ;   231,56 ;     
30.12.2007 07:01:00   ;   230,45 ;     
04.05.2008 07:01:00   ;   230,45 ;     
07.08.2009 07:01:00   ;   231,37 ;     
18.06.2010 07:01:00   ;   230,63 ;     
04.02.2011 07:01:00   ;   230,42 ;     
23.03.2012 07:01:00   ;   230,41 ;     
07.06.2013 07:01:00   ;   234,36 ;     
30.10.2014 07:01:00   ;   230,41 ;     
17.04.2015 07:01:00   ;   230,42 ;     
28.07.2016 07:01:00   ;   231,00 ;     
05.04.2017 07:01:00   ;   230,63 ;     
15.02.2018 07:01:00   ;   230,65 ;     
03.04.2019 07:01:00   ;   230,47 ;     
12.11.2020 07:01:00   ;   231,07 ;     
01.09.2021 07:01:00   ;   230,87 ;     
