Messstelle:                ;Friesach-St.Stefan, Bl  3211
HZB-Nummer:                ;325480
HD-Nummer:                 ;uw3211
DBMS-Nummer:               ;6002453
Fremdnummer:               ;STW 309
PorenGW-Gebiet:            ;378 Murdurchbruchstal
Grundwasserkörper:         ;Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Grazer Stadtwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1977
 Geländehöhe:              ;387,30
 Messpunkthöhe:            ;387,70
 Sohllage:                 ;380,70
 T-Messtiefe u.GOK:        ;4,60
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 19 28                 ;47 10 19
  01.01.1977               ;15 19 28                 ;47 10 19
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
09.05.1977 07:01:00   ;   385,55 ;     
24.07.1978 07:01:00   ;   385,52 ;     
28.05.1979 07:01:00   ;   386,09 ;     
14.07.1980 07:01:00   ;   385,37 ;     
01.06.1981 07:01:00   ;   385,11 ;     
01.06.1982 07:01:00   ;   385,63 ;     
02.05.1983 07:01:00   ;   385,09 ;     
28.05.1984 07:01:00   ;   385,45 ;     
28.05.1985 07:01:00   ;   385,61 ;     
12.05.1986 07:01:00   ;   385,81 ;     
11.05.1987 07:01:00   ;   385,54 ;     
13.06.1988 07:01:00   ;   385,13 ;     
10.07.1989 07:01:00   ;   385,81 ;     
16.07.1990 07:01:00   ;   385,42 ;     
05.08.1991 07:01:00   ;   386,03 ;     
18.05.1992 07:01:00   ;   385,88 ;     
02.11.1993 07:01:00   ;   385,67 ;     
24.05.1994 07:01:00   ;   385,30 ;     
15.05.1995 07:01:00   ;   385,46 ;     
20.05.1996 07:01:00   ;   385,66 ;     
04.08.1997 12:00:00   ;   385,29 ;     
12.10.1998 12:00:00   ;   385,08 ;     
23.08.1999 07:01:00   ;   385,86 ;     
08.05.2000 07:01:00   ;   385,71 ;     
14.05.2001 07:01:00   ;   385,10 ;     
19.08.2002 07:01:00   ;   385,18 ;     
07.01.2003 07:01:00   ;   384,84 ;     
05.07.2004 07:01:00   ;   385,69 ;     
11.10.2005 07:01:00   ;   386,04 ;     
08.05.2006 07:01:00   ;   385,69 ;     
17.09.2007 07:01:00   ;   385,18 ;     
25.08.2008 07:01:00   ;   385,03 ;     
07.09.2009 07:01:00   ;   386,12 ;     
29.06.2010 07:01:00   ;   385,32 ;     
27.06.2011 07:01:00   ;   384,99 ;     
15.05.2013 09:05:00   ;   386,56 ;     
17.09.2014 14:00:00   ;   386,13 ;     
28.05.2015 20:00:00   ;   384,95 ;     
17.08.2016 06:00:00   ;   385,45 ;     
14.08.2017 00:00:00   ;   385,04 ;     
17.05.2018 19:00:00   ;   385,34 ;     
08.06.2019 10:00:00   ;   384,94 ;     
11.09.2020 22:00:00   ;   384,87 ;     
11.06.2021 16:00:00   ;   384,67 ;     
