Messstelle:                ;Stadl-Hausruck, Bl 54.9
HZB-Nummer:                ;375030
HD-Nummer:                 ;V54.9
DBMS-Nummer:               ;4003030
PorenGW-Gebiet:            ;110 Traun-Agergebiet
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;22.02.1984
 Geländehöhe:              ;390,63
 Messpunkthöhe:            ;391,48
 Sohllage:                 ;356,60
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 49 41                 ;48 03 18
  01.01.2003               ;13 49 44                 ;48 03 21
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.04.1984 07:01:00   ;   357,73 ;     
27.08.1985 07:01:00   ;   357,94 ;     
28.01.1986 07:01:00   ;   357,92 ;     
06.04.1987 07:01:00   ;   357,90 ;     
05.04.1988 07:01:00   ;   358,02 ;     
01.01.1989 00:00:05   ;   357,90 ;     
14.05.1990 07:01:00   ;   357,85 ;     
12.08.1991 07:01:00   ;   358,05 ;     
06.04.1992 07:01:00   ;   357,95 ;     
01.01.1993 00:00:05   ;   357,91 ;     
25.04.1994 07:01:00   ;   358,05 ;     
15.05.1995 07:01:00   ;   358,08 ;     
20.05.1996 07:01:00   ;   358,08 ;     
28.07.1997 07:01:00   ;   358,00 ;     
03.08.1998 07:01:00   ;   357,97 ;     
01.03.1999 07:01:00   ;   358,01 ;     
29.03.2000 07:01:00   ;   357,95 ;     
04.04.2001 07:01:00   ;   357,98 ;     
22.05.2002 07:01:00   ;   358,14 ;     
15.01.2003 07:01:00   ;   357,98 ;     
03.04.2004 07:01:00   ;   357,96 ;     
12.06.2005 07:01:00   ;   357,98 ;     
09.04.2006 07:01:00   ;   358,17 ;     
21.09.2007 07:01:00   ;   357,93 ;     
01.01.2008 00:00:05   ;   357,89 ;     
02.07.2009 07:01:00   ;   358,04 ;     
23.06.2010 12:00:00   ;   357,76 ;     
18.01.2011 12:00:00   ;   357,63 ;     
31.01.2012 12:00:00   ;   357,94 ;     
11.06.2013 12:00:00   ;   358,12 ;     
23.09.2014 12:00:00   ;   358,05 ;     
03.02.2015 12:00:00   ;   357,83 ;     
14.06.2016 12:00:00   ;   357,98 ;     
09.05.2017 12:00:00   ;   357,98 ;     
06.02.2018 12:00:00   ;   357,96 ;     
30.01.2019 12:00:00   ;   357,91 ;     
01.09.2020 12:00:00   ;   357,98 ;     
18.08.2021 12:00:00   ;   357,90 ;     
