Messstelle:                ;Voggenberg, Bl 25
HZB-Nummer:                ;320853
HD-Nummer:                 ;
DBMS-Nummer:               ;5002054
PorenGW-Gebiet:            ;040 Unteres Salzachtal
Grundwasserkörper:         ;Unteres Salzachtal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.12.2016
 Geländehöhe:              ;407,50
 Messpunkthöhe:            ;407,97
 Sohllage:                 ;399,90
 T-Messtiefe u.GOK:        ;7,33
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.08.1994               ;13 00 17                 ;47 51 33
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
30.06.1995 07:01:00   ;   403,50 ;     
07.06.1996 07:01:00   ;   402,52 ;     
25.07.1997 14:40:00   ;   403,24 ;     
28.03.1998 15:00:00   ;   402,37 ;     
28.05.1999 14:00:00   ;   402,75 ;     
17.03.2000 15:10:00   ;   402,76 ;     
20.04.2001 15:10:00   ;   402,24 ;     
23.08.2002 15:20:00   ;   403,28 ;     
07.02.2003 15:20:00   ;   402,17 ;     
09.06.2004 16:00:00   ;   402,70 ;     
15.07.2005 13:00:00   ;   402,97 ;     
04.04.2006 06:00:00   ;   402,64 ;     
16.09.2007 07:00:00   ;   402,30 ;     
04.05.2008 17:00:00   ;   402,17 ;     
02.07.2009 02:00:00   ;   403,58 ;     
08.06.2010 02:00:00   ;   402,81 ;     
19.08.2011 02:00:00   ;   402,02 ;     
23.06.2012 13:00:00   ;   402,53 ;     
04.06.2013 20:00:00   ;   404,27 ;     
28.10.2014 17:00:00   ;   402,76 ;     
30.05.2015 13:00:00   ;   402,03 ;     
02.06.2016 20:00:00   ;   403,74 ;     
14.05.2017 19:00:00   ;   402,23 ;     
28.01.2018 15:00:00   ;   402,40 ;     
19.01.2019 10:00:00   ;   402,59 ;     
08.08.2020 08:00:00   ;   402,96 ;     
03.09.2021 22:00:00   ;   402,72 ;     
