Messstelle:                ;Ehenbichl, Bl 22 (L37)
HZB-Nummer:                ;370098
HD-Nummer:                 ;
DBMS-Nummer:               ;7004142
Fremdnummer:               ;GW70806026
PorenGW-Gebiet:            ;012 Unteres Lechtal
Grundwasserkörper:         ;Lechtal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.06.2019
 Geländehöhe:              ;870,72
 Messpunkthöhe:            ;871,62
 Sohllage:                 ;865,87
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  02.01.1990               ;10 39 51                 ;47 26 44
  01.01.1990               ;10 39 18                 ;47 26 44
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.11.1992 07:01:00   ;   870,12 ;     
19.07.1993 07:01:00   ;   869,79 ;     
02.05.1994 07:01:00   ;   869,36 ;     
02.06.1995 07:01:00   ;   869,94 ;     
23.12.1996 07:01:00   ;   869,19 ;     
06.07.1997 07:01:00   ;   870,18 ;     
15.06.1998 07:01:00   ;   869,21 ;     
13.05.1999 07:01:00   ;   870,51 ;     
07.08.2000 10:30:00   ;   870,13 ;     
11.06.2001 07:01:00   ;   870,13 ;     
12.08.2002 08:00:00   ;   870,43 ;     
13.10.2003 14:30:00   ;   869,22 ;     
07.06.2004 07:30:00   ;   869,47 ;     
23.08.2005 10:30:00   ;   870,81 ;     
28.05.2006 11:30:00   ;   869,48 ;     
09.09.2007 09:20:00   ;   869,23 ;     
01.06.2008 10:20:00   ;   869,56 ;     
19.07.2009 09:30:00   ;   869,58 ;     
29.08.2010 09:30:00   ;   869,93 ;     
19.06.2011 09:30:00   ;   869,92 ;     
10.06.2012 09:30:00   ;   870,32 ;     
19.09.2013 08:00:00   ;   870,59 ;     
31.07.2014 11:00:00   ;   870,42 ;     
06.05.2015 16:00:00   ;   870,10 ;     
05.08.2016 16:00:00   ;   870,67 ;     
26.07.2017 15:00:00   ;   870,92 ;     
24.12.2018 11:00:00   ;   870,51 ;     
21.05.2019 06:00:00   ;   870,59 ;     
03.02.2020 22:00:00   ;   870,58 ;     
18.07.2021 09:00:00   ;   870,73 ;     
