Messstelle:                ;Urfahr, Bl 2133.029
HZB-Nummer:                ;323345
HD-Nummer:                 ;2133.029
DBMS-Nummer:               ;4002434
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.03.1976
 Geländehöhe:              ;261,40
 Messpunkthöhe:            ;262,25
 Sohllage:                 ;242,75
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 17 28                 ;48 19 40
  01.01.2003               ;14 17 31                 ;48 19 41
  04.03.1976               ;14 17 31                 ;48 19 41
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
  1980 bis -> FG46 durch nahegelegenen Versorgungsbrunnen beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.08.1980 07:01:00   ;   249,52 ;     
26.02.1981 07:01:00   ;   249,50 ;     
04.03.1982 07:01:00   ;   249,44 ;     
05.05.1983 07:01:00   ;   250,13 ;     
01.03.1984 07:01:00   ;   249,92 ;     
21.02.1985 07:01:00   ;   249,90 ;     
02.01.1986 07:01:00   ;   249,34 ;     
08.07.1987 07:01:00   ;   250,25 ;     
13.04.1988 07:01:00   ;   250,52 ;     
21.12.1989 07:01:00   ;   249,82 ;     
19.07.1990 07:01:00   ;   250,04 ;     
27.06.1991 07:01:00   ;   249,95 ;     
10.12.1992 07:01:00   ;   250,09 ;     
07.01.1993 07:01:00   ;   250,05 ;     
05.05.1994 07:01:00   ;   250,24 ;     
13.07.1995 07:01:00   ;   250,07 ;     
13.06.1996 07:01:00   ;   250,08 ;     
07.08.1997 07:01:00   ;   250,15 ;     
31.12.1998 07:01:00   ;   249,31 ;     
17.06.1999 07:01:00   ;   249,71 ;     
23.03.2000 07:01:00   ;   249,74 ;     
19.04.2001 07:01:00   ;   249,40 ;     
22.08.2002 07:01:00   ;   249,97 ;     
09.01.2003 07:01:00   ;   249,68 ;     
05.08.2004 07:01:00   ;   249,41 ;     
21.07.2005 07:01:00   ;   249,48 ;     
23.11.2006 07:01:00   ;   249,92 ;     
19.07.2007 07:01:00   ;   250,08 ;     
27.03.2008 07:01:00   ;   249,27 ;     
30.07.2009 07:01:00   ;   249,00 ;     
12.08.2010 07:01:00   ;   249,15 ;     
28.07.2011 07:01:00   ;   249,51 ;     
02.02.2012 07:01:00   ;   249,45 ;     
13.06.2013 07:01:00   ;   250,13 ;     
11.09.2014 07:01:00   ;   249,06 ;     
22.10.2015 07:01:00   ;   249,17 ;     
12.08.2016 07:01:00   ;   249,59 ;     
19.05.2017 07:01:00   ;   249,41 ;     
08.02.2018 07:01:00   ;   249,62 ;     
15.03.2019 07:01:00   ;   249,55 ;     
06.03.2020 07:01:00   ;   249,35 ;     
09.02.2021 07:01:00   ;   249,13 ;     
