Messstelle:                ;Hard, Bl 50.2.17 A
HZB-Nummer:                ;322032
HD-Nummer:                 ;50.2.17 A
DBMS-Nummer:               ;8002090
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.09.2021
 Geländehöhe:              ;398,00
 Messpunkthöhe:            ;398,79
 Sohllage:                 ;391,79
 T-Messtiefe u.GOK:        ;3,72
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  15.09.2021               ;09 41 03                 ;47 29 30
  06.10.2004               ;09 41 05                 ;47 29 29
  01.01.1978               ;09 41 05                 ;47 29 29
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.07.1978 07:01:00   ;   396,75 ;     
18.06.1979 07:01:00   ;   396,91 ;     
21.07.1980 07:01:00   ;   397,03 ;     
27.07.1981 07:01:00   ;   396,98 ;     
28.06.1982 07:01:00   ;   396,93 ;     
20.06.1983 07:01:00   ;   396,72 ;     
24.09.1984 07:01:00   ;   396,54 ;     
12.08.1985 07:01:00   ;   396,41 ;     
09.06.1986 07:01:00   ;   396,83 ;     
27.07.1987 07:01:00   ;   397,52 ;     
13.06.1988 07:01:00   ;   396,53 ;     
17.07.1989 07:01:00   ;   396,15 ;     
09.07.1990 07:01:00   ;   396,51 ;     
01.07.1991 07:01:00   ;   396,66 ;     
08.06.1992 07:01:00   ;   396,23 ;     
26.07.1993 07:01:00   ;   396,60 ;     
13.06.1994 07:01:00   ;   396,56 ;     
12.06.1995 07:01:00   ;   396,98 ;     
15.07.1996 07:01:00   ;   396,16 ;     
28.07.1997 07:01:00   ;   396,73 ;     
16.11.1998 07:01:00   ;   396,09 ;     
24.05.1999 07:01:00   ;   397,69 ;     
19.06.2000 07:01:00   ;   396,71 ;     
25.06.2001 07:01:00   ;   396,95 ;     
19.08.2002 07:01:00   ;   396,46 ;     
06.01.2003 07:01:00   ;   396,10 ;     
26.07.2004 07:01:00   ;   396,29 ;     
24.08.2005 07:01:00   ;   396,22 ;     
05.06.2006 09:40:00   ;   396,20 ;     
09.07.2007 07:01:00   ;   396,21 ;     
21.07.2008 07:01:00   ;   396,46 ;     
29.06.2009 07:01:00   ;   396,41 ;     
21.06.2010 07:01:00   ;   396,67 ;     
25.07.2011 07:01:00   ;   396,36 ;     
02.07.2012 07:01:00   ;   396,64 ;     
03.06.2013 07:01:00   ;   396,74 ;     
28.07.2014 10:56:00   ;   396,63 ;     
29.06.2015 09:34:00   ;   396,47 ;     
05.08.2016 15:00:00   ;   397,01 ;     
03.09.2017 09:00:00   ;   396,54 ;     
14.06.2018 08:00:00   ;   396,34 ;     
13.06.2019 13:00:00   ;   396,74 ;     
01.09.2020 12:00:00   ;   396,48 ;     
16.07.2021 04:00:00   ;   396,77 ;     
