Messstelle:                ;Neubau, Bl 19.9
HZB-Nummer:                ;375204
HD-Nummer:                 ;W19.9
DBMS-Nummer:               ;4002943
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.08.1978
 Geländehöhe:              ;287,36
 Messpunkthöhe:            ;288,58
 Sohllage:                 ;282,58
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 09 33                 ;48 12 12
  01.01.2003               ;14 09 36                 ;48 12 14
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
13.12.1979 07:01:00   ;   284,12 ;     
26.04.1980 07:01:00   ;   284,17 ;     
18.12.1981 07:01:00   ;   284,40 ;     
06.02.1982 07:01:00   ;   284,65 ;     
13.02.1983 07:01:00   ;   284,12 ;     
03.03.1984 07:01:00   ;   284,08 ;     
28.08.1985 07:01:00   ;   284,26 ;     
25.01.1986 07:01:00   ;   284,46 ;     
31.12.1987 23:59:55   ;   284,20 ;     
01.04.1988 07:01:00   ;   284,55 ;     
01.01.1989 00:00:05   ;   284,25 ;     
25.02.1990 07:01:00   ;   284,18 ;     
09.08.1991 07:01:00   ;   284,27 ;     
10.12.1992 07:01:00   ;   284,24 ;     
04.03.1993 07:01:00   ;   284,20 ;     
28.04.1994 07:01:00   ;   284,51 ;     
13.04.1995 07:01:00   ;   284,19 ;     
22.05.1996 07:01:00   ;   284,38 ;     
31.07.1997 07:01:00   ;   284,21 ;     
12.11.1998 07:01:00   ;   284,18 ;     
06.03.1999 07:01:00   ;   284,34 ;     
11.02.2000 07:01:00   ;   284,25 ;     
29.03.2001 07:01:00   ;   284,22 ;     
16.08.2002 07:01:00   ;   284,48 ;     
17.01.2003 07:01:00   ;   284,40 ;     
27.03.2004 07:01:00   ;   284,16 ;     
10.07.2005 07:01:00   ;   284,19 ;     
06.04.2006 07:01:00   ;   284,73 ;     
14.11.2007 07:01:00   ;   284,27 ;     
24.04.2008 07:01:00   ;   284,14 ;     
08.07.2009 07:01:00   ;   284,48 ;     
07.06.2010 07:01:00   ;   284,20 ;     
27.07.2011 07:01:00   ;   284,13 ;     
27.01.2012 07:01:00   ;   284,27 ;     
19.06.2013 07:01:00   ;   284,37 ;     
22.10.2014 07:01:00   ;   284,11 ;     
28.01.2015 07:01:00   ;   284,14 ;     
01.06.2016 07:01:00   ;   284,18 ;     
10.05.2017 07:01:00   ;   284,20 ;     
23.01.2018 07:01:00   ;   284,29 ;     
16.01.2019 07:01:00   ;   284,13 ;     
21.07.2020 07:01:00   ;   284,10 ;     
17.08.2021 07:01:00   ;   284,21 ;     
