Messstelle:                ;Lichtenegg, Bl 32.1
HZB-Nummer:                ;376574
HD-Nummer:                 ;W32.1
DBMS-Nummer:               ;4002986
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.01.1993
 Geländehöhe:              ;317,12
 Messpunkthöhe:            ;318,02
 Sohllage:                 ;304,88
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 00 26                 ;48 08 50
  01.01.2003               ;14 00 30                 ;48 08 51
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
29.07.1993 07:01:00   ;   310,79 ;     
19.05.1994 07:01:00   ;   310,93 ;     
31.08.1995 07:01:00   ;   310,90 ;     
30.05.1996 07:01:00   ;   311,11 ;     
31.07.1997 07:01:00   ;   310,93 ;     
17.12.1998 07:01:00   ;   310,49 ;     
04.03.1999 07:01:00   ;   311,07 ;     
18.03.2000 03:27:20   ;   310,94 ;     
21.06.2001 08:52:20   ;   310,90 ;     
13.08.2002 19:30:40   ;   312,23 ;     
03.01.2003 06:15:00   ;   311,04 ;     
04.06.2004 08:15:00   ;   310,97 ;     
13.07.2005 15:30:00   ;   311,61 ;     
04.04.2006 16:30:00   ;   311,66 ;     
12.09.2007 16:00:00   ;   311,42 ;     
17.08.2008 11:45:00   ;   310,34 ;     
24.06.2009 21:30:00   ;   311,90 ;     
04.06.2010 13:45:00   ;   311,35 ;     
15.01.2011 06:15:00   ;   310,65 ;     
14.06.2012 01:00:00   ;   310,86 ;     
03.06.2013 08:30:00   ;   312,18 ;     
24.10.2014 07:15:00   ;   311,17 ;     
24.05.2015 11:15:00   ;   310,70 ;     
15.07.2016 03:30:00   ;   311,05 ;     
09.05.2017 18:00:00   ;   310,81 ;     
05.01.2018 19:30:00   ;   310,59 ;     
30.05.2019 08:30:00   ;   310,99 ;     
05.08.2020 00:00:00   ;   310,85 ;     
01.09.2021 13:30:00   ;   310,50 ;     
