Messstelle:                ;Unterzögersdorf, Bl 1952.011
HZB-Nummer:                ;313502
HD-Nummer:                 ;
DBMS-Nummer:               ;3002519
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.10.1978
 Geländehöhe:              ;171,46
 Messpunkthöhe:            ;172,49
 Sohllage:                 ;166,90
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 10 45                 ;48 22 55
  01.01.1970               ;16 10 44                 ;48 22 57
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.06.1970 07:01:00   ;   169,40 ;     
11.04.1971 07:01:00   ;   169,10 ;     
23.07.1972 07:01:00   ;   168,91 ;     
20.05.1973 07:01:00   ;   168,69 ;     
22.12.1974 07:01:00   ;   168,65 ;     
13.07.1975 07:01:00   ;   170,21 ;     
18.01.1976 07:01:00   ;   168,75 ;     
01.05.1977 07:01:00   ;   168,91 ;     
01.01.1978 00:00:05   ;   168,41 ;     
11.07.1979 07:01:00   ;   168,73 ;     
18.05.1980 07:01:00   ;   168,96 ;     
26.07.1981 07:01:00   ;   170,10 ;     
07.02.1982 07:01:00   ;   169,12 ;     
29.05.1983 07:01:00   ;   168,61 ;     
23.12.1984 07:01:00   ;   168,56 ;     
31.12.1985 23:59:55   ;   169,13 ;     
06.04.1986 07:01:00   ;   169,40 ;     
28.06.1987 07:01:00   ;   169,63 ;     
17.04.1988 07:01:00   ;   169,76 ;     
21.05.1989 07:01:00   ;   169,07 ;     
29.07.1990 07:01:00   ;   169,01 ;     
11.08.1991 07:01:00   ;   169,69 ;     
19.04.1992 07:01:00   ;   169,14 ;     
11.04.1993 07:01:00   ;   168,86 ;     
05.06.1994 07:01:00   ;   168,95 ;     
09.07.1995 07:01:00   ;   169,10 ;     
01.06.1996 07:01:00   ;   169,58 ;     
02.08.1997 07:01:00   ;   169,61 ;     
21.03.1998 07:01:00   ;   169,25 ;     
05.06.1999 07:01:00   ;   169,43 ;     
14.04.2000 07:01:00   ;   169,25 ;     
21.04.2001 07:01:00   ;   168,95 ;     
17.08.2002 07:01:00   ;   170,61 ;     
09.02.2003 07:01:00   ;   169,96 ;     
10.04.2004 07:01:00   ;   169,33 ;     
03.09.2005 07:01:00   ;   169,20 ;     
06.05.2006 07:01:00   ;   169,87 ;     
22.12.2007 07:01:00   ;   169,28 ;     
26.04.2008 07:01:00   ;   169,31 ;     
11.07.2009 07:01:00   ;   170,36 ;     
20.06.2010 07:01:00   ;   170,41 ;     
09.04.2011 07:01:00   ;   169,71 ;     
04.02.2012 07:01:00   ;   169,17 ;     
07.06.2013 12:30:00   ;   170,67 ;     
13.12.2014 07:01:00   ;   169,39 ;     
10.01.2015 07:01:00   ;   169,38 ;     
16.07.2016 07:01:00   ;   169,28 ;     
13.05.2017 07:01:00   ;   169,21 ;     
03.03.2018 07:01:00   ;   169,09 ;     
01.06.2019 07:01:00   ;   169,33 ;     
31.12.2020 23:59:55   ;   169,19 ;     
16.05.2021 07:01:00   ;   169,34 ;     
