Messstelle:                ;Vandans, Bl 12.03.04 A
HZB-Nummer:                ;347096
HD-Nummer:                 ;12.03.04 A
DBMS-Nummer:               ;8002280
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Kristallin [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.03.2020
 Geländehöhe:              ;634,55
 Messpunkthöhe:            ;635,47
 Sohllage:                 ;622,55
 T-Messtiefe u.GOK:        ;8,42
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1997               ;09 52 19                 ;47 05 39
  01.01.1996               ;09 52 19                 ;47 05 39
  10.07.1970               ;09 52 19                 ;47 05 39
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.07.1996 07:01:00   ;   630,95 ;     
07.07.1997 07:01:00   ;   631,37 ;     
30.11.1998 07:01:00   ;   630,84 ;     
24.05.1999 07:01:00   ;   632,85 ;     
07.08.2000 07:01:00   ;   632,30 ;     
18.06.2001 07:01:00   ;   631,81 ;     
12.08.2002 07:01:00   ;   632,01 ;     
13.10.2003 07:01:00   ;   631,17 ;     
01.03.2004 07:01:00   ;   631,29 ;     
23.08.2005 07:01:00   ;   632,57 ;     
29.05.2006 13:10:00   ;   631,47 ;     
16.07.2007 07:01:00   ;   631,38 ;     
14.07.2008 07:01:00   ;   631,67 ;     
29.06.2009 07:01:00   ;   631,49 ;     
16.08.2010 07:01:00   ;   631,90 ;     
17.10.2011 07:01:00   ;   631,32 ;     
12.06.2012 15:00:00   ;   631,82 ;     
17.06.2013 23:00:00   ;   631,71 ;     
14.08.2014 00:00:00   ;   631,36 ;     
24.06.2015 16:00:00   ;   631,34 ;     
17.06.2016 10:00:00   ;   631,65 ;     
15.11.2017 20:00:00   ;   631,21 ;     
23.01.2018 15:00:00   ;   631,36 ;     
05.06.2019 20:00:00   ;   631,52 ;     
04.06.2020 12:00:00   ;   631,21 ;     
08.06.2021 22:00:00   ;   631,20 ;     
