Messstelle:                ;Amras, Bl 10 (Pradl, Bl 10)
HZB-Nummer:                ;334755
HD-Nummer:                 ;
DBMS-Nummer:               ;7002153
Fremdnummer:               ;GW70101444
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.2018
 Geländehöhe:              ;568,58
 Messpunkthöhe:            ;569,43
 Sohllage:                 ;551,78
 T-Messtiefe u.GOK:        ;10,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1990               ;11 25 50                 ;47 16 13
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
11.07.1990 07:01:00   ;   564,85 ;     
15.07.1991 07:01:00   ;   564,87 ;     
25.06.1992 07:01:00   ;   564,33 ;     
21.07.1993 07:01:00   ;   564,39 ;     
07.07.1994 07:01:00   ;   564,54 ;     
14.07.1995 07:01:00   ;   564,87 ;     
11.07.1996 07:01:00   ;   564,15 ;     
30.06.1997 12:00:00   ;   564,78 ;     
04.07.1998 12:00:00   ;   564,52 ;     
04.06.1999 12:00:00   ;   565,32 ;     
08.08.2000 12:00:00   ;   564,77 ;     
01.07.2001 12:00:00   ;   565,00 ;     
25.06.2002 12:00:00   ;   564,75 ;     
16.06.2003 12:00:00   ;   564,66 ;     
10.07.2004 12:00:00   ;   564,74 ;     
25.08.2005 12:00:00   ;   564,45 ;     
30.06.2006 12:00:00   ;   564,54 ;     
11.07.2007 11:00:00   ;   564,24 ;     
15.07.2008 12:00:00   ;   564,81 ;     
20.06.2009 12:00:00   ;   564,73 ;     
15.06.2010 12:00:00   ;   564,55 ;     
01.07.2011 00:00:00   ;   564,07 ;     
22.06.2012 19:00:00   ;   564,80 ;     
24.06.2013 12:00:00   ;   564,71 ;     
15.08.2014 02:00:00   ;   564,53 ;     
10.06.2015 00:00:00   ;   564,70 ;     
14.07.2016 07:00:00   ;   564,86 ;     
12.08.2017 07:00:00   ;   564,35 ;     
13.06.2018 23:00:00   ;   564,50 ;     
29.06.2019 09:00:00   ;   565,23 ;     
03.07.2020 10:00:00   ;   564,41 ;     
23.06.2021 00:00:00   ;   564,65 ;     
