Messstelle:                ;Wörgl-Kufstein, Bl 12
HZB-Nummer:                ;334771
HD-Nummer:                 ;
DBMS-Nummer:               ;7002155
Fremdnummer:               ;GW70531023
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Österreichische Bundesbahnen
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.11.2017
 Geländehöhe:              ;504,48
 Messpunkthöhe:            ;505,48
 Sohllage:                 ;469,48
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1991               ;12 03 48                 ;47 29 32
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
22.07.1991 07:01:00   ;   499,11 ;     
18.05.1992 07:01:00   ;   499,15 ;     
02.08.1993 07:01:00   ;   499,29 ;     
13.06.1994 07:01:00   ;   498,94 ;     
25.09.1995 07:01:00   ;   499,27 ;     
16.12.1996 07:01:00   ;   498,89 ;     
21.07.1997 07:01:00   ;   499,02 ;     
29.06.1998 07:01:00   ;   498,75 ;     
24.05.1999 07:01:00   ;   499,72 ;     
03.04.2000 14:30:00   ;   499,35 ;     
02.07.2001 07:01:00   ;   499,07 ;     
01.04.2002 14:30:00   ;   498,81 ;     
06.01.2003 14:30:00   ;   498,60 ;     
12.07.2004 13:30:00   ;   498,70 ;     
29.08.2005 13:30:00   ;   500,10 ;     
03.07.2006 12:00:00   ;   499,62 ;     
10.09.2007 13:30:00   ;   499,60 ;     
02.06.2008 14:30:00   ;   499,25 ;     
20.07.2009 13:30:00   ;   499,30 ;     
06.09.2010 13:00:00   ;   499,32 ;     
17.10.2011 13:00:00   ;   498,78 ;     
03.09.2012 13:00:00   ;   499,43 ;     
03.06.2013 13:00:00   ;   499,45 ;     
18.08.2014 13:00:00   ;   499,27 ;     
08.06.2015 13:00:00   ;   499,01 ;     
08.08.2016 13:00:00   ;   498,98 ;     
04.09.2017 13:00:00   ;   498,86 ;     
30.04.2018 13:00:00   ;   498,67 ;     
13.06.2019 11:00:00   ;   499,11 ;     
05.08.2020 15:00:00   ;   498,69 ;     
09.08.2021 11:00:00   ;   498,93 ;     
