Messstelle:                ;Pfunds-Birkach, Bl 1 (016)
HZB-Nummer:                ;342394
HD-Nummer:                 ;
DBMS-Nummer:               ;7004288
Fremdnummer:               ;GW70617029
PorenGW-Gebiet:            ;024 Oberes Gericht
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.09.1982
 Geländehöhe:              ;946,86
 Messpunkthöhe:            ;947,66
 Sohllage:                 ;939,16
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1982               ;10 33 39                 ;46 58 55
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2006 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2016 HG28 gerätetechnisch bedingte Datenausfälle
  2017 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
09.06.1983 10:45:00   ;   943,66 ;     
18.06.1984 07:46:00   ;   943,11 ;     
06.08.1985 14:45:00   ;   943,73 ;     
22.05.1986 06:45:00   ;   943,42 ;     
07.07.1988 02:00:00   ;   942,74 ;     
13.07.1989 12:45:00   ;   942,58 ;     
02.07.1990 00:45:00   ;   942,75 ;     
17.06.1991 21:45:00   ;   943,21 ;     
03.06.1992 15:00:00   ;   942,83 ;     
15.10.1993 14:30:00   ;   942,50 ;     
26.06.1994 00:00:00   ;   942,51 ;     
04.07.1995 12:00:00   ;   942,50 ;     
08.06.1996 00:15:00   ;   941,90 ;     
30.06.1997 08:45:00   ;   943,18 ;     
06.06.1998 03:15:00   ;   942,85 ;     
09.07.2004 11:00:00   ;   942,98 ;     
31.05.2005 02:00:00   ;   942,46 ;     
29.06.2006 14:45:00   ;   942,59 ;     
16.06.2007 11:45:00   ;   942,03 ;     
30.05.2008 14:45:00   ;   943,04 ;     
16.06.2009 21:00:00   ;   942,91 ;     
11.06.2010 22:00:00   ;   943,21 ;     
27.05.2011 20:30:00   ;   942,36 ;     
22.06.2012 06:00:00   ;   942,84 ;     
21.06.2013 11:30:00   ;   942,94 ;     
13.08.2014 22:00:00   ;   943,03 ;     
08.06.2015 20:00:00   ;   943,14 ;     
17.06.2016 10:00:00   ;   943,20 ;     
06.06.2017 21:00:00   ;   942,56 ;     
30.05.2018 22:00:00   ;   942,78 ;     
12.06.2019 18:30:00   ;   943,75 ;     
30.08.2020 15:30:00   ;   942,61 ;     
21.06.2021 19:30:00   ;   942,65 ;     
