Messstelle:                ;Nofels, Bl 01.32.19 A
HZB-Nummer:                ;322313
HD-Nummer:                 ;01.32.19 A
DBMS-Nummer:               ;8002118
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.11.2016
 Geländehöhe:              ;432,68
 Messpunkthöhe:            ;434,18
 Sohllage:                 ;424,68
 T-Messtiefe u.GOK:        ;6,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  05.04.2007               ;09 33 30                 ;47 15 41
  01.01.1980               ;09 33 30                 ;47 15 41
  01.04.1969               ;09 33 29                 ;47 15 42
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
21.07.1980 07:01:00   ;   430,65 ;     
21.12.1981 07:01:00   ;   430,95 ;     
11.01.1982 07:01:00   ;   430,88 ;     
19.09.1983 07:01:00   ;   429,84 ;     
08.10.1984 07:01:00   ;   430,34 ;     
02.09.1985 07:01:00   ;   430,07 ;     
09.06.1986 07:01:00   ;   430,14 ;     
20.07.1987 07:01:00   ;   431,05 ;     
28.03.1988 07:01:00   ;   429,85 ;     
01.01.1989 00:00:05   ;   428,94 ;     
23.07.1990 07:01:00   ;   428,96 ;     
27.07.1991 07:01:00   ;   429,86 ;     
13.12.1992 07:01:00   ;   429,06 ;     
13.10.1993 07:01:00   ;   429,88 ;     
10.07.1994 07:01:00   ;   429,14 ;     
25.06.1995 07:01:00   ;   429,91 ;     
01.01.1996 07:01:00   ;   428,91 ;     
06.08.1997 07:01:00   ;   429,29 ;     
12.11.1998 07:01:00   ;   428,73 ;     
16.07.1999 07:01:00   ;   431,09 ;     
11.08.2000 07:01:00   ;   430,67 ;     
01.07.2001 07:01:00   ;   429,83 ;     
22.11.2002 07:01:00   ;   430,18 ;     
05.01.2003 07:01:00   ;   429,86 ;     
10.07.2004 07:01:00   ;   429,27 ;     
01.09.2005 03:00:00   ;   429,41 ;     
06.06.2006 23:00:00   ;   429,59 ;     
13.09.2007 11:00:00   ;   429,21 ;     
23.07.2008 23:00:00   ;   429,03 ;     
25.07.2009 05:00:00   ;   429,40 ;     
02.09.2010 19:00:00   ;   429,98 ;     
22.01.2011 05:00:00   ;   428,78 ;     
28.12.2012 09:00:00   ;   429,35 ;     
11.06.2013 14:00:00   ;   429,92 ;     
28.10.2014 09:00:00   ;   429,06 ;     
23.06.2015 14:00:00   ;   429,41 ;     
21.06.2016 11:00:00   ;   430,24 ;     
10.09.2017 16:00:00   ;   430,14 ;     
26.01.2018 00:00:00   ;   430,31 ;     
12.09.2019 16:00:00   ;   429,74 ;     
05.09.2020 12:00:00   ;   429,86 ;     
08.02.2021 05:00:00   ;   430,08 ;     
