Messstelle:                ;Petronell, Bl 1889.2
HZB-Nummer:                ;331132
HD-Nummer:                 ;3HD30892
DBMS-Nummer:               ;10001062
Fremdnummer:               ;1889.002
PorenGW-Gebiet:            ;264 Fischamend bis Hainburger Pforte
Grundwasserkörper:         ;Gruppe Südl. Wiener Becken-Ostrand [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.09.2013
 Geländehöhe:              ;143,88
 Messpunkthöhe:            ;145,77
 Sohllage:                 ;134,67
 T-Messtiefe u.GOK:        ;10,80
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 52 30                 ;48 07 28
  01.01.2010               ;16 52 28                 ;48 07 29
  01.01.2007               ;16 52 28                 ;48 07 29
  01.01.1983               ;16 52 29                 ;48 07 29
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.06.1983 07:01:00   ;   141,95 ;     
18.09.1984 07:01:00   ;   141,63 ;     
09.08.1985 07:01:00   ;   145,05 ;     
31.05.1986 07:01:00   ;   142,20 ;     
22.12.1987 07:01:00   ;   143,42 ;     
27.03.1988 07:01:00   ;   144,26 ;     
04.07.1989 07:01:00   ;   141,57 ;     
12.07.1990 07:01:00   ;   143,28 ;     
05.08.1991 07:01:00   ;   145,98 ;     
24.11.1992 07:01:00   ;   143,60 ;     
22.07.1993 07:01:00   ;   143,17 ;     
19.04.1994 07:01:00   ;   143,60 ;     
03.09.1995 07:01:00   ;   143,61 ;     
23.10.1996 07:01:00   ;   144,22 ;     
09.07.1997 12:00:00   ;   144,94 ;     
12.11.1998 12:00:00   ;   143,28 ;     
27.05.1999 12:00:00   ;   143,53 ;     
11.03.2000 09:15:10   ;   142,53 ;     
20.06.2001 18:15:00   ;   143,06 ;     
15.08.2002 20:15:00   ;   145,64 ;     
05.01.2003 20:30:00   ;   142,07 ;     
05.06.2004 03:00:00   ;   142,10 ;     
13.07.2005 14:00:00   ;   144,09 ;     
08.08.2006 22:00:00   ;   144,73 ;     
08.09.2007 10:52:30   ;   145,04 ;     
24.07.2008 21:06:45   ;   142,35 ;     
25.06.2009 15:00:00   ;   145,34 ;     
05.06.2010 04:00:00   ;   144,84 ;     
15.01.2011 20:00:00   ;   144,60 ;     
14.06.2012 05:00:00   ;   142,94 ;     
04.06.2013 07:00:00   ;   145,70 ;     
24.10.2014 18:00:00   ;   143,35 ;     
24.05.2015 18:00:00   ;   142,80 ;     
15.07.2016 15:00:00   ;   143,19 ;     
04.09.2017 10:00:00   ;   142,25 ;     
06.01.2018 03:00:00   ;   142,36 ;     
30.05.2019 17:00:00   ;   143,02 ;     
05.08.2020 19:00:00   ;   143,23 ;     
19.07.2021 20:00:00   ;   143,93 ;     
01.01.2022 00:00:05   ;   141,07 ;     
