Messstelle:                ;Dietach, Bl 26.14
HZB-Nummer:                ;375980
HD-Nummer:                 ;W26.14
DBMS-Nummer:               ;4002846
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.09.2003
 Geländehöhe:              ;302,95
 Messpunkthöhe:            ;303,58
 Sohllage:                 ;295,45
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 05 09                 ;48 09 52
  01.01.2003               ;14 05 11                 ;48 09 53
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
08.08.1991 07:01:00   ;   298,57 ;     
27.03.1992 07:01:00   ;   298,57 ;     
29.07.1993 07:01:00   ;   298,62 ;     
14.04.1994 07:01:00   ;   299,65 ;     
28.12.1995 07:01:00   ;   298,57 ;     
17.05.1996 07:01:00   ;   299,14 ;     
18.12.1997 07:01:00   ;   298,49 ;     
29.01.1998 07:01:00   ;   298,64 ;     
24.02.1999 07:01:00   ;   298,89 ;     
06.04.2000 07:01:00   ;   298,49 ;     
29.03.2001 07:01:00   ;   298,51 ;     
08.08.2002 07:01:00   ;   299,21 ;     
07.01.2003 07:01:00   ;   298,69 ;     
26.07.2004 07:01:00   ;   298,66 ;     
14.07.2005 07:01:00   ;   298,68 ;     
30.03.2006 07:01:00   ;   299,32 ;     
08.03.2007 07:01:00   ;   298,49 ;     
19.03.2008 07:01:00   ;   298,41 ;     
25.06.2009 07:01:00   ;   298,96 ;     
10.06.2010 07:01:00   ;   298,47 ;     
12.01.2011 07:01:00   ;   298,44 ;     
09.08.2012 07:01:00   ;   298,59 ;     
06.06.2013 07:01:00   ;   299,21 ;     
05.06.2014 07:01:00   ;   298,44 ;     
14.05.2015 07:01:00   ;   298,56 ;     
26.07.2016 07:01:00   ;   298,51 ;     
10.05.2017 07:01:00   ;   298,63 ;     
08.01.2018 07:01:00   ;   298,60 ;     
31.05.2019 07:01:00   ;   298,49 ;     
07.08.2020 07:01:00   ;   298,36 ;     
06.08.2021 07:01:00   ;   298,62 ;     
