Messstelle:                ;Moosbrunn, Bl S2
HZB-Nummer:                ;315960
HD-Nummer:                 ;
DBMS-Nummer:               ;11002049
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1987
 Geländehöhe:              ;184,31
 Messpunkthöhe:            ;184,96
 Sohllage:                 ;178,19
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  30.07.1973               ;16 26 26                 ;48 00 40
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG05 durch Entnahme zeitweise beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.01.1974 07:01:00   ;   183,57 ;     
14.07.1975 07:01:00   ;   183,19 ;     
01.03.1976 07:01:00   ;   183,64 ;     
14.02.1977 07:01:00   ;   183,88 ;     
25.05.1978 07:01:00   ;   183,10 ;     
09.04.1979 07:01:00   ;   183,67 ;     
28.04.1980 07:01:00   ;   183,75 ;     
05.01.1981 07:01:00   ;   183,54 ;     
04.03.1982 07:01:00   ;   183,73 ;     
03.03.1983 07:01:00   ;   183,84 ;     
17.05.1984 07:01:00   ;   183,20 ;     
25.03.1985 07:01:00   ;   183,90 ;     
13.03.1986 07:01:00   ;   184,06 ;     
02.03.1987 07:01:00   ;   184,02 ;     
24.03.1988 07:01:00   ;   183,66 ;     
16.01.1989 07:01:00   ;   183,16 ;     
03.05.1990 07:01:00   ;   183,30 ;     
30.12.1991 07:01:00   ;   183,84 ;     
30.03.1992 07:01:00   ;   183,94 ;     
31.12.1993 23:59:55   ;   183,81 ;     
18.04.1994 07:01:00   ;   184,04 ;     
28.12.1995 07:01:00   ;   183,86 ;     
23.05.1996 07:01:00   ;   184,31 ;     
24.03.1997 07:01:00   ;   184,15 ;     
01.01.1998 00:00:05   ;   183,89 ;     
08.03.1999 07:01:00   ;   184,03 ;     
03.04.2000 07:01:00   ;   184,14 ;     
26.03.2001 07:01:00   ;   183,60 ;     
30.12.2002 07:01:00   ;   184,25 ;     
27.01.2003 07:01:00   ;   184,23 ;     
29.03.2004 07:01:00   ;   183,95 ;     
14.03.2005 07:01:00   ;   183,72 ;     
01.05.2006 07:01:00   ;   184,16 ;     
10.12.2007 07:01:00   ;   184,20 ;     
14.01.2008 07:01:00   ;   184,16 ;     
30.03.2009 07:01:00   ;   184,25 ;     
27.09.2010 07:01:00   ;   184,23 ;     
17.01.2011 07:01:00   ;   184,21 ;     
31.12.2012 23:59:55   ;   183,32 ;     
01.04.2013 07:01:00   ;   184,24 ;     
15.09.2014 07:01:00   ;   184,27 ;     
05.01.2015 07:01:00   ;   184,21 ;     
18.04.2016 07:01:00   ;   183,51 ;     
20.03.2017 07:01:00   ;   183,69 ;     
31.12.2018 23:59:55   ;   183,77 ;     
14.01.2019 07:01:00   ;   183,87 ;     
31.12.2020 23:59:55   ;   183,38 ;     
01.02.2021 07:01:00   ;   183,79 ;     
