Messstelle:                ;Petronell, Bl 1889.7
HZB-Nummer:                ;331066
HD-Nummer:                 ;3HD30897
DBMS-Nummer:               ;10001054
Fremdnummer:               ;1889.007
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.01.2014
 Geländehöhe:              ;143,95
 Messpunkthöhe:            ;145,98
 Sohllage:                 ;137,18
 T-Messtiefe u.GOK:        ;8,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 52 34                 ;48 08 05
  01.01.2010               ;16 52 33                 ;48 08 04
  01.01.2007               ;16 52 33                 ;48 08 04
  01.01.1983               ;16 52 38                 ;48 08 04
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.06.1983 07:01:00   ;   140,99 ;     
26.09.1984 07:01:00   ;   140,69 ;     
09.08.1985 07:01:00   ;   145,08 ;     
20.01.1986 07:01:00   ;   141,08 ;     
22.12.1987 07:01:00   ;   142,18 ;     
28.03.1988 07:01:00   ;   143,66 ;     
14.07.1989 07:01:00   ;   140,70 ;     
12.07.1990 07:01:00   ;   141,91 ;     
05.08.1991 07:01:00   ;   145,66 ;     
25.11.1992 07:01:00   ;   142,10 ;     
22.07.1993 07:01:00   ;   141,92 ;     
19.04.1994 07:01:00   ;   142,38 ;     
03.09.1995 07:01:00   ;   142,36 ;     
23.10.1996 07:01:00   ;   142,80 ;     
09.07.1997 12:00:00   ;   144,68 ;     
12.11.1998 12:00:00   ;   141,96 ;     
28.05.1999 12:00:00   ;   142,52 ;     
01.04.2000 14:45:05   ;   141,40 ;     
20.06.2001 22:59:40   ;   141,80 ;     
14.08.2002 11:00:00   ;   145,92 ;     
06.03.2003 09:15:00   ;   140,48 ;     
05.06.2004 14:00:00   ;   140,95 ;     
13.07.2005 23:00:00   ;   143,04 ;     
09.08.2006 02:00:00   ;   144,32 ;     
08.09.2007 17:29:30   ;   144,37 ;     
25.07.2008 05:40:35   ;   141,09 ;     
25.06.2009 16:00:00   ;   145,14 ;     
05.06.2010 05:00:00   ;   144,58 ;     
16.01.2011 00:00:00   ;   144,03 ;     
14.06.2012 10:00:00   ;   141,39 ;     
04.06.2013 22:00:00   ;   145,86 ;     
24.10.2014 23:00:00   ;   141,78 ;     
25.05.2015 01:00:00   ;   141,48 ;     
15.07.2016 20:00:00   ;   141,81 ;     
11.05.2017 01:00:00   ;   140,67 ;     
06.01.2018 17:00:00   ;   140,97 ;     
31.05.2019 00:00:00   ;   141,83 ;     
06.08.2020 02:00:00   ;   141,66 ;     
20.07.2021 03:00:00   ;   142,51 ;     
