Messstelle:                ;St.Michael i. Bgld., Bl 8
HZB-Nummer:                ;335984
HD-Nummer:                 ;
DBMS-Nummer:               ;1002302
PorenGW-Gebiet:            ;334 Stremtal
Grundwasserkörper:         ;Gruppe Hügelland Raab Ost [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1995
 Geländehöhe:              ;233,72
 Messpunkthöhe:            ;234,02
 Sohllage:                 ;228,82
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1995               ;16 16 22                 ;47 07 09
  31.12.1994               ;16 16 18                 ;47 07 07
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.06.1995 07:01:00   ;   232,23 ;     
21.04.1996 07:01:00   ;   232,41 ;     
10.08.1997 14:00:00   ;   231,57 ;     
08.11.1998 14:00:00   ;   232,06 ;     
23.05.1999 14:00:00   ;   232,07 ;     
23.01.2000 14:00:00   ;   231,05 ;     
08.04.2001 14:00:00   ;   231,47 ;     
09.12.2002 14:00:00   ;   231,01 ;     
19.01.2003 14:00:00   ;   231,17 ;     
18.07.2004 14:00:00   ;   230,82 ;     
21.08.2005 14:00:00   ;   231,51 ;     
08.01.2006 14:00:00   ;   231,97 ;     
04.11.2007 14:00:00   ;   231,10 ;     
20.07.2008 14:00:00   ;   231,17 ;     
05.07.2009 14:00:00   ;   231,91 ;     
28.02.2010 14:00:00   ;   232,01 ;     
08.05.2011 14:00:00   ;   231,55 ;     
11.11.2012 14:00:00   ;   231,17 ;     
24.02.2013 14:00:00   ;   233,05 ;     
18.05.2014 14:00:00   ;   232,37 ;     
24.05.2015 14:00:00   ;   232,22 ;     
06.03.2016 14:00:00   ;   231,94 ;     
05.03.2017 14:00:00   ;   230,55 ;     
25.03.2018 13:00:00   ;   231,94 ;     
29.12.2019 14:00:00   ;   231,06 ;     
18.10.2020 14:00:00   ;   231,99 ;     
10.01.2021 14:00:00   ;   231,67 ;     
