Messstelle:                ;Pulgarn, Br 2123.011
HZB-Nummer:                ;323089
HD-Nummer:                 ;Br2123.011
DBMS-Nummer:               ;4002410
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;13.02.1975
 Geländehöhe:              ;248,99
 Messpunkthöhe:            ;249,39
 Sohllage:                 ;244,09
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 24 20                 ;48 16 30
  01.01.2003               ;14 24 14                 ;48 16 39
  13.02.1975               ;14 24 14                 ;48 16 39
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.08.1980 07:01:00   ;   245,87 ;     
09.02.1981 07:01:00   ;   245,91 ;     
01.02.1982 07:01:00   ;   245,94 ;     
10.01.1983 07:01:00   ;   245,74 ;     
29.05.1984 07:01:00   ;   245,41 ;     
04.02.1985 07:01:00   ;   245,86 ;     
20.01.1986 07:01:00   ;   245,82 ;     
25.05.1987 07:01:00   ;   245,76 ;     
05.04.1988 07:01:00   ;   245,84 ;     
01.01.1989 00:00:05   ;   245,44 ;     
10.12.1990 07:01:00   ;   245,47 ;     
05.08.1991 07:01:00   ;   246,89 ;     
12.12.1992 07:01:00   ;   245,77 ;     
20.03.1993 07:01:00   ;   245,86 ;     
16.04.1994 07:01:00   ;   246,20 ;     
08.04.1995 07:01:00   ;   245,92 ;     
18.05.1996 07:01:00   ;   246,11 ;     
08.03.1997 07:01:00   ;   245,94 ;     
19.12.1998 07:01:00   ;   245,83 ;     
27.02.1999 07:01:00   ;   246,14 ;     
18.03.2000 07:01:00   ;   246,06 ;     
31.03.2001 07:01:00   ;   246,12 ;     
13.08.2002 07:01:00   ;   248,99 ;     
04.01.2003 07:01:00   ;   246,43 ;     
26.03.2004 07:01:00   ;   245,98 ;     
14.02.2005 07:01:00   ;   246,10 ;     
31.03.2006 07:01:00   ;   246,51 ;     
14.12.2007 07:01:00   ;   245,92 ;     
21.03.2008 07:01:00   ;   245,91 ;     
26.06.2009 07:01:00   ;   245,99 ;     
06.08.2010 07:01:00   ;   245,91 ;     
14.01.2011 07:01:00   ;   245,97 ;     
27.01.2012 07:01:00   ;   246,15 ;     
04.06.2013 03:00:00   ;   248,99 ;     
24.10.2014 07:01:00   ;   245,73 ;     
03.04.2015 07:01:00   ;   245,88 ;     
03.06.2016 07:01:00   ;   246,17 ;     
24.03.2017 07:01:00   ;   245,79 ;     
26.01.2018 07:01:00   ;   245,91 ;     
22.03.2019 07:01:00   ;   245,59 ;     
07.08.2020 07:01:00   ;   245,53 ;     
05.02.2021 07:01:00   ;   245,65 ;     
