Messstelle:                ;Stephanshart, Bl 2084.002
HZB-Nummer:                ;302778
HD-Nummer:                 ;
DBMS-Nummer:               ;3002235
PorenGW-Gebiet:            ;178 Südliches Machland
Grundwasserkörper:         ;Südl. Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.01.1985
 Geländehöhe:              ;230,39
 Messpunkthöhe:            ;231,34
 Sohllage:                 ;223,54
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;14 49 18                 ;48 10 29
  01.01.2009               ;14 49 18                 ;48 10 29
  02.01.1948               ;14 49 21                 ;48 10 29
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.07.1954 07:01:00   ;   230,39 ;     
05.03.1956 07:01:00   ;   231,51 ;     
29.07.1957 07:01:00   ;   229,21 ;     
30.06.1958 07:01:00   ;   230,84 ;     
15.08.1959 07:01:00   ;   232,11 ;     
22.08.1960 07:01:00   ;   226,65 ;     
18.12.1961 07:01:00   ;   227,35 ;     
04.06.1962 07:01:00   ;   227,04 ;     
01.07.1963 07:01:00   ;   226,35 ;     
23.11.1964 07:01:00   ;   227,14 ;     
21.06.1965 07:01:00   ;   230,91 ;     
25.07.1966 07:01:00   ;   230,39 ;     
20.05.1967 07:01:00   ;   226,36 ;     
24.08.1968 07:01:00   ;   226,55 ;     
14.06.1969 07:01:00   ;   226,20 ;     
12.08.1970 07:01:00   ;   230,39 ;     
26.06.1971 07:01:00   ;   226,17 ;     
05.08.1972 07:01:00   ;   226,37 ;     
12.05.1973 07:01:00   ;   226,48 ;     
14.12.1974 07:01:00   ;   228,73 ;     
05.07.1975 07:01:00   ;   230,91 ;     
24.01.1976 07:01:00   ;   226,16 ;     
01.08.1977 07:01:00   ;   230,39 ;     
22.07.1978 07:01:00   ;   226,34 ;     
19.06.1979 07:01:00   ;   230,39 ;     
28.07.1980 07:01:00   ;   228,02 ;     
21.07.1981 07:01:00   ;   230,39 ;     
01.02.1982 07:01:00   ;   227,76 ;     
25.04.1983 07:01:00   ;   226,57 ;     
12.06.1984 07:01:00   ;   226,09 ;     
08.08.1985 07:01:00   ;   230,39 ;     
27.01.1986 07:01:00   ;   226,65 ;     
27.06.1987 07:01:00   ;   227,40 ;     
02.04.1988 07:01:00   ;   229,09 ;     
01.01.1989 00:00:05   ;   226,62 ;     
13.07.1990 07:01:00   ;   228,15 ;     
03.08.1991 07:01:00   ;   230,39 ;     
27.11.1992 07:01:00   ;   228,69 ;     
30.07.1993 07:01:00   ;   226,76 ;     
22.04.1994 07:01:00   ;   228,07 ;     
08.09.1995 07:01:00   ;   227,94 ;     
25.10.1996 07:01:00   ;   228,77 ;     
11.07.1997 07:01:00   ;   228,98 ;     
20.11.1998 07:01:00   ;   227,02 ;     
28.05.1999 07:01:00   ;   229,80 ;     
07.04.2000 07:01:00   ;   227,08 ;     
22.06.2001 07:01:00   ;   227,13 ;     
23.03.2002 07:01:00   ;   230,39 ;     
03.01.2003 07:01:00   ;   227,25 ;     
25.06.2004 07:01:00   ;   226,46 ;     
26.08.2005 07:01:00   ;   229,73 ;     
31.03.2006 07:01:00   ;   230,39 ;     
07.09.2007 07:01:00   ;   230,34 ;     
02.05.2008 07:01:00   ;   226,54 ;     
03.07.2009 07:01:00   ;   228,78 ;     
04.06.2010 07:01:00   ;   230,39 ;     
14.01.2011 07:01:00   ;   229,84 ;     
14.06.2012 07:01:00   ;   226,78 ;     
04.06.2013 07:01:00   ;   230,39 ;     
31.10.2014 07:01:00   ;   227,25 ;     
29.05.2015 07:01:00   ;   226,79 ;     
22.07.2016 07:01:00   ;   227,34 ;     
24.03.2017 07:01:00   ;   226,76 ;     
26.01.2018 07:01:00   ;   227,24 ;     
14.06.2019 07:01:00   ;   227,11 ;     
07.08.2020 07:01:00   ;   229,10 ;     
23.07.2021 07:01:00   ;   229,22 ;     
