Messstelle:                ;Friesach, Bl 32092
HZB-Nummer:                ;329748
HD-Nummer:                 ;uw32092
DBMS-Nummer:               ;6002627
Fremdnummer:               ;STW 311
PorenGW-Gebiet:            ;378 Murdurchbruchstal
Grundwasserkörper:         ;Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Grazer Stadtwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.1985
 Geländehöhe:              ;392,38
 Messpunkthöhe:            ;393,08
 Sohllage:                 ;384,78
 T-Messtiefe u.GOK:        ;7,30
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 19 46                 ;47 10 23
  01.08.1985               ;15 19 47                 ;47 10 23
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.05.1986 07:01:00   ;   387,46 ;     
11.05.1987 07:01:00   ;   387,20 ;     
13.06.1988 07:01:00   ;   386,60 ;     
21.08.1989 07:01:00   ;   387,36 ;     
16.07.1990 07:01:00   ;   387,06 ;     
05.08.1991 07:01:00   ;   387,89 ;     
18.05.1992 07:01:00   ;   387,28 ;     
02.11.1993 07:01:00   ;   387,06 ;     
30.05.1994 07:01:00   ;   386,80 ;     
15.05.1995 07:01:00   ;   386,86 ;     
20.05.1996 07:01:00   ;   387,61 ;     
04.08.1997 12:00:00   ;   386,73 ;     
12.10.1998 12:00:00   ;   386,47 ;     
06.09.1999 07:01:00   ;   387,58 ;     
02.05.2000 07:01:00   ;   387,11 ;     
14.05.2001 07:01:00   ;   386,38 ;     
09.12.2002 07:01:00   ;   386,25 ;     
07.01.2003 07:01:00   ;   386,14 ;     
05.07.2004 07:01:00   ;   387,22 ;     
11.10.2005 07:01:00   ;   387,68 ;     
23.05.2006 07:01:00   ;   387,15 ;     
16.07.2007 07:01:00   ;   386,36 ;     
19.08.2008 07:01:00   ;   386,28 ;     
07.09.2009 07:01:00   ;   387,92 ;     
21.06.2010 07:01:00   ;   386,69 ;     
27.06.2011 07:01:00   ;   386,35 ;     
19.07.2012 11:03:00   ;   386,91 ;     
15.05.2013 09:05:00   ;   388,08 ;     
16.09.2014 06:00:00   ;   387,95 ;     
13.01.2015 18:00:00   ;   386,48 ;     
13.08.2016 04:00:00   ;   386,95 ;     
23.08.2017 00:00:00   ;   386,31 ;     
17.05.2018 16:00:00   ;   386,78 ;     
07.06.2019 16:00:00   ;   386,15 ;     
09.09.2020 18:00:00   ;   386,23 ;     
10.06.2021 03:00:00   ;   385,87 ;     
