Messstelle:                ;Ybbs, Bl 2057.016
HZB-Nummer:                ;302901
HD-Nummer:                 ;
DBMS-Nummer:               ;3002248
PorenGW-Gebiet:            ;185 Ybbstal
Grundwasserkörper:         ;Ybbstal / Ybbser Scheibe [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;29.10.1983
 Geländehöhe:              ;219,97
 Messpunkthöhe:            ;219,97
 Sohllage:                 ;212,07
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 05 25                 ;48 10 02
  01.01.2009               ;15 05 25                 ;48 10 02
  21.09.1955               ;15 05 27                 ;48 10 04
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.06.1956 07:01:00   ;   217,21 ;     
24.07.1957 07:01:00   ;   218,40 ;     
17.02.1958 07:01:00   ;   218,02 ;     
22.07.1959 07:01:00   ;   219,33 ;     
18.04.1960 07:01:00   ;   216,02 ;     
18.12.1961 07:01:00   ;   216,16 ;     
04.06.1962 07:01:00   ;   216,95 ;     
24.06.1963 07:01:00   ;   216,22 ;     
23.11.1964 07:01:00   ;   216,62 ;     
28.06.1965 07:01:00   ;   218,03 ;     
26.07.1966 07:01:00   ;   217,43 ;     
15.05.1967 07:01:00   ;   216,98 ;     
22.07.1968 07:01:00   ;   216,38 ;     
09.06.1969 07:01:00   ;   216,40 ;     
10.08.1970 07:01:00   ;   218,00 ;     
21.06.1971 07:01:00   ;   216,11 ;     
17.07.1972 07:01:00   ;   216,41 ;     
07.05.1973 07:01:00   ;   216,80 ;     
09.12.1974 07:01:00   ;   218,00 ;     
03.07.1975 07:01:00   ;   218,00 ;     
07.06.1976 07:01:00   ;   216,53 ;     
12.02.1977 07:01:00   ;   216,67 ;     
08.07.1978 07:01:00   ;   216,27 ;     
23.06.1979 07:01:00   ;   217,48 ;     
26.07.1980 07:01:00   ;   216,70 ;     
14.03.1981 07:01:00   ;   217,71 ;     
09.01.1982 07:01:00   ;   216,55 ;     
18.06.1983 07:01:00   ;   216,43 ;     
07.07.1984 07:01:00   ;   215,90 ;     
10.08.1985 07:01:00   ;   217,94 ;     
21.01.1986 07:01:00   ;   216,37 ;     
21.12.1987 07:01:00   ;   217,16 ;     
28.03.1988 07:01:00   ;   217,92 ;     
09.01.1989 07:01:00   ;   215,92 ;     
19.02.1990 07:01:00   ;   216,17 ;     
04.08.1991 07:01:00   ;   219,72 ;     
24.11.1992 07:01:00   ;   217,81 ;     
20.07.1993 07:01:00   ;   216,50 ;     
18.04.1994 07:01:00   ;   217,10 ;     
27.06.1995 07:01:00   ;   217,18 ;     
22.10.1996 07:01:00   ;   217,66 ;     
22.07.1997 07:01:00   ;   217,52 ;     
04.11.1998 07:01:00   ;   216,36 ;     
27.05.1999 07:01:00   ;   217,45 ;     
13.03.2000 07:01:00   ;   216,27 ;     
26.03.2001 07:01:00   ;   217,01 ;     
14.08.2002 07:01:00   ;   219,97 ;     
08.01.2003 07:01:00   ;   216,37 ;     
21.06.2004 07:01:00   ;   216,16 ;     
27.08.2005 07:01:00   ;   217,07 ;     
31.03.2006 07:01:00   ;   217,98 ;     
11.09.2007 07:01:00   ;   217,53 ;     
19.03.2008 07:01:00   ;   216,26 ;     
26.06.2009 07:01:00   ;   218,07 ;     
04.06.2010 07:01:00   ;   218,26 ;     
21.01.2011 07:01:00   ;   216,50 ;     
14.06.2012 07:01:00   ;   216,83 ;     
08.06.2013 07:01:00   ;   218,15 ;     
01.06.2014 07:01:00   ;   216,57 ;     
28.05.2015 07:01:00   ;   216,49 ;     
17.07.2016 07:01:00   ;   216,72 ;     
23.03.2017 07:01:00   ;   216,38 ;     
26.01.2018 07:01:00   ;   216,53 ;     
31.05.2019 07:01:00   ;   217,07 ;     
06.08.2020 07:01:00   ;   216,89 ;     
22.07.2021 07:01:00   ;   217,06 ;     
