Messstelle:                ;St.Anton i.M., Bl 09.26.01
HZB-Nummer:                ;347112
HD-Nummer:                 ;09.26.01
DBMS-Nummer:               ;8002284
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.05.2009
 Geländehöhe:              ;619,62
 Messpunkthöhe:            ;620,62
 Sohllage:                 ;613,00
 T-Messtiefe u.GOK:        ;5,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1996               ;09 51 49                 ;47 06 36
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.07.1996 07:01:00   ;   615,77 ;     
07.07.1997 07:01:00   ;   616,18 ;     
16.11.1998 07:01:00   ;   615,98 ;     
24.05.1999 07:01:00   ;   617,23 ;     
07.08.2000 07:01:00   ;   616,96 ;     
18.06.2001 07:01:00   ;   616,61 ;     
12.08.2002 07:01:00   ;   616,54 ;     
13.10.2003 07:01:00   ;   615,79 ;     
28.06.2004 07:01:00   ;   615,97 ;     
22.08.2005 07:01:00   ;   617,15 ;     
29.05.2006 12:40:00   ;   615,98 ;     
16.07.2007 07:01:00   ;   615,69 ;     
30.05.2008 20:00:00   ;   616,30 ;     
01.07.2009 15:00:00   ;   616,36 ;     
13.09.2010 14:00:00   ;   616,68 ;     
19.10.2011 21:00:00   ;   616,18 ;     
12.06.2012 15:00:00   ;   616,55 ;     
02.06.2013 11:00:00   ;   616,38 ;     
14.08.2014 00:00:00   ;   615,95 ;     
24.06.2015 16:00:00   ;   616,13 ;     
17.06.2016 10:00:00   ;   616,55 ;     
15.11.2017 20:00:00   ;   616,26 ;     
23.01.2018 15:00:00   ;   616,16 ;     
05.06.2019 20:00:00   ;   616,45 ;     
04.06.2020 12:00:00   ;   616,04 ;     
08.06.2021 22:00:00   ;   616,02 ;     
