Messstelle:                ;Distelberg, Bl 2 (Gp20)
HZB-Nummer:                ;334011
HD-Nummer:                 ;
DBMS-Nummer:               ;7002080
Fremdnummer:               ;GW70902016
PorenGW-Gebiet:            ;022 Zillertal
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1967
 Geländehöhe:              ;563,30
 Messpunkthöhe:            ;564,40
 Sohllage:                 ;556,50
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1967               ;11 54 01                 ;47 15 38
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2019 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.07.1967 07:01:00   ;   561,97 ;     
12.07.1988 07:01:00   ;   560,10 ;     
03.07.1989 07:01:00   ;   560,34 ;     
10.07.1990 07:01:00   ;   560,44 ;     
17.06.1991 07:01:00   ;   560,72 ;     
03.06.1992 07:01:00   ;   560,31 ;     
05.07.1993 07:01:00   ;   559,98 ;     
16.06.1994 07:01:00   ;   560,02 ;     
14.07.1995 07:01:00   ;   560,33 ;     
12.06.1996 07:01:00   ;   559,98 ;     
28.06.1997 12:00:00   ;   560,46 ;     
26.06.1998 12:00:00   ;   560,04 ;     
03.06.1999 12:00:00   ;   560,46 ;     
10.08.2001 19:00:00   ;   560,43 ;     
21.06.2002 16:00:00   ;   560,22 ;     
05.06.2003 20:00:00   ;   560,32 ;     
12.06.2004 23:00:00   ;   560,50 ;     
12.07.2005 01:00:00   ;   561,08 ;     
07.08.2006 13:00:00   ;   560,42 ;     
11.09.2007 15:00:00   ;   560,29 ;     
16.08.2008 12:00:00   ;   560,46 ;     
29.06.2009 23:00:00   ;   560,36 ;     
03.09.2010 20:00:00   ;   560,22 ;     
24.09.2011 22:00:00   ;   560,07 ;     
22.06.2012 09:00:00   ;   560,46 ;     
20.06.2013 20:00:00   ;   560,50 ;     
14.08.2014 08:00:00   ;   560,95 ;     
11.06.2015 23:00:00   ;   560,37 ;     
17.06.2016 10:00:00   ;   560,59 ;     
20.08.2017 01:00:00   ;   560,36 ;     
04.05.2018 23:00:00   ;   560,02 ;     
12.06.2019 15:00:00   ;   560,83 ;     
30.08.2020 14:00:00   ;   560,56 ;     
18.07.2021 11:00:00   ;   561,43 ;     
