Messstelle:                ;Bartholomäberg, Bl 11.25.02 A
HZB-Nummer:                ;347047
HD-Nummer:                 ;11.25.02 A
DBMS-Nummer:               ;8002295
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Kristallin [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.05.2009
 Geländehöhe:              ;642,92
 Messpunkthöhe:            ;643,82
 Sohllage:                 ;630,92
 T-Messtiefe u.GOK:        ;11,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1996               ;09 53 00                 ;47 05 21
  01.01.1987               ;09 53 00                 ;47 05 21
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
08.04.1996 07:01:00   ;   636,36 ;     
07.07.1997 07:01:00   ;   637,26 ;     
13.04.1998 07:01:00   ;   636,65 ;     
24.05.1999 07:01:00   ;   638,36 ;     
07.08.2000 07:01:00   ;   637,73 ;     
18.06.2001 07:01:00   ;   637,57 ;     
12.08.2002 07:01:00   ;   637,27 ;     
06.01.2003 07:01:00   ;   636,81 ;     
14.06.2004 07:01:00   ;   636,72 ;     
24.08.2005 07:01:00   ;   637,67 ;     
05.06.2006 08:20:00   ;   636,91 ;     
16.07.2007 07:01:00   ;   636,93 ;     
02.06.2008 07:01:00   ;   636,85 ;     
29.06.2009 07:01:00   ;   636,88 ;     
16.08.2010 07:01:00   ;   637,51 ;     
25.07.2011 07:01:00   ;   636,54 ;     
11.06.2012 07:01:00   ;   636,90 ;     
21.06.2013 00:00:00   ;   636,92 ;     
16.08.2014 12:00:00   ;   636,67 ;     
04.07.2015 14:00:00   ;   636,55 ;     
17.06.2016 18:00:00   ;   637,01 ;     
11.09.2017 13:00:00   ;   636,46 ;     
24.01.2018 00:00:00   ;   636,85 ;     
12.06.2019 16:00:00   ;   636,91 ;     
03.07.2020 22:00:00   ;   636,49 ;     
10.08.2021 11:00:00   ;   636,69 ;     
