Messstelle:                ;Schwechat, Bl 369
HZB-Nummer:                ;300020
HD-Nummer:                 ;
DBMS-Nummer:               ;3002001
PorenGW-Gebiet:            ;252 Rauchenwarther Platte
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.02.2011
 Geländehöhe:              ;177,32
 Messpunkthöhe:            ;177,87
 Sohllage:                 ;149,27
 T-Messtiefe u.GOK:        ;23,45
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 30 19                 ;48 06 53
  01.01.2009               ;16 30 19                 ;48 06 53
  20.05.1954               ;16 30 20                 ;48 06 52
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1966 23:59:55   ;   158,28 ;     
02.10.1967 07:01:00   ;   158,71 ;     
01.01.1968 07:01:00   ;   158,63 ;     
01.01.1969 00:00:05   ;   158,09 ;     
01.01.1970 00:00:05   ;   157,83 ;     
01.01.1971 00:00:05   ;   157,71 ;     
01.01.1972 00:00:05   ;   157,22 ;     
01.10.1973 07:01:00   ;   157,62 ;     
01.01.1974 00:00:05   ;   156,58 ;     
01.12.1975 07:01:00   ;   156,66 ;     
02.02.1976 07:01:00   ;   156,63 ;     
08.08.1977 07:01:00   ;   156,44 ;     
01.01.1978 00:00:05   ;   156,41 ;     
13.08.1979 07:01:00   ;   156,40 ;     
19.08.1980 07:01:00   ;   156,47 ;     
01.01.1981 00:00:05   ;   156,42 ;     
12.04.1982 07:01:00   ;   156,29 ;     
01.01.1983 00:00:05   ;   156,28 ;     
01.01.1984 00:00:05   ;   155,99 ;     
11.11.1985 07:01:00   ;   155,69 ;     
08.09.1986 07:01:00   ;   155,80 ;     
05.10.1987 07:01:00   ;   156,30 ;     
05.09.1988 07:01:00   ;   156,07 ;     
01.01.1989 00:00:05   ;   156,00 ;     
19.02.1990 07:01:00   ;   155,90 ;     
30.12.1991 07:01:00   ;   155,82 ;     
29.06.1992 07:01:00   ;   155,92 ;     
29.11.1993 07:01:00   ;   155,86 ;     
26.09.1994 07:01:00   ;   155,96 ;     
27.11.1995 07:01:00   ;   155,93 ;     
30.12.1996 07:01:00   ;   156,32 ;     
08.12.1997 07:01:00   ;   156,50 ;     
01.01.1998 00:00:05   ;   156,50 ;     
06.09.1999 07:01:00   ;   156,53 ;     
17.01.2000 07:01:00   ;   156,54 ;     
23.01.2001 07:01:00   ;   156,45 ;     
24.12.2002 07:01:00   ;   156,47 ;     
30.04.2003 07:01:00   ;   156,60 ;     
01.01.2004 00:00:05   ;   156,39 ;     
01.01.2005 00:00:05   ;   156,17 ;     
21.11.2006 07:01:00   ;   156,37 ;     
01.01.2007 00:00:05   ;   156,37 ;     
04.11.2008 07:01:00   ;   156,50 ;     
19.11.2009 07:01:00   ;   156,83 ;     
28.12.2010 07:01:00   ;   157,08 ;     
05.06.2011 15:00:00   ;   157,16 ;     
05.01.2012 17:00:00   ;   157,10 ;     
17.09.2013 01:00:00   ;   156,84 ;     
05.01.2014 01:00:00   ;   156,77 ;     
31.03.2015 09:00:00   ;   156,67 ;     
05.11.2016 20:00:00   ;   156,59 ;     
13.01.2017 01:00:00   ;   156,57 ;     
03.01.2018 12:00:00   ;   156,42 ;     
28.07.2019 03:00:00   ;   156,29 ;     
02.01.2020 12:00:00   ;   156,20 ;     
22.01.2021 04:00:00   ;   156,09 ;     
