Messstelle:                ;Unterwaltersdorf, Bl S6
HZB-Nummer:                ;326553
HD-Nummer:                 ;
DBMS-Nummer:               ;11002081
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1987
 Geländehöhe:              ;192,30
 Messpunkthöhe:            ;193,10
 Sohllage:                 ;187,78
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1979               ;16 27 42                 ;47 58 06
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.04.1979 07:01:00   ;   190,48 ;     
05.05.1980 07:01:00   ;   190,40 ;     
05.01.1981 07:01:00   ;   190,31 ;     
08.02.1982 07:01:00   ;   190,46 ;     
07.03.1983 07:01:00   ;   190,49 ;     
16.04.1984 07:01:00   ;   190,11 ;     
23.12.1985 07:01:00   ;   190,61 ;     
17.03.1986 07:01:00   ;   190,80 ;     
26.03.1987 07:01:00   ;   190,75 ;     
31.03.1988 07:01:00   ;   190,40 ;     
19.01.1989 07:01:00   ;   190,24 ;     
30.04.1990 07:01:00   ;   190,19 ;     
30.12.1991 07:01:00   ;   190,56 ;     
30.03.1992 07:01:00   ;   190,62 ;     
23.12.1993 07:01:00   ;   190,45 ;     
06.01.1994 07:01:00   ;   190,63 ;     
25.12.1995 07:01:00   ;   190,55 ;     
16.05.1996 07:01:00   ;   191,10 ;     
10.07.1997 07:01:00   ;   190,60 ;     
23.11.1998 07:01:00   ;   190,41 ;     
08.03.1999 07:01:00   ;   190,47 ;     
03.04.2000 07:01:00   ;   190,61 ;     
17.12.2001 07:01:00   ;   190,21 ;     
31.12.2002 23:59:55   ;   190,76 ;     
03.02.2003 07:01:00   ;   190,80 ;     
29.03.2004 07:01:00   ;   190,61 ;     
28.03.2005 07:01:00   ;   190,39 ;     
27.02.2006 07:01:00   ;   190,49 ;     
17.12.2007 07:01:00   ;   190,81 ;     
01.01.2008 00:00:05   ;   190,67 ;     
13.07.2009 07:01:00   ;   190,90 ;     
13.12.2010 07:01:00   ;   190,55 ;     
17.01.2011 07:01:00   ;   190,52 ;     
31.12.2012 23:59:55   ;   190,30 ;     
04.03.2013 07:01:00   ;   190,93 ;     
15.09.2014 07:01:00   ;   191,09 ;     
19.01.2015 07:01:00   ;   190,57 ;     
21.11.2016 07:01:00   ;   190,39 ;     
13.02.2017 07:01:00   ;   190,41 ;     
31.12.2018 07:01:00   ;   190,56 ;     
01.01.2019 00:00:05   ;   190,56 ;     
09.11.2020 07:01:00   ;   190,42 ;     
08.02.2021 07:01:00   ;   190,52 ;     
