Messstelle:                ;Prutz, Bl 1 (110)
HZB-Nummer:                ;342311
HD-Nummer:                 ;
DBMS-Nummer:               ;7004260
Fremdnummer:               ;GW70619032
PorenGW-Gebiet:            ;024 Oberes Gericht
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.05.1981
 Geländehöhe:              ;859,62
 Messpunkthöhe:            ;860,87
 Sohllage:                 ;856,87
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  25.05.1981               ;10 39 49                 ;47 05 37
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2019 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2014 HG28 gerätetechnisch bedingte Datenausfälle
  2015 HG28 gerätetechnisch bedingte Datenausfälle
  2018 HG28 gerätetechnisch bedingte Datenausfälle
  2021 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.09.1981 10:05:00   ;   859,17 ;     
27.05.1982 16:23:00   ;   859,05 ;     
24.05.1983 15:45:00   ;   859,03 ;     
25.01.1984 08:03:00   ;   859,08 ;     
06.08.1985 20:30:00   ;   858,87 ;     
15.05.1986 06:15:00   ;   858,90 ;     
19.07.1987 12:30:00   ;   859,36 ;     
26.05.1988 22:15:00   ;   859,14 ;     
12.07.1989 09:00:00   ;   859,01 ;     
11.05.1990 15:00:00   ;   859,02 ;     
17.06.1991 21:00:00   ;   859,38 ;     
27.05.1992 03:00:00   ;   859,01 ;     
03.10.1993 05:15:00   ;   858,99 ;     
21.05.1994 20:00:00   ;   858,93 ;     
26.06.1995 00:45:00   ;   858,94 ;     
07.07.1996 23:45:00   ;   858,93 ;     
03.06.1999 04:45:00   ;   859,17 ;     
06.08.2000 22:00:00   ;   859,15 ;     
11.06.2001 10:45:00   ;   859,27 ;     
06.06.2002 11:00:00   ;   858,72 ;     
07.06.2003 23:00:00   ;   858,79 ;     
09.07.2004 18:15:00   ;   859,11 ;     
23.08.2005 11:15:00   ;   859,24 ;     
29.06.2006 18:30:00   ;   858,99 ;     
10.07.2007 12:45:00   ;   858,76 ;     
14.07.2008 12:45:00   ;   859,29 ;     
16.06.2009 22:30:00   ;   858,87 ;     
12.06.2010 00:30:00   ;   859,38 ;     
27.05.2011 22:45:00   ;   858,70 ;     
04.06.2012 12:30:00   ;   859,05 ;     
18.06.2013 23:30:00   ;   858,89 ;     
14.08.2014 02:00:00   ;   859,07 ;     
08.06.2015 18:45:00   ;   858,60 ;     
17.06.2016 15:15:00   ;   858,83 ;     
05.09.2017 15:30:00   ;   858,79 ;     
31.05.2018 00:30:00   ;   858,90 ;     
12.06.2019 22:15:00   ;   859,29 ;     
30.08.2020 20:15:00   ;   859,20 ;     
11.02.2021 00:00:00   ;   858,60 ;     
