Messstelle:                ;Ebental, Br 201
HZB-Nummer:                ;338038
HD-Nummer:                 ;
DBMS-Nummer:               ;2002105
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.01.1991
 Geländehöhe:              ;417,12
 Messpunkthöhe:            ;417,25
 Sohllage:                 ;415,17
 T-Messtiefe u.GOK:        ;1,60
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.01.1991               ;14 23 35                 ;46 36 24
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
25.11.1991 07:01:00   ;   416,15 ;     
12.12.1992 07:01:00   ;   416,10 ;     
29.10.1993 07:01:00   ;   416,05 ;     
17.04.1994 07:01:00   ;   416,02 ;     
10.03.1995 07:01:00   ;   416,02 ;     
23.11.1996 07:01:00   ;   416,15 ;     
01.01.1997 00:00:05   ;   415,71 ;     
07.11.1998 07:30:00   ;   415,96 ;     
23.07.1999 07:30:00   ;   416,02 ;     
22.11.2000 07:30:00   ;   416,30 ;     
12.01.2001 07:30:00   ;   416,03 ;     
06.12.2002 07:30:00   ;   415,85 ;     
28.11.2003 07:30:00   ;   415,67 ;     
25.06.2004 07:30:00   ;   416,07 ;     
26.08.2005 07:30:00   ;   416,24 ;     
31.03.2006 07:30:00   ;   416,06 ;     
30.03.2007 07:30:00   ;   415,74 ;     
12.12.2008 07:30:00   ;   415,85 ;     
18.09.2009 07:30:00   ;   415,85 ;     
26.11.2010 07:30:00   ;   415,88 ;     
01.01.2011 00:00:05   ;   415,78 ;     
09.11.2012 07:30:00   ;   416,20 ;     
05.04.2013 07:30:00   ;   416,17 ;     
21.02.2014 07:30:00   ;   416,44 ;     
16.10.2015 07:30:00   ;   416,10 ;     
10.06.2016 07:30:00   ;   416,15 ;     
22.09.2017 07:30:00   ;   416,20 ;     
18.05.2018 07:30:00   ;   416,01 ;     
23.11.2019 14:00:00   ;   416,07 ;     
16.10.2020 17:57:00   ;   416,15 ;     
30.01.2021 13:14:00   ;   415,95 ;     
