Messstelle:                ;St.Johann i.T.-Bärnst., Br 1
HZB-Nummer:                ;330589
HD-Nummer:                 ;
DBMS-Nummer:               ;7002037
Fremdnummer:               ;GW70416064
PorenGW-Gebiet:            ;025 Großachengebiet
Grundwasserkörper:         ;Großache [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.07.2018
 Geländehöhe:              ;654,84
 Messpunkthöhe:            ;655,19
 Sohllage:                 ;642,34
 T-Messtiefe u.GOK:        ;6,65
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1985               ;12 25 41                 ;47 31 55
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.09.1985 07:01:00   ;   651,92 ;     
28.04.1986 07:01:00   ;   651,62 ;     
04.05.1987 07:01:00   ;   652,07 ;     
18.04.1988 07:01:00   ;   652,58 ;     
20.03.1989 07:01:00   ;   651,34 ;     
23.07.1990 07:01:00   ;   651,24 ;     
05.08.1991 07:01:00   ;   652,89 ;     
21.04.1992 07:01:00   ;   652,83 ;     
02.08.1993 07:01:00   ;   652,74 ;     
13.06.1994 07:01:00   ;   652,44 ;     
24.04.1995 07:01:00   ;   652,75 ;     
21.10.1996 07:01:00   ;   652,20 ;     
21.07.1997 07:01:00   ;   652,42 ;     
16.11.1998 07:01:00   ;   651,13 ;     
19.04.1999 07:01:00   ;   652,47 ;     
17.04.2000 17:00:00   ;   652,84 ;     
17.09.2001 07:01:00   ;   651,76 ;     
18.11.2002 17:00:00   ;   652,42 ;     
01.01.2003 00:00:05   ;   651,93 ;     
21.06.2004 16:00:00   ;   651,96 ;     
29.08.2005 16:00:00   ;   652,53 ;     
25.09.2007 00:30:00   ;   652,10 ;     
07.06.2008 07:00:00   ;   651,77 ;     
14.04.2009 18:00:00   ;   652,80 ;     
31.08.2010 23:00:00   ;   652,35 ;     
10.10.2011 23:00:00   ;   651,90 ;     
31.03.2012 20:00:00   ;   652,76 ;     
02.06.2013 18:00:00   ;   652,97 ;     
02.09.2014 00:00:00   ;   652,27 ;     
24.05.2015 01:00:00   ;   652,61 ;     
14.07.2016 13:00:00   ;   652,56 ;     
03.09.2017 13:00:00   ;   652,17 ;     
09.04.2018 23:00:00   ;   652,17 ;     
05.04.2019 16:00:00   ;   652,83 ;     
13.03.2020 13:00:00   ;   651,99 ;     
30.08.2021 13:00:00   ;   652,37 ;     
