Messstelle:                ;Picheldorf, Bl  2819
HZB-Nummer:                ;332601
HD-Nummer:                 ;uw2819
DBMS-Nummer:               ;6002663
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Wasserwirtschaftliche Rahmenplanung STMK
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1983
 Geländehöhe:              ;496,44
 Messpunkthöhe:            ;497,14
 Sohllage:                 ;487,24
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 11 58                 ;47 24 39
  01.01.1983               ;15 11 57                 ;47 24 39
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
08.05.1986 07:01:00   ;   493,48 ;     
16.06.1987 07:01:00   ;   492,58 ;     
30.05.1988 07:01:00   ;   492,16 ;     
10.07.1989 07:01:00   ;   492,86 ;     
16.07.1990 07:01:00   ;   492,29 ;     
29.07.1991 07:01:00   ;   492,85 ;     
18.05.1992 07:01:00   ;   492,84 ;     
25.10.1993 07:01:00   ;   492,84 ;     
02.05.1994 07:01:00   ;   491,88 ;     
12.05.1995 07:01:00   ;   491,94 ;     
20.05.1996 07:01:00   ;   492,24 ;     
20.05.1997 07:01:00   ;   492,52 ;     
14.09.1998 07:01:00   ;   491,94 ;     
03.09.1999 07:01:00   ;   493,15 ;     
25.04.2000 07:01:00   ;   492,98 ;     
14.05.2001 07:01:00   ;   491,99 ;     
19.08.2002 07:01:00   ;   491,85 ;     
25.08.2003 07:01:00   ;   491,46 ;     
01.06.2004 07:01:00   ;   492,52 ;     
11.07.2005 07:01:00   ;   492,49 ;     
22.05.2006 07:01:00   ;   492,33 ;     
13.09.2007 07:01:00   ;   491,66 ;     
26.05.2008 07:01:00   ;   491,87 ;     
18.05.2009 07:01:00   ;   492,38 ;     
21.06.2010 07:01:00   ;   491,79 ;     
27.06.2011 07:01:00   ;   491,73 ;     
23.07.2012 07:01:00   ;   494,05 ;     
29.04.2013 07:01:00   ;   492,83 ;     
15.09.2014 07:01:00   ;   493,00 ;     
11.05.2015 07:01:00   ;   491,75 ;     
18.07.2016 07:01:00   ;   492,00 ;     
14.08.2017 07:01:00   ;   492,47 ;     
23.04.2018 07:01:00   ;   492,32 ;     
03.06.2019 07:01:00   ;   492,17 ;     
12.10.2020 07:01:00   ;   491,79 ;     
14.06.2021 07:01:00   ;   491,67 ;     
